InChIKey,SMILES,Odors
BDJRBEYXGGNYIS-UHFFFAOYSA-N,C(CCCC(=O)O)CCCC(=O)O,odorless
KLTVSWGXIAYTHO-UHFFFAOYSA-N,CCCCCC(=O)C=C,"metallic, mushroom, vegetable, musty, chicken, herbal, savory, cabbage, fishy, earthy"
FXHGMKSSBGDXIY-UHFFFAOYSA-N,CCCCCCC=O,"citrus, cognac, fatty, green, nutty, sweet, aldehydic, herbal, ozone, fresh"
XUPYJHCZDLZNFP-UHFFFAOYSA-N,CCCCOC(=O)CCC,"apple, banana, fruity, pear, pineapple, sweet, ripe, fresh, green, cherry"
XNLICIUVMPYHGG-UHFFFAOYSA-N,CCCC(=O)C,"banana, dairy, ethereal, fruity, ketonic, rummy, sweet, fermented, winey, woody"
HGBOYTHUEUWSSQ-UHFFFAOYSA-N,CCCCC=O,"chocolate, nutty, pungent, fermented, berry, fruity, bready"
LSTSBZKIQFOPHA-UHFFFAOYSA-N,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C,"floral, fruity, pear, woody, musk"
SRONXYPFSAKOGH-UHFFFAOYSA-N,C1CCCCCCCCCCCCCC1,
FFVHXGZXDRXFLQ-UHFFFAOYSA-N,C1CCCCCCCC(CCCCCC1)O,
,CCCCCC(C(C)CO)S,
SXOZDDAFVJANJP-UHFFFAOYSA-N,C1CCCCC(=O)CCCC1,
UPOSSYJVWXLPTA-UHFFFAOYSA-N,C1CCCCCC(=O)CCCC1,
CJPNOLIZCWDHJK-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)C,"dairy, fatty, fruity, waxy, floral, oily, burnt, fresh, jasmine, celery"
PQYGSSYFJIJDFK-UHFFFAOYSA-N,CCCCCCCC(=O)CCCCCCC,
HABNNYNSJFKZFE-UHFFFAOYSA-N,CCC(C(C)CO)S,"onion, sulfurous"
ALHUZKCOMYUFRB-OAHLLOKOSA-N,C[C@@H]1CCCCCCCCCCCCC(=O)C1,"powdery, animal, musk"
ALHUZKCOMYUFRB-HNNXBMFYSA-N,C[C@H]1CCCCCCCCCCCCC(=O)C1,
HUIYGGQINIVDNW-UHFFFAOYSA-N,CCCCOC(=O)C1=CC=CC=C1N,"berry, fruity, grape, sweet, winey, plum, floral, powdery"
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,C1=CC=C(C=C1)/C=C/C=O,"cinnamon, spicy, sweet, warm"
CFNJLPHOBMVMNS-UHFFFAOYSA-N,CCCCCOC(=O)CCC,"sweet, banana, fruity, pineapple, cherry, tropical"
ZCDYAMJXVAUTIM-UHFFFAOYSA-N,C=CCOC(=O)CC1=CC=CC=C1,"fruity, honey, pineapple, sweet, rummy"
GTNCESCYZPMXCJ-UHFFFAOYSA-N,CCC(=O)OCCCC1=CC=CC=C1,"balsamic, floral, fruity, hyacinth"
BADXJIPKFRBFOT-UHFFFAOYSA-N,CC1(CC(=O)CC(=O)C1)C,
BDFAOUQQXJIZDG-UHFFFAOYSA-N,CC(C)CS,"garlic, onion, vegetable, sulfurous, cooked"
FEWLNYSYJNLUOO-UHFFFAOYSA-N,C1CCN(CC1)C=O,
CBJPZHSWLMJQRI-UHFFFAOYSA-N,C1=COC(=C1)CSSCC2=CC=CO2,"coffee, meaty, roasted, sulfurous, chicken, potato, cabbage, onion"
CWERGRDVMFNCDR-UHFFFAOYSA-N,C(C(=O)O)S,sulfurous
KZCOBXFFBQJQHH-UHFFFAOYSA-N,CCCCCCCCS,"meaty, roasted, sulfurous, vegetable"
YCIXWYOBMVNGTB-UHFFFAOYSA-N,CCCCCC1=C(CCC1=O)C,"floral, fruity, herbal, jasmine, spicy, sweet, woody, powdery"
PBGWNXWNCSSXCO-UHFFFAOYSA-N,CCCCCCCC(=O)OCCCCCC,"fatty, fruity, green, herbal, estery, berry, apple, waxy"
UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,
AZOCECCLWFDTAP-RKDXNWHRSA-N,C[C@@H]1CC[C@H](CC1=O)C(=C)C,"mentholic, herbal, minty"
NTWSIWWJPQHFTO-UHFFFAOYSA-N,CCCC(=CC(=O)O)C,
SMWDFEZZVXVKRB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC=N2,"animal, musty, sweet, tobacco, medicinal, earthy, leathery"
ODHAQPXNQDBHSH-UHFFFAOYSA-N,C1CCC(CC1)SSC2CCCCC2,"berry, cocoa, coffee, green, meaty, musty, onion, alliaceous"
JUJWROOIHBZHMG-UHFFFAOYSA-N,C1=CC=NC=C1,"burnt, fishy, sour"
NDVASEGYNIMXJL-NXEZZACHSA-N,CC(C)[C@]12CCC(=C)[C@H]1C2,
LHXDLQBQYFFVNW-UHFFFAOYSA-N,CC1(C2CCC(C2)(C1=O)C)C,"camphoreous, pine, sweet"
ARJWAURHQDJJAC-GQCTYLIASA-N,CCC(C)C(=O)/C=C/C,"hazelnut, metallic, nutty"
AMXYRHBJZOVHOL-ODYTWBPASA-N,CC/C=C\CC/C=C/CO,"cucumber, green, herbal, violet, leafy, fatty, nutty, oily"
DIVCBWJKVSFZKJ-UHFFFAOYSA-M,CCC(C)CCC(=O)[O-],
TWOGJUHCCNLYPC-UHFFFAOYSA-N,CCC(=O)C(C)S,"grapefruit, onion, roasted, sulfurous, meaty"
CZCBTSFUTPZVKJ-UHFFFAOYSA-N,CC1CCOC(C1)C=C(C)C,"earthy, green, rose, vegetable, spicy, floral, herbal, camphoreous, fresh, geranium"
ROWKJAVDOGWPAT-UHFFFAOYSA-N,CC(C(=O)C)O,"buttery, creamy, sweet, fatty, milky, dairy"
SZECUQRKLXRGSJ-UHFFFAOYSA-N,CCC(C(=O)C)S,"meaty, savory"
LEGGANXCVQPIAI-UHFFFAOYSA-N,CCCCC(C)CCC(=O)O,"musty, fatty, creamy, lactonic, milky, dairy, waxy"
IFYYFLINQYPWGJ-UHFFFAOYSA-N,CCCCCCC1CCC(=O)O1,"coconut, peach, sweet, buttery, fatty, fruity, oily, creamy, fresh, waxy"
WGPCZPLRVAWXPW-UHFFFAOYSA-N,CCCCCCCCC1CCC(=O)O1,"fatty, fruity, peach, sweet, metallic"
OALYTRUKMRCXNH-UHFFFAOYSA-N,CCCCCC1CCC(=O)O1,"sweet, fatty, coconut, oily, creamy, buttery, waxy"
IPBFYZQJXZJBFQ-UHFFFAOYSA-N,CCCCC1CCC(=O)O1,"coconut, coumarinic, sweet, fatty, creamy, waxy, dairy"
PHXATPHONSXBIL-UHFFFAOYSA-N,CCCCCCCC1CCC(=O)O1,"ketonic, fatty, fruity, apricot, coconut, creamy, peach, lactonic"
WNVCMFHPRIBNCW-YUMQZZPRSA-N,CCCC[C@H]1[C@H](CC(=O)O1)C,coconut
IUFQZPBIRYFPFD-UHFFFAOYSA-N,CCC1C(=C(C(=O)O1)O)C,"caramellic, sweet, nutty, fruity"
QRPLZGZHJABGRS-UHFFFAOYSA-N,CCCCCCCC1CCCC(=O)O1,"buttery, fatty, fruity, peach, sweet, metallic, apricot, oily, coconut, creamy, fresh, milky, tropical, dairy"
FYTRVXSHONWYNE-UHFFFAOYSA-N,CCCC1CCCC(=O)O1,"coconut, coumarinic, sweet, fatty, creamy, lactonic, green, tropical, dairy"
NDFKTBCGKNOHPJ-AATRIKPKSA-N,CCCC/C=C/C=O,"apple, fatty, fresh, fruity, green, pungent, sweet, vegetable, oily"
PANBRUWVURLWGY-MDZDMXLPSA-N,CCCCCCCC/C=C/C=O,"citrus, fresh, lemon, orange, sweet, aldehydic, fatty, fruity, green, waxy"
OGLDWXZKYODSOB-SNVBAGLBSA-N,CC1=CC[C@@H](C=C1)C(C)C,"citrus, fresh, spicy, terpenic, medicinal"
XMGQYMWWDOXHJM-UHFFFAOYSA-N,CC1=CCC(CC1)C(=C)C,"citrus, gasoline, camphoreous, herbal, terpenic"
BSAIUMLZVGUGKX-FPLPWBNLSA-N,CCCCCC/C=C\C=O,"cucumber, fatty, melon, orris, waxy"
LVBXEMGDVWVTGY-SREVYHEPSA-N,CCCCC/C=C\C=O,"leafy, fatty, fruity, green"
NPFVOOAXDOBMCE-PLNGDYQASA-N,CC/C=C\CCOC(=O)C,"banana, fruity, grassy, green, sweet, melon, apple, pear, fresh"
GXANMBISFKBPEX-ARJAWSKDSA-N,CC/C=C\CC=O,"fresh, grassy, green, leafy, pungent, fatty, weedy, fruity, apple"
VVGOCOMZRGWHPI-ARJAWSKDSA-N,CC/C=C\CCC=O,"creamy, green, vegetable, fatty, oily, milky, dairy"
VWYBQOFZVSNDAW-WAYWQWQTSA-N,CC/C=C\CC(=O)C=C,"geranium, metallic, green"
DHKHKXVYLBGOIT-UHFFFAOYSA-N,CCOC(C)OCC,"alcoholic, fruity, green, sweet, vegetable, nutty, ethereal, earthy"
SATCULPHIDQDRE-UHFFFAOYSA-N,C1OC2=C(O1)C=C(C=C2)C=O,"cherry, floral, sweet, vanilla, spicy, creamy, tropical"
OQWNKUAZQSLNSR-UHFFFAOYSA-N,CC(C)CCCCCCCCCCC=O,"beefy, meaty, sweet, animal, fatty, fruity, savory, brothy, citrus, cooked, waxy"
ZFMSMUAANRJZFM-UHFFFAOYSA-N,COC1=CC=C(C=C1)CC=C,"anisic, herbal, sweet, anise, spicy, phenolic, green, minty"
RUVINXPYWBROJD-ONEGZZNKSA-N,C/C=C/C1=CC=C(C=C1)OC,"anisic, herbal, sweet, anise, medicinal"
MMSLOZQEMPDGPI-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(=C)C,"citrus, lemon, phenolic, pine, spicy, musty, nutty, coffee, clove"
KUFFULVDNCHOFZ-UHFFFAOYSA-N,CC1=CC(=C(C=C1)O)C,"burnt, phenolic, sharp, roasted, smoky"
KLIDCXVFHGNTTM-UHFFFAOYSA-N,COC1=C(C(=CC=C1)OC)O,"medicinal, phenolic, smoky, woody, sweet, powdery, balsamic"
NXXYKOUNUYWIHA-UHFFFAOYSA-N,CC1=C(C(=CC=C1)C)O,"phenolic, sharp, smoky, sweet, medicinal, coffee"
ZQPCOAKGRYBBMR-UHFFFAOYSA-N,CC1=CCC(CC1)C(C)(C)S,"sulfurous, garlic, alliaceous, onion, citrus, woody, tropical, grapefruit, aromatic"
FZOZFDAMVVEZSJ-UHFFFAOYSA-N,CC(=O)C1=NCCS1,"green, onion, popcorn, chicken, roasted, nutty, herbal, grassy, bready"
HEQOJEGTZCTHCF-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)CN,
IFNDEOYXGHGERA-UHFFFAOYSA-N,CC1=CC(=C(C=C1)OC)O,"medicinal, phenolic, smoky, sweet, vanilla"
SRUTWBWLFKSTIS-UHFFFAOYSA-N,CC1=C(C=CO1)SSC,"brothy, coffee, meaty, roasted, sulfurous, vegetable, onion, chemical"
BYGQBDHUGHBGMD-UHFFFAOYSA-N,CCC(C)C=O,"cocoa, fermented, fruity, green, malty, musty, fatty, nutty, coffee, phenolic, alcoholic, chocolate"
RUYNUXHHUVUINQ-UHFFFAOYSA-N,CC1=C(C=CO1)S,"beefy, brothy, fishy, meaty, roasted, sweet, metallic, sulfurous"
QWVGKYWNOKOFNN-UHFFFAOYSA-N,CC1=CC=CC=C1O,"medicinal, phenolic, musty, herbal, leathery"
HSDXVAOHEOSTFZ-UHFFFAOYSA-N,CCCCCC1=CC=CC=N1,"fatty, green, meaty, vegetable, mushroom, herbal"
ZMRFRBHYXOQLDK-UHFFFAOYSA-N,C1=CC=C(C=C1)CCS,"roasted, sulfurous, tropical"
WRMNZCZEMHIOCP-UHFFFAOYSA-N,C1=CC=C(C=C1)CCO,"floral, rose, sweet, honey, bready, fresh"
MDHYEMXUFSJLGV-UHFFFAOYSA-N,CC(=O)OCCC1=CC=CC=C1,"fruity, honey, rose, sweet, floral, cocoa, balsamic, tropical"
OVNCGQSYSSYBPO-UHFFFAOYSA-N,CCC(=O)C1=NCCC1,"roasted, fishy"
HMNKTRSOROOSPP-UHFFFAOYSA-N,CCC1=CC(=CC=C1)O,"phenolic, musty"
XPCTZQVDEJYUGT-UHFFFAOYSA-N,CC1=C(C(=O)C=CO1)O,"berry, caramellic, fruity, strawberry, sweet, burnt, jammy, bready"
ZFRKQXVRDFCRJG-UHFFFAOYSA-N,CC1=CNC2=CC=CC=C12,"animal, floral, fruity"
VTAPYUYITKYXJB-UHFFFAOYSA-N,CC(C)(CCOC=O)S,"coffee, meaty, roasted, sulfurous, caramellic, onion, tropical"
PHTQWCKDNZKARW-UHFFFAOYSA-N,CC(C)CCO,"alcoholic, fermented, banana, pungent, cognac, fruity, ethereal"
YGHRJJRRZDOVPD-UHFFFAOYSA-N,CC(C)CC=O,"cheesy, cocoa, fruity, green, pungent, aldehydic, fatty, ethereal, chocolate, peach"
NHIMSNHOEAVUKE-UHFFFAOYSA-N,CCCC(=O)C(C)CC,
RLSSMJSEOOYNOY-UHFFFAOYSA-N,CC1=CC(=CC=C1)O,"dry, leathery, medicinal, phenolic, woody"
XMIIGOLPHOKFCH-UHFFFAOYSA-N,C1=CC=C(C=C1)CCC(=O)O,"balsamic, sweet, fatty, cinnamon, floral, rose, musk"
TYZFMFVWHZKYSE-UHFFFAOYSA-N,CCCC(CCO)S,"alliaceous, fruity, grapefruit, meaty, tropical, sulfurous, chicken, savory"
JUCARGIKESIVLB-UHFFFAOYSA-N,CCCC(CCOC(=O)C)S,"fruity, grapefruit, sulfurous, tropical, floral, pear, raspberry"
WTWBUQJHJGUZCY-UHFFFAOYSA-N,CC(C)C1=CC=C(C=C1)C=O,"green, herbal, pungent, spicy"
YOMSJEATGXXYPX-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=C)O,"smoky, spicy, sweet, peppery, powdery, phenolic, woody, clove"
FUGYGGDSWSUORM-UHFFFAOYSA-N,C=CC1=CC=C(C=C1)O,"medicinal, phenolic, spicy, sweet, musty, meaty, chemical"
PWKJMPFEQOHBAC-UHFFFAOYSA-N,CCCCC(CC)CCC(=O)O,fatty
HXDOZKJGKXYMEW-UHFFFAOYSA-N,CCC1=CC=C(C=C1)O,"animal, phenolic, woody, smoky, savory"
CBOQJANXLMLOSS-UHFFFAOYSA-N,CCOC1=C(C=CC(=C1)C=O)O,"sweet, vanilla, creamy"
XVHGKKGBUDMTIQ-UHFFFAOYSA-N,CC(C)(CCOC)S,"sulfurous, sweet, tropical, minty, grapefruit, peach"
GNKZMNRKLCTJAY-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(=O)C,"floral, fruity, hay, sweet, vanilla, powdery, coumarinic, hawthorn, cherry"
IWDCLRJOBJJRNH-UHFFFAOYSA-N,CC1=CC=C(C=C1)O,"animal, medicinal, phenolic, smoky"
PXIKRTCSSLJURC-UHFFFAOYSA-N,CCCC1=CC(=C(C=C1)O)OC,"balsamic, spicy, sweet, powdery, phenolic, clove, sharp"
GWCRPYGYVRXVLI-UHFFFAOYSA-N,CCC1C(=O)C(=C(O1)C)O,"caramellic, sweet"
LIIALPBMIOVAHH-UHFFFAOYSA-N,COC1=CC2=C(C=C1)C=CC(=O)O2,"sweet, balsamic"
NVLPQIPTCCLBEU-UHFFFAOYSA-N,CSCC=C,"garlic, onion, sulfurous, alliaceous"
LOCDPORVFVOGCR-UHFFFAOYSA-N,CSCSC,"alliaceous, meaty, mushroom, onion, metallic, spicy, sulfurous, garlic, horseradish, green, pungent"
WJSDHUCWMSHDCR-VMPITWQZSA-N,CC(=O)OC/C=C/C1=CC=CC=C1,"balsamic, cinnamon, floral, fruity, spicy, sweet"
OOCCDEMITAIZTP-QPJJXVBHSA-N,C1=CC=C(C=C1)/C=C/CO,"sweet, spicy, powdery, balsamic, green, hyacinth"
PFRGXCVKLLPLIP-UHFFFAOYSA-N,C=CCSSCC=C,"garlic, pungent, metallic, onion, alliaceous"
QMMFVYPAHWMCMS-UHFFFAOYSA-N,CSC,"cabbage, pungent, vegetable, sweet, sulfurous, berry, fruity, onion, creamy, fishy, tomato, green, radish"
YWHLKYXPLRWGSE-UHFFFAOYSA-N,CSSSC,"cabbage, garlic, onion, vegetable, meaty, sulfurous, savory, alliaceous, fresh, cooked"
WQOXQRCZOLPYPM-UHFFFAOYSA-N,CSSC,"cabbage, onion, vegetable, sulfurous"
ALVPFGSHPUPROW-UHFFFAOYSA-N,CCCSSCCC,"alliaceous, garlic, green, onion, metallic, sulfurous, tropical, burnt, fresh, earthy"
GAZXPZNJTZIGBO-UHFFFAOYSA-N,CCCSSSCCC,"green, onion, vegetable, sulfurous, garlic, alliaceous, tropical, pungent"
MBDOYVRWFFCFHM-SNAWJCMRSA-N,CCC/C=C/C=O,"apple, fresh, fruity, grassy, green, leafy, pungent, vegetable, aldehydic, clean, spicy, fatty, banana, herbal, cheesy, sharp"
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,"alcoholic, ethereal, sweet, medicinal"
LYRIITRHDCNUHV-SSDOTTSWSA-N,CCC[C@H](CC(=O)OCC)O,
HCRBXQFHJMCTLF-UHFFFAOYSA-N,CCC(C)C(=O)OCC,"apple, fruity, green, strawberry, sweet, estery, berry, fresh, tropical, sharp"
YSNWHRKJEKWJNY-UHFFFAOYSA-N,CCOC(=O)CCSC,"caramellic, fruity, pineapple, metallic, sulfurous, ripe, tomato"
PPXUHEORWJQRHJ-UHFFFAOYSA-N,CCOC(=O)CC(C)C,"apple, banana, buttery, fruity, winey, sweet, estery, pineapple, orange, green, sharp"
OFQRUTMGVBMTFQ-UHFFFAOYSA-N,CCOC(=O)CCC(C)C,"apple, fruity, pineapple"
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(=O)C,"brandy, ethereal, sharp, winey, sweet, rummy, grape, weedy, fruity, green"
MTZQAGJQAFMTAQ-UHFFFAOYSA-N,CCOC(=O)C1=CC=CC=C1,"floral, fruity, dry, musty, sweet, medicinal, grape, cherry, minty"
OBNCKNCVKJNDBV-UHFFFAOYSA-N,CCCC(=O)OCC,"banana, buttery, ethereal, fruity, pineapple, ripe, juicy, cognac"
KBEBGUQPQBELIU-CMDGGOBGSA-N,CCOC(=O)/C=C/C1=CC=CC=C1,"balsamic, cinnamon, honey, plum, floral"
SHZIWNPUGXLXDT-UHFFFAOYSA-N,CCCCCC(=O)OCC,"banana, fruity, pear, pineapple, strawberry, tropical, sweet, estery, fatty, green, waxy"
ICMAFTSLXCXHRK-UHFFFAOYSA-N,CCCCC(=O)OCC,"apple, fruity, pineapple, tropical, sweet, berry, acidic, green"
DULCUDSUACXJJC-UHFFFAOYSA-N,CCOC(=O)CC1=CC=CC=C1,"honey, sweet, floral, rose, cocoa, anisic, balsamic"
JJOYCHKVKWDMEA-UHFFFAOYSA-N,CCOC(=O)C1CCCCC1,"apple, berry, brandy, cheesy, fermented, fruity, winey"
ZFFTZDQKIXPDAF-UHFFFAOYSA-N,C1=COC(=C1)CS,"alliaceous, burnt, caramellic, coffee, meaty, sulfurous, fatty, chicken, smoky, savory, oily"
CETWDUZRCINIHU-UHFFFAOYSA-N,CCCCCC(C)O,"green, herbal, lemon, sweet, floral, fruity, fresh, citrus"
AOGQPLXWSUTHQB-UHFFFAOYSA-N,CCCCCCOC(=O)C,"apple, fruity, pear, sweet, fatty, banana, fresh, green"
BHIWKHZACMWKOJ-UHFFFAOYSA-N,CC(C)C(=O)OC,"apple, apricot, fruity, pineapple, rummy, sweet, floral, ethereal"
UUIQMZJEGPQKFD-UHFFFAOYSA-N,CCCC(=O)OC,"apple, buttery, ethereal, fermented, fruity, sweet, banana, pineapple, creamy, pungent"
ZOYASYRPGHCQHW-UHFFFAOYSA-N,CCCSSSC,"garlic, green, onion, sweet, metallic, clean, sulfurous, cooked"
UAHWPYUMFXYFJY-UHFFFAOYSA-N,CC(=CCCC(=C)C=C)C,"spicy, peppery, terpenic, herbal, rose, balsamic, woody, celery"
VKCYHJWLYTUGCC-UHFFFAOYSA-N,CCCCCCCC(=O)C,"cheesy, coconut, fatty, fruity, herbal, sweet, weedy, fresh, green, earthy, soapy, waxy"
TZMFJUDUGYTVRY-UHFFFAOYSA-N,CCC(=O)C(=O)C,"buttery, fatty, oily, sweet, caramellic, nutty, creamy, pungent, cheesy"
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,"green, meaty, cocoa, pungent, nutty, winey, cognac, grape, ethereal, earthy, alcoholic, brandy"
GCZQHDFWKVMZOE-UHFFFAOYSA-N,C1=CSC(=C1)CS,"coffee, meaty, sulfurous, fishy"
CCRCUPLGCSFEDV-BQYQJAHWSA-N,COC(=O)/C=C/C1=CC=CC=C1,"balsamic, fruity, sweet, strawberry, cherry"
UYLKDZXJEKFFHJ-UHFFFAOYSA-N,C1=COC(=C1)CSCC2=CC=CO2,"burnt, coffee, earthy, meaty, mushroom, roasted, savory, sulfurous, cocoa, nutty"
NWYGPVZOBBHKLI-UHFFFAOYSA-N,CSSCC1=CC=CC=C1,"cabbage, green, metallic, onion, sulfurous, vegetable"
CLSLQQCDHOZMDT-UHFFFAOYSA-N,CSSCC1=CC=CO1,"coffee, meaty, onion, roasted, sulfurous, garlic, alliaceous"
OFQPKKGMNWASPN-UHFFFAOYSA-N,CSCC1=CC=CC=C1,"burnt, horseradish, meaty, roasted, savory, sulfurous, chicken, beefy"
QZZBJCFNHPYNKO-UHFFFAOYSA-N,CC(C1=CC=CC=C1)S,"floral, meaty, sulfurous, tropical"
UENWRTRMUIOCKN-UHFFFAOYSA-N,C1=CC=C(C=C1)CS,"garlic, onion, sulfurous, horseradish, alliaceous, coffee, minty, sharp"
SKSFHXVDHVKIBN-UHFFFAOYSA-N,CSCC1=CC=CO1,"garlic, onion, radish, vegetable, sulfurous, horseradish, alliaceous, pungent"
VAJVDSVGBWFCLW-UHFFFAOYSA-N,C1=CC=C(C=C1)CCCO,"balsamic, floral, sweet, spicy, hyacinth"
XPFVYQJUAUNWIW-UHFFFAOYSA-N,C1=COC(=C1)CO,"sweet, musty, estery, sulfurous, caramellic, coffee, bready, brown, chemical, alcoholic"
WVDDGKGOMKODPV-UHFFFAOYSA-N,C1=CC=C(C=C1)CO,"almond, fruity, sweet, floral, rose, phenolic, balsamic, chemical"
HYBBIBNJHNGZAN-UHFFFAOYSA-N,C1=COC(=C1)C=O,"almond, caramellic, spicy, sweet, bready, brown, phenolic, woody"
XHIUFYZDQBSEMF-UHFFFAOYSA-N,CCC(C)COC(=O)C,"apple, banana, ethereal, fruity, sweet, estery, ripe, tropical"
WDAXFOBOLVPGLV-UHFFFAOYSA-N,CCOC(=O)C(C)C,"apple, ethereal, fruity, rummy, sweet, pungent, alcoholic"
WNVCMFHPRIBNCW-UHFFFAOYSA-N,CCCCC1C(CC(=O)O1)C,"coconut, coumarinic, woody, nutty, burnt, lactonic, celery"
AMXYRHBJZOVHOL-DYWGDJMRSA-N,CC/C=C/CC/C=C/CO,green
BGVBGAIWXAXBLP-UHFFFAOYSA-N,CCCCCC(=O)C(C)C(=O)C,"caramellic, burnt, fruity, hay"
XMGQYMWWDOXHJM-JTQLQIEISA-N,CC1=CC[C@@H](CC1)C(=C)C,"citrus, fresh, gasoline, orange, sweet"
OGLDWXZKYODSOB-UHFFFAOYSA-N,CC1=CCC(C=C1)C(C)C,"citrus, fresh, minty, spicy, woody"
HVNICCSXGONRCB-UHFFFAOYSA-N,CC1(C(=O)C=CO1)C,
VGHBEMPMIVEGJP-UHFFFAOYSA-N,CC1=CCOC1=O,
ASOSVCXGWPDUGN-UHFFFAOYSA-N,CC1C(=O)C=C(O1)C,"burnt, buttery, caramellic, coffee, roasted, sweet, fruity, estery"
NEHNMFOYXAPHSD-JTQLQIEISA-N,C[C@@H](CCC=C(C)C)CC=O,"herbal, clean, citrus"
FCIVYWQHILCTLI-UHFFFAOYSA-N,CC(CO)CS,
OCZSUTGSYBERRF-UHFFFAOYSA-N,CCCCC(C(C)CO)S,
RFMHFOPFUZZBAD-UHFFFAOYSA-N,CC(CO)C(C)S,"green, meaty, onion, sulfurous"
XVFIAOJQUHTZSV-UHFFFAOYSA-N,CCCC(C(C)CO)S,
WUOACPNHFRMFPN-SECBINFHSA-N,CC1=CC[C@H](CC1)C(C)(C)O,"floral, terpenic"
GRWFGVWFFZKLTI-IUCAKERBSA-N,CC1=CC[C@H]2C[C@@H]1C2(C)C,"warm, herbal, terpenic, fresh, woody, earthy, pine, sharp"
GRWFGVWFFZKLTI-RKDXNWHRSA-N,CC1=CC[C@@H]2C[C@H]1C2(C)C,"herbal, terpenic, minty, aromatic"
WTARULDDTDQWMU-IUCAKERBSA-N,CC1([C@H]2CCC(=C)[C@@H]1C2)C,"dry, herbal, fresh, green, woody, hay, pine"
WTARULDDTDQWMU-RKDXNWHRSA-N,CC1([C@@H]2CCC(=C)[C@H]1C2)C,"sweet, terpenic, fresh, green, woody, hay, pine"
NDVASEGYNIMXJL-UHFFFAOYSA-N,CC(C)C12CCC(=C)C1C2,"citrus, spicy, terpenic, oily, camphoreous, green, woody, pine"
POIARNZEYGURDG-UHFFFAOYSA-N,CC=CC(=O)C1=C(C=CCC1(C)C)C,
CHWNEIVBYREQRF-UHFFFAOYSA-N,CCC1=CC(=C(C=C1)O)OC,"phenolic, smoky, spicy, vanilla, sweet, medicinal, woody, clove"
QRNZMFDCKKEPSX-UHFFFAOYSA-N,CC(=O)CC(C)(C)S,"fruity, meaty, savory, tropical, sulfurous, green"
ZHHYXNZJDGDGPJ-IGTJQSIKSA-N,CCCC/C=C\C=C\C=O,"geranium, pungent, green"
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,"alcoholic, nutty, pungent, musty, aldehydic, fruity, fresh, ethereal"
OCWLYWIFNDCWRZ-UHFFFAOYSA-N,CCC(C)C(=O)OC,"apple, berry, fruity, ripe, sweet, tropical, estery, fatty, powdery, green, ethereal"
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,"fermented, sweet, winey, ethereal"
NGSWKAQJJWESNS-ZZXKWVIFSA-N,C1=CC(=CC=C1/C=C/C(=O)O)O,balsamic
WLJVXDMOQOGPHL-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(=O)O,"animal, honey, sweet, sour, floral, rose, powdery, tobacco, chocolate, waxy"
GHBSPIPJMLAMEP-UHFFFAOYSA-N,CCCCCC1CCCC(=O)O1,"buttery, creamy, milky, nutty, peach, sweet, fatty, fruity, oily, coconut, fresh, dairy, lactonic"
GTDQGKWDWVUKTI-UHFFFAOYSA-N,CC(=O)C1=CC=CC=C1N,"grape, sweet"
OSOIQJGOYGSIMF-UHFFFAOYSA-N,C1CCCCCCCC(=O)CCCCCC1,"natural, animal, powdery, musk"
ABRIMXGLNHCLIP-UHFFFAOYSA-N,C1CCCCCC(=O)CCCC=CCCCC1,
NKMKFQCVDZVEJR-UHFFFAOYSA-N,CC1CC=CCCCCCCCCCC(=O)C1,
ZGEHHVDYDNXYMW-OWOJBTEDSA-N,C1CCC/C=C/CCCCCCC(=O)CCC1,
ZFGBKXBPHOUSJX-VQHVLOKHSA-N,CC1C/C=C/CCCCCCCCC(=O)C1,
VPQWBNWSLZYYFH-UHFFFAOYSA-N,CC1CCCCCCCCCCCC(=O)C1,
NVIPUOMWGQAOIT-RQOWECAXSA-N,C1CCCCOC(=O)CCCCC/C=C\CCC1,"musk, musty, animal"
RWCCWEUUXYIKHB-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,"rose, metallic, herbal, powdery, balsamic, geranium"
CAERSDJFKGMKLY-UHFFFAOYSA-N,CCOC(=O)CC1=CC(=CC=C1)Br,
BLEMRRXGTKTJGT-UHFFFAOYSA-N,CC1=CC=CC=C1CC(=O)OC,
DGEZNRSVGBDHLK-UHFFFAOYSA-N,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,
