InChIKey,SMILES,Odors
NUJGJRNETVAIRJ-UHFFFAOYSA-N,CCCCCCCC=O,"fatty, fruity, aldehydic, herbal, fresh, orange, green, citrus, waxy"
IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O,"odorless, creamy, fatty, waxy"
ZRSNZINYAWTAHE-UHFFFAOYSA-N,COC1=CC=C(C=C1)C=O,"anisic, floral, fruity, hay, herbal, sweet, vanilla, powdery, hawthorn"
HFPZCAJZSCWRBC-UHFFFAOYSA-N,CC1=CC=C(C=C1)C(C)C,"citrus, fresh, woody"
WQEPLUUGTLDZJY-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(=O)O,"fatty, waxy"
XBDQKXXYIPTUBI-UHFFFAOYSA-N,CCC(=O)O,"milky, pungent, sour, acidic, dairy, cheesy"
UNYNVICDCJHOPO-UHFFFAOYSA-N,CC1C(=C(C(=O)O1)O)C,"caramellic, sweet, coffee"
TUNFSRHWOTWDNC-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)O,"odorless, oily, waxy, fatty, pineapple, coconut, soapy"
KMPQYAYAQWNLME-UHFFFAOYSA-N,CCCCCCCCCCC=O,"citrus, fatty, floral, sweet, waxy, aldehydic, pineapple, orange, green, soapy"
MWOOGOJBHIARFG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=O)O,"creamy, vanilla, sweet, chocolate"
FYGHSUNMUKGBRK-UHFFFAOYSA-N,CC1=C(C(=CC=C1)C)C,
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,"orange, rose, sweet, waxy, aldehydic, mushroom, fatty, floral, coconut, green, citrus"
YZEFQPIMXZVPKP-UHFFFAOYSA-N,CC1CCC2=NC=CN=C12,
MNWFXJYAOYHMED-UHFFFAOYSA-N,CCCCCCC(=O)O,"fatty, sour, fermented, fruity, pineapple, cheesy, waxy"
FUZZWVXGSFPDMH-UHFFFAOYSA-N,CCCCCC(=O)O,"cheesy, fatty, sour"
KANZWHBYRHQMKZ-UHFFFAOYSA-N,C=CC1=NC=CN=C1,"burnt, green, nutty"
YRHYCMZPEVDGFQ-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC,"cognac, fatty, fruity, oily, winey, fermented, floral"
WWZKQHOCKIZLMA-UHFFFAOYSA-N,CCCCCCCC(=O)O,"animal, fatty, vegetable, oily, cheesy, waxy"
OXQOBQJCDNLAPO-UHFFFAOYSA-N,CC1=NC=CN=C1C,"caramellic, cocoa, coffee, green, meaty, nutty, potato, musty, powdery, roasted"
WKSXRWSOSLGSTN-UHFFFAOYSA-N,COC1=NC=CN=C1,"cocoa, earthy, green, nutty, roasted, sweet, winey, chocolate"
DBZAKQWXICEWNW-UHFFFAOYSA-N,CC(=O)C1=NC=CN=C1,"nutty, popcorn, musty, potato, coffee, roasted, hazelnut, chocolate"
CAWHJQAVHZEVTJ-UHFFFAOYSA-N,CC1=NC=CN=C1,"cocoa, fishy, green, musty, nutty, potato, brown, roasted, earthy, chocolate"
QMQDJVIJVPEQHE-UHFFFAOYSA-N,CCC(C)C1=NC=CN=C1OC,"green, musty, vegetable, peppery, potato, nutty"
CIBKSMZEVHTQLG-UHFFFAOYSA-N,CCC1=CN=C(C(=N1)C)C,"almond, burnt, chocolate, cocoa, nutty, roasted, popcorn"
PSINWXIDJYEXLO-UHFFFAOYSA-N,CCC1=NC=C(N=C1CC)C,"chocolate, hazelnut, meaty, nutty, roasted, musty, vegetable, potato, green, earthy"
ZYEMGPIYFIJGTP-UHFFFAOYSA-N,COC1=C(C=C(C=C1)CC=C)OC,"herbal, musty, spicy, tea, sweet, vegetable, warm, cinnamon, peppery, phenolic, fresh, clove, waxy"
GZXXANJCCWGCSV-UHFFFAOYSA-N,CCC1=NC=CN=C1CC,"earthy, nutty, potato, roasted"
DPCILIMHENXHQX-UHFFFAOYSA-N,CCC1=NC=CN=C1OC,"earthy, green, musty, nutty, vegetable"
YTZKOQUCBOVLHL-UHFFFAOYSA-N,CC(C)(C)C1=CC=CC=C1,
MYHGOWDLVRDUFA-UHFFFAOYSA-N,CC(CC=O)C1=CC=CC=C1,"herbal, hyacinth, green"
GLZPCOQZEFWAFX-YFHOEESVSA-N,CC(=CCC/C(=C\CO)/C)C,"fresh, rose, sweet, natural, citrus"
FKUPPRZPSYCDRS-UHFFFAOYSA-N,C1CCCCCCCOC(=O)CCCCCC1,"musk, pear, sweet, natural, animal, fruity, powdery, tobacco, coumarinic, brown"
KHLFMZDGADSQGR-ACCUITESSA-N,C1CCCCCCOC(=O)/C=C/CCCCC1,"sweet, musk, waxy"
PGMYKACGEOXYJE-UHFFFAOYSA-N,CCCCCOC(=O)C,"banana, ethereal, fruity, apple, pear"
JHIVVAPYMSGYDF-UHFFFAOYSA-N,C1CCC(=O)CC1,"camphoreous, ketonic, minty, solvent, sweet"
CATSNJVOTSVZJV-UHFFFAOYSA-N,CCCCCC(=O)C,"cheesy, cinnamon, coconut, fruity, sweet, spicy, banana, herbal, creamy, green, woody, ketonic"
KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)C1=CC=CC=C1,"cherry, pungent, sweet, vanilla, floral, nutty, coumarinic, hawthorn, almond, chemical"
AIVVNNYXOSPRCW-UHFFFAOYSA-N,CC1C(=NC(S1)C)C,
XMWRWTSZNLOZFN-UHFFFAOYSA-N,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],"dry, sweet, fatty, soapy, musk"
NOOLISFMXDJSKH-KXUCPTDWSA-N,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,"minty, mentholic, cooling"
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(=O)C,"camphoreous, fruity, ketonic, solvent, sweet, ethereal"
MMFCJPPRCYDLLZ-CMDGGOBGSA-N,CCCCCCC/C=C/C=O,"chicken, earthy, fatty, green, mushroom, waxy, aldehydic"
KIPCKEJKGCXRGA-UHFFFAOYSA-N,CCC1(C(C2CCC1(C2)C)(C)C)O,"earthy, musty, camphoreous"
PETRWTHZSKVLRE-UHFFFAOYSA-N,CC1=CC(=C(C=C1)O)OC,"phenolic, smoky, spicy, sweet, vanilla, medicinal, burnt, woody, clove, leathery"
FGKJLKRYENPLQH-UHFFFAOYSA-N,CC(C)CCC(=O)O,"cheesy, pungent, sour"
HFVMLYAGWXSTQI-QYXZOKGRSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CCC(=O)C4)C,
FZJUFJKVIYFBSY-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)CCC=O,"sweet, floral, fresh"
DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(=O)C,"banana, fruity, pear, pineapple, sweet, solvent, ethereal, sharp"
WEEGYLXZBRQIMU-UHFFFAOYSA-N,CC1(C2CCC(O1)(CC2)C)C,"camphoreous, fresh, herbal, medicinal"
UFLHIIWVXFIJGU-ARJAWSKDSA-N,CC/C=C\CCO,"fresh, grassy, green, vegetable, herbal, oily, pungent"
WTEVQBCEXWBHNA-JXMROGBWSA-N,CC(=CCC/C(=C/C=O)/C)C,"citrus, fresh, fruity, lemon"
KSMVZQYAVGTKIV-UHFFFAOYSA-N,CCCCCCCCCC=O,"orange, sweet, waxy, aldehydic, floral, citrus"
QSJXEFYPDANLFS-UHFFFAOYSA-N,CC(=O)C(=O)C,"buttery, sweet, caramellic, creamy, pungent"
UBJVUCKUDDKUJF-UHFFFAOYSA-N,C=CCSCC=C,"garlic, horseradish, pungent, sweet, metallic, sulfurous, onion"
USIUVYZYUHIAEV-UHFFFAOYSA-N,C1=CC=C(C=C1)OC2=CC=CC=C2,"floral, green, metallic, geranium, phenolic"
XRHCAGNSDHCHFJ-UHFFFAOYSA-N,C1CCCCCC(=O)OCCOC(=O)CCCCC1,"fatty, musk, oily, sweet, floral, powdery, woody"
SCCDQYPEOIRVGX-UHFFFAOYSA-N,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,"balsamic, fruity, spicy, sweet, malty, floral, fresh, woody, clove"
LHXDLQBQYFFVNW-OIBJUYFYSA-N,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,"camphoreous, pine, sweet, herbal, earthy, woody"
HNDHDMOSWUAEAW-VMXHOPILSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C,
HIGQPQRQIQDZMP-DHZHZOJOSA-N,CC(=CCC/C(=C/COC(=O)C)/C)C,"floral, fruity, green, rose, sweet, lavender, waxy"
LHGVFZTZFXWLCP-UHFFFAOYSA-N,COC1=CC=CC=C1O,"medicinal, phenolic, smoky, sweet, vanilla, meaty, spicy, savory, woody"
ZCZSIDMEHXZRLG-UHFFFAOYSA-N,CCCCCCCOC(=O)C,"fatty, floral, fruity, aldehydic, rummy, winey, apricot, pear, fresh, green, woody, citrus, waxy"
XAPCMTMQBXLDBB-UHFFFAOYSA-N,CCCCCCOC(=O)CCC,"fruity, sweet, vegetable, estery, apple, green, soapy, waxy"
KGEKLUUHTZCSIP-JFGNBEQYSA-N,CC(=O)O[C@H]1C[C@H]2CC[C@]1(C2(C)C)C,"camphoreous, earthy, fruity, herbal, pine, woody"
AMIMRNSIRUDHCM-UHFFFAOYSA-N,CC(C)C=O,"banana, cheesy, chocolate, fruity, green, floral, aldehydic, fresh, pungent"
KQNPFQTWMSNSAP-UHFFFAOYSA-N,CC(C)C(=O)O,"cheesy, fruity, sour, acidic, dairy, buttery"
BJIOGJUNALELMI-ONEGZZNKSA-N,C/C=C/C1=CC(=C(C=C1)O)OC,"sweet, spicy, floral, phenolic"
LSDPWZHWYPCBBB-UHFFFAOYSA-N,CS,"cabbage, vegetable, sulfurous, garlic, savory, alliaceous, oily, creamy"
OSWPMRLSEDHDFF-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1O,"sweet, warm, camphoreous, phenolic, minty, aromatic"
YLYBTZIQSIBWLI-UHFFFAOYSA-N,CCCCCCCCOC(=O)C,"citrus, floral, fruity, green, jasmine, orange, peach, mushroom, herbal, earthy, waxy"
DTUQWGWMVIHBKE-UHFFFAOYSA-N,C1=CC=C(C=C1)CC=O,"floral, green, honey, rose, sweet, fermented, cocoa, powdery, earthy, hyacinth, chocolate"
KYQCOXFCLRTKLS-UHFFFAOYSA-N,C1=CN=CC=N1,"musty, nutty, roasted, sweet, hazelnut, pungent"
WUOACPNHFRMFPN-UHFFFAOYSA-N,CC1=CCC(CC1)C(C)(C)O,"floral, sweet, clean, herbal, fresh, woody, pine"
IGODOXYLBBXFDW-UHFFFAOYSA-N,CC1=CCC(CC1)C(C)(C)OC(=O)C,"herbal, spicy, sweet, lavender, bergamot, citrus"
QPJVMBTYPHYUOC-UHFFFAOYSA-N,COC(=O)C1=CC=CC=C1,"floral, fruity, sweet, phenolic, almond"
RMBFBMJGBANMMK-UHFFFAOYSA-N,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],
ONKNPOPIGWHAQC-UHFFFAOYSA-N,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,"sweet, floral, musk"
CIEKNJJOENYFQL-UHFFFAOYSA-N,CC1C(SC(=N1)C)C,
IAEGWXHKWJGQAZ-UHFFFAOYSA-N,CC1=CN=C(C(=N1)C)C,"burnt, cocoa, coffee, nutty, potato, roasted, musty, powdery, hazelnut, earthy"
NTOPKICPEQUPPH-UHFFFAOYSA-N,CC(C)C1=NC=CN=C1OC,"earthy, potato, vegetable, nutty, chocolate"
