group,n_molecules,n_receptors,receptors,molecule,SMILES,InChIKey,odor_tags,n_tags,unique_tags
G12,7,8,O76001; P34982; P47890; Q8NGI8; Q8NGI9; Q9P1Q5; Q9Y3N9; Q9Y585,SML0210,C[C@H]1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-HNNXBMFYSA-N,,0,aldehydic; amber; animal; balsamic; citrus; cucumber; floral; fruity; musk; oily; sweet; waxy; woody
G12,7,8,O76001; P34982; P47890; Q8NGI8; Q8NGI9; Q9P1Q5; Q9Y3N9; Q9Y585,SML0661,C1CCCCCCCC(=O)OCCCCCCC1,LOKPJYNMYCVCRM-UHFFFAOYSA-N,amber; balsamic; animal; sweet; musk,5,aldehydic; amber; animal; balsamic; citrus; cucumber; floral; fruity; musk; oily; sweet; waxy; woody
G12,7,8,O76001; P34982; P47890; Q8NGI8; Q8NGI9; Q9P1Q5; Q9Y3N9; Q9Y585,SML0662,C1CCCCCC(=O)CCC=CCCCC1,JIYIHILAGIZIMD-UHFFFAOYSA-N,,0,aldehydic; amber; animal; balsamic; citrus; cucumber; floral; fruity; musk; oily; sweet; waxy; woody
G12,7,8,O76001; P34982; P47890; Q8NGI8; Q8NGI9; Q9P1Q5; Q9Y3N9; Q9Y585,SML0667,C1CCCCCOCCCCOC(=O)CCCC1,MRMOPGVGWFNHIN-UHFFFAOYSA-N,sweet; waxy; woody; fruity; musk,5,aldehydic; amber; animal; balsamic; citrus; cucumber; floral; fruity; musk; oily; sweet; waxy; woody
G12,7,8,O76001; P34982; P47890; Q8NGI8; Q8NGI9; Q9P1Q5; Q9Y3N9; Q9Y585,SML0670,C1CCCCOCCCCCCOC(=O)CCC1,MZLRFHKWWCSGHB-UHFFFAOYSA-N,oily; animal; sweet; floral; fruity; musk,6,aldehydic; amber; animal; balsamic; citrus; cucumber; floral; fruity; musk; oily; sweet; waxy; woody
G12,7,8,O76001; P34982; P47890; Q8NGI8; Q8NGI9; Q9P1Q5; Q9Y3N9; Q9Y585,SML0684,C/C=C/CCCCCCCC#N,RPLWLQJSZFPHGM-NSCUHMNNSA-N,,0,aldehydic; amber; animal; balsamic; citrus; cucumber; floral; fruity; musk; oily; sweet; waxy; woody
G30,7,3,O76001; Q8NGN6; Q9Y3N9,SML0084,CCC(=O)C,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,ketonic; solvent; sweet; camphoreous; fruity; ethereal,6,animal; apple; apricot; banana; camphoreous; ethereal; fatty; fishy; fresh; fruity; green; herbal; ketonic; medicinal; melon; natural; pear; pine; pineapple; plum; solvent; sweet; tropical; waxy; woody
G30,7,3,O76001; Q8NGN6; Q9Y3N9,SML0092,CC1(C2CCC(O1)(CC2)C)C,WEEGYLXZBRQIMU-UHFFFAOYSA-N,herbal; camphoreous; fresh; medicinal,4,animal; apple; apricot; banana; camphoreous; ethereal; fatty; fishy; fresh; fruity; green; herbal; ketonic; medicinal; melon; natural; pear; pine; pineapple; plum; solvent; sweet; tropical; waxy; woody
G30,7,3,O76001; Q8NGN6; Q9Y3N9,SML0173,C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,fishy; animal,2,animal; apple; apricot; banana; camphoreous; ethereal; fatty; fishy; fresh; fruity; green; herbal; ketonic; medicinal; melon; natural; pear; pine; pineapple; plum; solvent; sweet; tropical; waxy; woody
G30,7,3,O76001; Q8NGN6; Q9Y3N9,SML0230,CC(C)[C@]12CCC(=C)[C@H]1C2,NDVASEGYNIMXJL-NXEZZACHSA-N,,0,animal; apple; apricot; banana; camphoreous; ethereal; fatty; fishy; fresh; fruity; green; herbal; ketonic; medicinal; melon; natural; pear; pine; pineapple; plum; solvent; sweet; tropical; waxy; woody
G30,7,3,O76001; Q8NGN6; Q9Y3N9,SML0543,CCCC(C)C(=O)OCC,HZPKNSYIDSNZKW-UHFFFAOYSA-N,natural; fatty; melon; pear; pineapple; fresh; green; waxy; fruity,9,animal; apple; apricot; banana; camphoreous; ethereal; fatty; fishy; fresh; fruity; green; herbal; ketonic; medicinal; melon; natural; pear; pine; pineapple; plum; solvent; sweet; tropical; waxy; woody
G30,7,3,O76001; Q8NGN6; Q9Y3N9,SML0550,CCCCCOC(=O)CC,TWSRVQVEYJNFKQ-UHFFFAOYSA-N,apricot; tropical; pineapple; sweet; banana; fruity; apple,7,animal; apple; apricot; banana; camphoreous; ethereal; fatty; fishy; fresh; fruity; green; herbal; ketonic; medicinal; melon; natural; pear; pine; pineapple; plum; solvent; sweet; tropical; waxy; woody
G30,7,3,O76001; Q8NGN6; Q9Y3N9,SML0581,CCOC(=O)CC1(OCCO1)C,XWEOGMYZFCHQNT-UHFFFAOYSA-N,tropical; plum; sweet; pine; green; woody; fruity; apple,8,animal; apple; apricot; banana; camphoreous; ethereal; fatty; fishy; fresh; fruity; green; herbal; ketonic; medicinal; melon; natural; pear; pine; pineapple; plum; solvent; sweet; tropical; waxy; woody
