group,n_molecules,n_receptors,receptors,molecule,SMILES,InChIKey,odor_tags,n_tags,unique_tags
G18,2,7,O76001; P0C7T3; P34982; P47890; Q8NGN6; Q9Y3N9; Q9Y585,SML0044,CCCCCCCC=O,NUJGJRNETVAIRJ-UHFFFAOYSA-N,herbal; fatty; citrus; fresh; green; waxy; aldehydic; fruity; orange,9,aldehydic; citrus; cognac; fatty; fresh; fruity; green; herbal; nutty; orange; ozone; sweet; waxy
G18,2,7,O76001; P0C7T3; P34982; P47890; Q8NGN6; Q9Y3N9; Q9Y585,SML0196,CCCCCCC=O,FXHGMKSSBGDXIY-UHFFFAOYSA-N,ozone; herbal; fatty; citrus; nutty; cognac; sweet; fresh; green; aldehydic,10,aldehydic; citrus; cognac; fatty; fresh; fruity; green; herbal; nutty; orange; ozone; sweet; waxy
G19,2,7,O76001; P34982; P47890; Q8NGN6; Q96R69; Q9H346; Q9Y3N9,SML0171,CC(C)CCOC(=O)C,MLFHJEHSLIIPHL-UHFFFAOYSA-N,estery; ripe; solvent; pear; sweet; banana; fruity,7,banana; buttery; caramellic; creamy; dry; estery; fatty; fruity; jammy; oily; pear; phenolic; ripe; solvent; sweet
G19,2,7,O76001; P34982; P47890; Q8NGN6; Q96R69; Q9H346; Q9Y3N9,SML0497,CCCC(=O)C(=O)C,MWVFCEVNXHTDNF-UHFFFAOYSA-N,jammy; phenolic; fatty; buttery; oily; sweet; dry; caramellic; fruity; creamy,10,banana; buttery; caramellic; creamy; dry; estery; fatty; fruity; jammy; oily; pear; phenolic; ripe; solvent; sweet
G20,2,7,O76001; P34982; P47890; Q8NH56; Q9P1Q5; Q9Y3N9; Q9Y585,SML0446,CC(C)CC(C)CC=C(C)C=O,LCLLDHVSJPTTSF-UHFFFAOYSA-N,,0,citrus; floral; fresh; lily; sweet
G20,2,7,O76001; P34982; P47890; Q8NH56; Q9P1Q5; Q9Y3N9; Q9Y585,SML0678,CCC(C)(CCCC(C)C)O,DLHQZZUEERVIGQ-UHFFFAOYSA-N,lily; citrus; sweet; floral; fresh,5,citrus; floral; fresh; lily; sweet
G23,2,6,O76001; P34982; P47890; Q8NGI9; Q9Y3N9; Q9Y585,SML0320,CCOC(=O)CCC(C)C,OFQRUTMGVBMTFQ-UHFFFAOYSA-N,pineapple; fruity; apple,3,apple; buttery; cheesy; dairy; fruity; ketonic; meaty; pineapple
G23,2,6,O76001; P34982; P47890; Q8NGI9; Q9Y3N9; Q9Y585,SML0453,CCCCC(=O)C,QQZOPKMRPOGIEB-UHFFFAOYSA-N,cheesy; ketonic; buttery; meaty; dairy; fruity,6,apple; buttery; cheesy; dairy; fruity; ketonic; meaty; pineapple
G24,2,6,O76001; P34982; P47890; Q8NGN6; Q9H346; Q9Y3N9,SML0461,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,rummy; strawberry; rum; fresh; fruity; ethereal; apple,7,apple; ethereal; fresh; fruity; rum; rummy; strawberry
G24,2,6,O76001; P34982; P47890; Q8NGN6; Q9H346; Q9Y3N9,SML0769,C=CCSS(=O)CC=C,JDLKFOPOAOFWQN-UHFFFAOYSA-N,,0,apple; ethereal; fresh; fruity; rum; rummy; strawberry
