group_id,mol_a,mol_b,n_receptors,jaccard
G002,SML0166,SML0454,1,0.07692307692307693
G002,SML0166,SML0464,1,0.1111111111111111
G002,SML0166,SML0488,1,0.125
G002,SML0166,SML0503,1,0.2222222222222222
G002,SML0166,SML0521,1,0.0
G002,SML0166,SML0525,1,0.08333333333333333
G002,SML0166,SML0527,1,0.09090909090909091
G002,SML0217,SML0290,1,0.08333333333333333
G002,SML0217,SML0310,1,0.5
G002,SML0217,SML0317,1,0.0
G002,SML0217,SML0454,1,0.0
G002,SML0217,SML0464,1,0.0
G002,SML0217,SML0488,1,0.0
G002,SML0217,SML0503,1,0.0
G002,SML0217,SML0521,1,0.0
G002,SML0217,SML0525,1,0.0
G002,SML0217,SML0527,1,0.2222222222222222
G002,SML0290,SML0310,1,0.2857142857142857
G002,SML0290,SML0317,1,0.125
G002,SML0290,SML0454,1,0.06666666666666667
G002,SML0290,SML0464,1,0.0
G002,SML0290,SML0488,1,0.0
G002,SML0290,SML0503,1,0.08333333333333333
G002,SML0290,SML0521,1,0.0
G002,SML0290,SML0525,1,0.07142857142857142
G002,SML0290,SML0527,1,0.2727272727272727
G002,SML0310,SML0317,1,0.05263157894736842
G002,SML0310,SML0454,1,0.0
G002,SML0310,SML0464,1,0.0
G002,SML0310,SML0488,1,0.0
G002,SML0310,SML0503,1,0.0
G002,SML0310,SML0521,1,0.0
G002,SML0310,SML0525,1,0.0625
G002,SML0310,SML0527,1,0.3333333333333333
G002,SML0317,SML0454,1,0.125
G002,SML0317,SML0464,1,0.0
G002,SML0317,SML0488,1,0.0
G002,SML0317,SML0503,1,0.07142857142857142
G002,SML0317,SML0521,1,0.0
G002,SML0317,SML0525,1,0.21428571428571427
G002,SML0317,SML0527,1,0.0
G002,SML0454,SML0464,1,0.0
G002,SML0454,SML0488,1,0.0
G002,SML0454,SML0503,1,0.08333333333333333
G002,SML0454,SML0521,1,0.0
G002,SML0454,SML0525,1,0.15384615384615385
G002,SML0454,SML0527,1,0.0
G002,SML0464,SML0488,1,0.75
G002,SML0464,SML0503,1,0.0
G002,SML0464,SML0521,1,0.0
G002,SML0464,SML0525,1,0.0
G002,SML0464,SML0527,1,0.0
G002,SML0488,SML0503,1,0.0
G002,SML0488,SML0521,1,0.0
G002,SML0488,SML0525,1,0.0
G002,SML0488,SML0527,1,0.0
G002,SML0503,SML0521,1,0.0
G002,SML0503,SML0525,1,0.09090909090909091
G002,SML0503,SML0527,1,0.1
G002,SML0521,SML0525,1,0.14285714285714285
G002,SML0521,SML0527,1,0.0
G002,SML0525,SML0527,1,0.0
G003,SML0021,SML0189,7,0.07692307692307693
G003,SML0021,SML0195,7,0.0
G003,SML0021,SML0415,7,0.16666666666666666
G003,SML0021,SML0444,7,0.06666666666666667
G003,SML0021,SML0553,7,0.08333333333333333
G003,SML0021,SML0674,7,0.0
G003,SML0021,SML0679,7,0.14285714285714285
G003,SML0021,SML0734,7,0.21428571428571427
G003,SML0189,SML0195,7,0.0
G003,SML0189,SML0415,7,0.16666666666666666
G003,SML0189,SML0444,7,0.23076923076923078
G003,SML0189,SML0553,7,0.3
G003,SML0189,SML0674,7,0.0
G003,SML0189,SML0679,7,0.23076923076923078
G003,SML0189,SML0734,7,0.21428571428571427
G003,SML0195,SML0415,7,0.0
G003,SML0195,SML0444,7,0.11764705882352941
G003,SML0195,SML0553,7,0.14285714285714285
G003,SML0195,SML0674,7,0.0
G003,SML0195,SML0679,7,0.05555555555555555
G003,SML0195,SML0734,7,0.0
G003,SML0415,SML0444,7,0.06666666666666667
G003,SML0415,SML0553,7,0.08333333333333333
G003,SML0415,SML0674,7,0.14285714285714285
G003,SML0415,SML0679,7,0.23076923076923078
G003,SML0415,SML0734,7,0.21428571428571427
G003,SML0444,SML0553,7,0.15384615384615385
G003,SML0444,SML0674,7,0.0
G003,SML0444,SML0679,7,0.125
G003,SML0444,SML0734,7,0.1875
G003,SML0553,SML0674,7,0.0
G003,SML0553,SML0679,7,0.25
G003,SML0553,SML0734,7,0.06666666666666667
G003,SML0674,SML0679,7,0.0
G003,SML0674,SML0734,7,0.0
G003,SML0679,SML0734,7,0.26666666666666666
G004,SML0015,SML0030,1,0.16666666666666666
G004,SML0015,SML0049,1,0.42857142857142855
G004,SML0015,SML0617,1,0.0
G004,SML0030,SML0049,1,0.125
G004,SML0030,SML0617,1,0.3333333333333333
G004,SML0049,SML0617,1,0.0
G005,SML0106,SML0259,1,0.3333333333333333
G005,SML0106,SML0352,1,0.3333333333333333
G005,SML0106,SML0358,1,0.0
G005,SML0106,SML0375,1,0.16666666666666666
G005,SML0106,SML0566,1,0.1
G005,SML0259,SML0352,1,0.23076923076923078
G005,SML0259,SML0358,1,0.0
G005,SML0259,SML0375,1,0.16666666666666666
G005,SML0259,SML0566,1,0.1
G005,SML0352,SML0358,1,0.0
G005,SML0352,SML0375,1,0.16666666666666666
G005,SML0352,SML0566,1,0.1
G005,SML0358,SML0375,1,0.0
G005,SML0358,SML0566,1,0.0
G005,SML0375,SML0566,1,0.125
G006,SML0245,SML0335,4,0.0
G006,SML0245,SML0455,4,0.0
G006,SML0245,SML0547,4,0.0
G006,SML0245,SML0715,4,0.0
G006,SML0335,SML0455,4,0.0
G006,SML0335,SML0547,4,0.05263157894736842
G006,SML0335,SML0715,4,0.15
G006,SML0455,SML0547,4,0.23076923076923078
G006,SML0455,SML0715,4,0.05555555555555555
G006,SML0547,SML0715,4,0.22727272727272727
G007,SML0084,SML0092,3,0.1111111111111111
G007,SML0084,SML0173,3,0.0
G007,SML0084,SML0331,3,0.16666666666666666
G007,SML0084,SML0334,3,0.07692307692307693
G007,SML0084,SML0461,3,0.2
G007,SML0084,SML0462,3,0.125
G007,SML0092,SML0173,3,0.0
G007,SML0092,SML0331,3,0.09090909090909091
G007,SML0092,SML0334,3,0.0
G007,SML0092,SML0461,3,0.1111111111111111
G007,SML0092,SML0462,3,0.0
G007,SML0173,SML0331,3,0.0
G007,SML0173,SML0334,3,0.0
G007,SML0173,SML0461,3,0.0
G007,SML0173,SML0462,3,0.0
G007,SML0331,SML0334,3,0.14285714285714285
G007,SML0331,SML0461,3,0.2727272727272727
G007,SML0331,SML0462,3,0.1
G007,SML0334,SML0461,3,0.0
G007,SML0334,SML0462,3,0.0
G007,SML0461,SML0462,3,0.2857142857142857
G008,SML0126,SML0191,5,0.5
G008,SML0126,SML0192,5,0.125
G008,SML0126,SML0233,5,0.23076923076923078
G008,SML0126,SML0254,5,0.2
G008,SML0126,SML0355,5,0.125
G008,SML0126,SML0453,5,0.0
G008,SML0191,SML0192,5,0.0625
G008,SML0191,SML0233,5,0.36363636363636365
G008,SML0191,SML0254,5,0.2222222222222222
G008,SML0191,SML0355,5,0.14285714285714285
G008,SML0191,SML0453,5,0.0
G008,SML0192,SML0233,5,0.125
G008,SML0192,SML0254,5,0.07692307692307693
G008,SML0192,SML0355,5,0.1
G008,SML0192,SML0453,5,0.0
G008,SML0233,SML0254,5,0.3333333333333333
G008,SML0233,SML0355,5,0.125
G008,SML0233,SML0453,5,0.0
G008,SML0254,SML0355,5,0.25
G008,SML0254,SML0453,5,0.1111111111111111
G008,SML0355,SML0453,5,0.0
G009,SML0076,SML0209,6,0.2
G009,SML0076,SML0664,6,0.16666666666666666
G009,SML0076,SML0738,6,0.125
G009,SML0209,SML0664,6,0.4
G009,SML0209,SML0738,6,0.5
G009,SML0664,SML0738,6,0.25
G010,SML0667,SML0670,8,0.375
G010,SML0667,SML0694,8,0.1111111111111111
G010,SML0670,SML0694,8,0.2222222222222222
G011,SML0127,SML0300,2,0.0
G011,SML0127,SML0304,2,0.3333333333333333
G011,SML0127,SML0321,2,0.058823529411764705
G011,SML0127,SML0374,2,0.06666666666666667
G011,SML0300,SML0304,2,0.0
G011,SML0300,SML0321,2,0.0
G011,SML0300,SML0374,2,0.3333333333333333
G011,SML0304,SML0321,2,0.0
G011,SML0304,SML0374,2,0.0
G011,SML0321,SML0374,2,0.058823529411764705
G012,SML0206,SML0574,8,0.25
G012,SML0206,SML0655,8,0.15384615384615385
G012,SML0206,SML0671,8,0.14285714285714285
G012,SML0206,SML0688,8,0.07142857142857142
G012,SML0574,SML0655,8,0.15384615384615385
G012,SML0574,SML0671,8,0.14285714285714285
G012,SML0574,SML0688,8,0.36363636363636365
G012,SML0655,SML0671,8,0.375
G012,SML0655,SML0688,8,0.1111111111111111
G012,SML0671,SML0688,8,0.1
G013,SML0178,SML0183,6,0.2222222222222222
G013,SML0178,SML0423,6,0.05
G013,SML0178,SML0538,6,0.21428571428571427
G013,SML0183,SML0423,6,0.0
G013,SML0183,SML0538,6,0.2
G013,SML0423,SML0538,6,0.1
G014,SML0689,SML0690,9,0.2727272727272727
G014,SML0689,SML0708,9,0.1
G014,SML0690,SML0708,9,0.0625
G015,SML0125,SML0740,1,0.25
G017,SML0522,SML0531,5,0.09090909090909091
G017,SML0522,SML0725,5,0.0
G017,SML0531,SML0725,5,0.0
G018,SML0502,SML0507,1,0.05555555555555555
G019,SML0022,SML0564,6,0.0
G020,SML0024,SML0037,9,0.14285714285714285
G021,SML0281,SML0294,5,0.2857142857142857
G021,SML0281,SML0460,5,0.0
G021,SML0281,SML0475,5,0.0
G021,SML0294,SML0460,5,0.0
G021,SML0294,SML0475,5,0.09090909090909091
G021,SML0460,SML0475,5,0.0
G022,SML0345,SML0463,6,0.0
G022,SML0345,SML0572,6,0.14285714285714285
G022,SML0463,SML0572,6,0.125
