bin,n_same,same_mean,same_median,n_rand,rand_mean,rand_median,same_any,rand_any,p
0.0-0.2 (very different),347,0.07267755312459395,0.0625,17173,0.05879004219631135,0.0,0.5360230547550432,0.47335934315495254,0.002054410507472805
0.2-0.4 (different),117,0.12323584256088027,0.11764705882352941,2382,0.11598589683171796,0.09090909090909091,0.6923076923076923,0.7044500419815282,0.16495688173117973
0.4-1.0 (similar),57,0.23036545784223805,0.2222222222222222,445,0.1936063561520131,0.16666666666666666,0.8947368421052632,0.8584269662921349,0.002170508117492739
