inchikey,smiles_can,in_m2or,m2or_id,in_leffingwell,leffingwell_id,in_goodscents,goodscents_id,skeleton,in_chembl,in_chembl_skeleton,is_odorant,chembl_id
PSLJJIWWAUDWTE-UHFFFAOYSA-N,CCCCC(=S)OC,0,,1,560787,0,,PSLJJIWWAUDWTE,0,0,1,
ZSAYVPCIKVBDRI-UHFFFAOYSA-N,CCCCCCCCCC(=O)OCc1ccccc1,0,,1,562246,0,,ZSAYVPCIKVBDRI,0,0,1,
PBWQZEMADHTUIF-UHFFFAOYSA-N,C=CCC(C=O)c1ccccc1,0,,1,562563,1,562563,PBWQZEMADHTUIF,0,0,1,
QICYMLLAPDCBNZ-UHFFFAOYSA-N,CCCCCCCCCOC(=O)Cc1ccccc1,0,,1,562667,0,,QICYMLLAPDCBNZ,0,0,1,
ALKCLFLTXBBMMP-UHFFFAOYSA-N,C=CC(C)(CCC=C(C)C)OC(=O)CCCCC,0,,1,564550,1,564550,ALKCLFLTXBBMMP,0,0,1,
VYQSSWZYPCCBRN-UHFFFAOYSA-N,CC(C)CC(=O)OC1CC(C)CCC1C(C)C,0,,1,565690,1,565690,VYQSSWZYPCCBRN,0,0,1,
PAPSQZAQCBGYCJ-UHFFFAOYSA-N,CCOC(OCC)C(C)CC,0,,1,568501,0,,PAPSQZAQCBGYCJ,0,0,1,
GGKADXREVJTZMF-UHFFFAOYSA-N,CCCC(=O)OC(C)c1ccccc1,0,,1,570574,1,570574,GGKADXREVJTZMF,0,0,1,
OBKVPPPSOAFJDS-UHFFFAOYSA-N,CNc1ccccc1C(=O)OC(C)C,0,,1,570886,0,,OBKVPPPSOAFJDS,0,0,1,
AGWLNVFDVVPLDL-UHFFFAOYSA-N,CCCCCCC(=O)Oc1ccc(C)cc1,0,,1,572534,0,,AGWLNVFDVVPLDL,0,0,1,
KJMPRCVRMAHTBR-UHFFFAOYSA-N,CCCCC(=O)c1cccs1,0,,1,574100,0,,KJMPRCVRMAHTBR,0,0,1,
JBUCYVMFLWLDIO-UHFFFAOYSA-N,Cc1csc(CC(C)C)n1,0,,1,574813,0,,JBUCYVMFLWLDIO,0,0,1,
