SMILES,pattern
CC(C)CC1=C(C=CC=N1)OC,011
CC(C)CC1=NC=CN=C1OC,010
CC(C)CCC(=O)O,100
CC(C)CCOC(=O)C,010
CC(C)[C@]12CCC(=C)[C@H]1C2,010
CC(C1=CC=CC=C1)S,010
CC(C1CCCC(C1)(C)C)OC(C)(C)COC(=O)C2CC2,010
CC(CC1=CC2=C(C=C1)OCO2)C=O,011
CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,011
CC(CC1=CC=C(C=C1)OC)C=O,011
CC(CC1=CC=CC=C1)C=O,011
CC(CC=O)C1=CC=CC=C1,010
CC(CCC1=CC=CC=C1)CC=O,010
CC(CCC1=CC=CC=C1)CCO,011
CC(CCC=C(C)C)CC(=O)O,100
CC(CCCC1=CC=CC=C1)CO,011
CC(CCO)C1=CC=CC=C1,011
CC(CN)C1=CC=CC=C1,010
CC/C(=C\CC1CC=C(C1(C)C)C)/CO,011
CC/C=C/CC1=C(C(=O)CC1)C,011
CC/C=C\CC1=C(CCC1=O)C,011
CC1(C2CCC(=C)C1C2)C,010
CC1([C@@H]2CCC(=C)[C@H]1C2)C,011
CC1=C(C(=O)C=CO1)O,011
CC1=C(C(=O)C=CO1)OC(=O)C(C)C,011
CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C,011
CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,011
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],011
CC1=C(C=C2CCC(OC2=C1C)(C)CCC(=O)O)O,100
CC1=C(C=CO1)SSC,010
CC1=CC(=C(C=C1)C(C)C)O,011
CC1=CC(=O)CC(C1)C(C)C,010
CC1=CC=C(C=C1)CC(C)C=O,010
CC1=CCC2CC1C2(C)C,011
CC1=CCCC(C1/C=C/C(=O)C)(C)C,011
CC1=CC[C@@H]2C[C@H]1C2(C)C,011
CC1=CC[C@H]2C[C@@H]1C2(C)C,011
CC1=CNC(=O)N1,100
CC1C(=NC(S1)C)C,011
CC1C(C2=C(C1(C)C)C(=O)CCC2)(C)C,011
CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C,111
CC1C(C2=C(C1(C)C)C=C(C(=C2)C)C(=O)C)(C)C,011
CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,011
CC1CC2=C(CC1(C)C(=O)C)C(CCC2)(C)C,011
CC1CCC(C(C1)C)C2=CC=CC=N2,010
CC1CCC2=NC=CN=C12,011
CC1CCC2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,111
CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,111
CC=CC(=O)C1=C(C=CCC1(C)C)C,011
CC=CC(=O)C1=C(CCCC1(C)C)C,011
CCC(=O)/C=C/C1C(=CCCC1(C)C)C,011
CCC(=O)O,100
CCC(=O)OCC(C)(C)CC1=C(CCC1C(=C)C)C,010
CCC(=O)OCC1=CC=CC=C1,010
CCC(=O)OCCCC1=CC=CC=C1,010
CCC(C(=O)O)Br,100
CCC(C)C1=C(C=CC=N1)OC,011
CCC(C)C1=NC=CN=C1OC,010
CCC(C)CC(=O)O,100
CCC/C(=C/C(=O)O)/C,100
CCC/C=C/C=C/C=O,011
CCC/C=C/C=O,011
CCC1=C(C(=O)C=CO1)O,011
CCCC(=CC(=O)O)C,100
CCCC(=O)O,100
CCCC(=O)OCC1=CC=CC=C1,010
CCCC(C(=O)O)Br,100
CCCC(C)(CC(=O)O)O,100
CCCC(C)CC(=O)O,100
CCCC/C=C/C=C/C=O,010
CCCC/C=C/C=O,011
CCCC1=CC(=C(C=C1)O)OC,010
CCCC1CCCC(=O)O1,110
CCCCC(=O)O,100
CCCCC(C(=O)O)Br,100
CCCCC(C)CCC(=O)O,100
CCCCC(CC)CCC(=O)O,100
CCCCC/C(=C\C1=CC=CC=C1)/C(OC)OC,011
CCCCC/C=C/C=C/C=O,010
CCCCC/C=C/C=O,011
CCCCC1CCC(=O)O1,100
CCCCC1CCCC(=O)O1,110
CCCCCC(=O)O,100
CCCCCC(=O)OC,100
CCCCCC(=O)OCC,100
CCCCCC(C)C(=O)O,100
CCCCCC/C=C/C=O,011
CCCCCC1=C(CCC1=O)C,011
CCCCCC1=CC=CC=N1,011
CCCCCC1CCC(=O)O1,100
CCCCCC1CCCC(=O)O1,110
CCCCCCC(=O)O,100
CCCCCCC(=O)OC,100
CCCCCCC(=O)OCC,100
CCCCCCC(C(=O)O)Br,100
CCCCCCC/C=C/C=O,010
CCCCCCC1CCCC(=O)O1,100
CCCCCCCC(=O)O,100
CCCCCCCC(=O)OC,100
CCCCCCCC(=O)OCC,100
