node,1,2,3,4,5,6,12,21,32,44
1,1.0,0.1053,0.3182,0.0233,0.2,0.5,0.4762,0.3333,0.381,0.2381
2,0.1053,1.0,0.0741,0.375,0.4483,0.1163,0.1071,0.0769,0.0741,0.0833
3,0.3182,0.0741,1.0,0.0333,0.0741,0.25,0.6364,0.5,0.7778,0.625
4,0.0233,0.375,0.0333,1.0,0.375,0.0204,0.0312,0.0345,0.0333,0.037
5,0.2,0.4483,0.0741,0.375,1.0,0.1429,0.1923,0.1667,0.0741,0.0833
6,0.5,0.1163,0.25,0.0204,0.1429,1.0,0.3704,0.2593,0.2963,0.1852
12,0.4762,0.1071,0.6364,0.0312,0.1923,0.3704,1.0,0.7,0.6364,0.5
21,0.3333,0.0769,0.5,0.0345,0.1667,0.2593,0.7,1.0,0.5,0.5
32,0.381,0.0741,0.7778,0.0333,0.0741,0.2963,0.6364,0.5,1.0,0.625
44,0.2381,0.0833,0.625,0.037,0.0833,0.1852,0.5,0.5,0.625,1.0
