node,tag,obs,exp,obs_exp,p
5,orris,3,2.76,1.086734693877551,0.5802127740658685
5,caramellic,1,2.3,0.4346938775510204,0.9559588514806004
5,cocoa,1,2.3,0.4346938775510204,0.9559588514806004
5,metallic,2,2.3,0.8693877551020408,0.7615429706291967
5,almond,2,2.3,0.8693877551020408,0.7615429706291967
5,coumarinic,4,2.3,1.7387755102040816,0.1386932309799388
5,hay,0,2.3,0.0,1.0
5,cooling,1,2.3,0.4346938775510204,0.9559588514806004
5,grassy,2,2.3,0.8693877551020408,0.7615429706291967
5,amber,4,2.3,1.7387755102040816,0.1386932309799388
5,cabbage,1,2.3,0.4346938775510204,0.9559588514806004
5,potato,0,2.3,0.0,1.0
5,peach,5,2.3,2.173469387755102,0.019487539181037735
5,savory,0,2.3,0.0,1.0
5,grape,2,2.3,0.8693877551020408,0.7615429706291967
5,lemon,4,2.3,1.7387755102040816,0.1386932309799388
5,apricot,3,2.3,1.3040816326530613,0.42478689129730135
5,leafy,4,2.3,1.7387755102040816,0.1386932309799388
6,sweet,49,39.73,1.2332506203473945,0.00714798133006458
6,fruity,30,33.32,0.9002535925612849,0.8643160853286663
6,green,24,27.34,0.8777472527472527,0.8774375471446865
6,floral,33,24.78,1.3317544524441076,0.008302150768718285
6,fatty,5,22.64,0.22081691893012648,0.9999999997924657
6,waxy,4,19.23,0.20805860805860807,0.9999999961911844
6,fresh,11,15.81,0.6958716958716958,0.9753816686520504
6,woody,18,13.24,1.3590925203828428,0.047909003807757373
6,herbal,12,11.96,1.0031397174254317,0.5721739821754344
6,citrus,4,11.11,0.36010143702451397,0.9996715716263769
6,oily,3,10.25,0.29258241758241754,0.999866932922153
6,balsamic,18,9.83,1.8318203535594841,0.00028783327555478204
6,cheesy,1,9.4,0.10639360639360639,0.9999980596590021
6,creamy,2,8.97,0.2229199372056515,0.9999272050054051
6,spicy,12,8.54,1.4043956043956045,0.08091249043234928
6,vegetable,11,8.12,1.3551185656448814,0.12385337655786131
6,rose,10,8.12,1.231925968768074,0.24955413237657545
6,aldehydic,3,7.69,0.3901098901098901,0.996815856719638
6,tropical,6,7.69,0.7802197802197802,0.8628276645707889
6,nutty,11,7.69,1.4304029304029304,0.08154688948868191
6,powdery,12,7.26,1.652230122818358,0.015381857874060462
6,dairy,0,7.26,0.0,1.0
6,sour,0,6.84,0.0,1.0
6,apple,5,6.41,0.7802197802197802,0.8493715950574647
6,banana,4,5.98,0.6687598116169545,0.9200544554083241
6,sulfurous,10,5.55,1.8005071851225698,0.011140161185060551
6,musk,6,5.13,1.1703296703296702,0.4069278888003688
6,pineapple,1,5.13,0.19505494505494506,0.999022480192664
6,pungent,4,5.13,0.7802197802197802,0.8353193001783518
6,earthy,8,5.13,1.5604395604395604,0.07767258829645719
6,coconut,0,5.13,0.0,1.0
6,odorless,0,4.7,0.0,1.0
6,musty,7,4.7,1.4895104895104896,0.13031875184580347
6,sharp,2,4.7,0.42557442557442554,0.9823220826734149
6,orange,3,4.7,0.6383616383616384,0.9190074514068846
6,burnt,9,4.27,2.1065934065934067,0.0023873337789521187
6,meaty,9,4.27,2.1065934065934067,0.0023873337789521187
6,pear,3,4.27,0.7021978021978023,0.878564852009364
6,buttery,0,4.27,0.0,1.0
6,animal,4,4.27,0.9362637362637363,0.6881915725265424
6,milky,0,4.27,0.0,1.0
6,phenolic,7,3.85,1.8205128205128205,0.03383402818039138
6,honey,5,3.85,1.3003663003663002,0.32269507467596864
6,roasted,8,3.85,2.0805860805860803,0.005322358589753115
6,camphoreous,5,3.85,1.3003663003663002,0.32269507467596864
6,tobacco,5,3.42,1.4629120879120878,0.21439493437044346
6,plum,6,3.42,1.7554945054945055,0.06514095949560203
6,minty,5,3.42,1.4629120879120878,0.21439493437044346
6,coffee,8,3.42,2.340659340659341,0.000923864107450795
6,melon,2,3.42,0.5851648351648352,0.9232704873036445
6,berry,6,3.42,1.7554945054945055,0.06514095949560203
6,jasmine,4,3.42,1.1703296703296704,0.4695849201478304
6,acidic,0,3.42,0.0,1.0
6,medicinal,7,2.99,2.340659340659341,0.002265666739700759
6,cherry,6,2.99,2.0062794348508635,0.025028953747988383
6,onion,5,2.99,1.6718995290423864,0.12111120007366755
6,pine,2,2.99,0.6687598116169545,0.8782864098822629
6,chicken,3,2.99,1.0031397174254317,0.6406782060667603
6,winey,1,2.99,0.33437990580847726,0.9812499648689808
6,cinnamon,4,2.56,1.5604395604395604,0.215773511724583
6,jasmin,1,2.56,0.3901098901098901,0.9665408855851639
6,strawberry,4,2.56,1.5604395604395604,0.215773511724583
6,cucumber,1,2.56,0.3901098901098901,0.9665408855851639
6,terpenic,2,2.56,0.7802197802197802,0.8103983516492622
6,dry,5,2.56,1.9505494505494505,0.05248102412675387
6,orris,2,2.56,0.7802197802197802,0.8103983516492622
6,caramellic,5,2.14,2.340659340659341,0.013344808090910518
6,cocoa,5,2.14,2.340659340659341,0.013344808090910518
6,metallic,3,2.14,1.4043956043956045,0.3642212277226095
6,almond,4,2.14,1.8725274725274725,0.10691185332603026
6,coumarinic,2,2.14,0.9362637362637363,0.7111552156730535
6,hay,3,2.14,1.4043956043956045,0.3642212277226095
6,cooling,4,2.14,1.8725274725274725,0.10691185332603026
6,grassy,0,2.14,0.0,1.0
6,amber,4,2.14,1.8725274725274725,0.10691185332603026
6,cabbage,2,2.14,0.9362637362637363,0.7111552156730535
6,potato,5,2.14,2.340659340659341,0.013344808090910518
6,peach,0,2.14,0.0,1.0
