t,n_lineages,founder_median,founder_lo,founder_hi,other_median,founder_still_detected
0.8416666666666667,231,60.0,39.0,83.0,4.0,21
0.85,242,60.0,39.0,83.0,4.0,21
0.8583333333333333,258,63.0,42.0,87.0,4.0,21
0.8666666666666667,265,65.0,43.0,86.0,4.0,21
0.875,273,69.0,48.0,91.0,4.0,21
0.8833333333333333,279,69.0,49.0,91.0,4.0,21
0.8916666666666666,290,73.0,47.0,93.0,4.0,21
0.9,304,76.0,50.0,92.0,5.0,21
0.9083333333333333,315,78.0,52.0,98.0,5.0,21
0.9166666666666666,322,78.0,52.0,97.0,5.0,21
0.9249999999999999,332,78.0,52.0,100.0,5.0,21
0.9333333333333333,343,81.0,52.0,102.0,5.0,21
0.9416666666666667,351,82.0,52.0,101.0,5.0,21
0.95,357,83.0,53.0,104.0,5.0,21
0.9583333333333334,364,84.0,55.0,101.0,5.0,21
0.9666666666666667,376,89.0,59.0,106.0,6.0,21
0.975,385,90.0,59.0,106.0,7.0,21
0.9833333333333333,402,90.0,59.0,107.0,7.0,21
0.9916666666666667,416,91.0,59.0,106.0,7.0,21
1.0,433,95.0,58.0,110.0,6.0,21
