t,n,observed,forced
0.0,2,0.0,0.007742649092080398
0.0,2,0.0,0.007742649092080398
0.112243132474,2,0.07407407407407407,0.007742649092080398
0.112243132474,2,0.07407407407407407,0.007742649092080398
0.112243132474,3,0.07407407407407407,0.019582438600131754
0.112243132474,3,0.07407407407407407,0.019582438600131754
0.112243132474,3,0.07407407407407407,0.019582438600131754
0.112243132474,3,0.07407407407407407,0.019582438600131754
0.324608980201,3,0.225,0.019582438600131754
0.324608980201,3,0.225,0.019582438600131754
0.324608980201,3,0.225,0.019582438600131754
0.324608980201,3,0.225,0.019582438600131754
0.324608980201,3,0.225,0.019582438600131754
0.353979637478,4,0.225,0.025074002578787953
0.371526758847,6,0.42857142857142855,0.0501616729478152
0.382742933756,7,0.5769230769230769,0.06092010257330673
0.442078035662,7,0.5769230769230769,0.06092010257330673
0.442078035662,8,0.5769230769230769,0.060355739434368824
0.467911289357,12,0.5769230769230769,0.06819809533101534
0.50164296653,14,0.5,0.07377964048497498
0.520771993787,19,0.5540540540540541,0.12614935310610745
0.551604970731,25,0.6063829787234043,0.17963460801706072
0.575929894622,28,0.6105263157894737,0.19266773710085505
0.598224553511,35,0.6203703703703703,0.23756201743937239
0.623056265292,44,0.6159420289855072,0.3006261084103409
0.648503392929,64,0.3190348525469169,0.5259490551456731
0.672090878155,83,0.424,0.6256343254474247
0.698583324242,94,0.7070063694267515,0.7842298987148821
0.725159132849,110,0.8188976377952756,0.9146168066700534
0.748148434756,138,0.8074766355140187,0.9494240089290777
0.774255809785,164,0.8018018018018018,0.9714300623776443
0.800198640565,188,0.8118466898954704,0.9867360195471753
0.823822047074,216,0.8494623655913979,0.9975705403909881
0.848842432823,239,0.8494623655913979,0.9981918560701588
0.873677457828,273,0.8573619631901841,0.9994418541476401
0.899502076995,303,0.8660578386605784,0.9996561046262948
0.925871343613,332,0.8569254185692542,0.9997837043442055
0.95031157178,357,0.8706240487062404,0.9998457509175487
0.974774191061,385,0.9296407185628742,0.9999880007238585
1.0,433,0.9251497005988024,0.9999902116893951
