node_fig,node_id,OR_class,human_ORs,ligands,retained,gained,lost,pct_carboxylic_acid,pct_aromatic_ring
0,node_1,root (mixed),433,21,,,,0,62
1,node_2,Class I,62,21,4.0,17.0,17.0,48,33
2,node_3,Class II,371,8,7.0,1.0,14.0,0,50
3,node_4,Class I,55,23,12.0,11.0,9.0,83,9
4,node_5,Class I,7,21,13.0,8.0,8.0,57,24
5,node_6,Class II,370,27,7.0,20.0,1.0,0,70
