functional_group,100,011,010,spread
ketone,11.76470588235294,80.0,33.33333333333333,68.23529411764706
carboxylic_acid,58.82352941176471,0.0,0.0,58.82352941176471
aromatic_ring,29.411764705882355,80.0,58.333333333333336,50.588235294117645
alkene,23.52941176470588,20.0,66.66666666666666,46.66666666666666
ether,11.76470588235294,20.0,58.333333333333336,46.568627450980394
ester,0.0,0.0,33.33333333333333,33.33333333333333
amine,17.647058823529413,0.0,0.0,17.647058823529413
alcohol,17.647058823529413,0.0,8.333333333333332,17.647058823529413
aldehyde,11.76470588235294,0.0,8.333333333333332,11.76470588235294
phenol,11.76470588235294,0.0,0.0,11.76470588235294
amide,5.88235294117647,0.0,8.333333333333332,8.333333333333332
nitrile,0.0,0.0,0.0,0.0
