smiles_id,cluster,class_group,inchikey,row,in_universe
SML0077,0,shared,PGMYKACGEOXYJE-UHFFFAOYSA-N,723964,True
SML0078,5,Class II only,JHIVVAPYMSGYDF-UHFFFAOYSA-N,722456,True
SML0079,1,Class II only,CATSNJVOTSVZJV-UHFFFAOYSA-N,720929,True
SML0080,0,shared,KWOLFJPFCHCOCG-UHFFFAOYSA-N,722848,True
SML0081,2,shared,AIVVNNYXOSPRCW-UHFFFAOYSA-N,720533,True
SML0082,1,Class II only,XMWRWTSZNLOZFN-UHFFFAOYSA-N,725770,True
SML0083,1,shared,NOOLISFMXDJSKH-KXUCPTDWSA-N,723540,True
SML0084,5,,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,726374,True
SML0085,3,shared,MMFCJPPRCYDLLZ-CMDGGOBGSA-N,723255,True
SML0086,2,Class I only,KIPCKEJKGCXRGA-UHFFFAOYSA-N,722722,True
SML0087,3,,PETRWTHZSKVLRE-UHFFFAOYSA-N,723942,True
SML0088,2,Class I only,FGKJLKRYENPLQH-UHFFFAOYSA-N,721510,True
SML0089,2,shared,HFVMLYAGWXSTQI-QYXZOKGRSA-N,721991,True
SML0090,0,shared,FZJUFJKVIYFBSY-UHFFFAOYSA-N,721674,True
SML0091,5,Class I only,DKPFZGUDAPQIHT-UHFFFAOYSA-N,721285,True
SML0092,5,,WEEGYLXZBRQIMU-UHFFFAOYSA-N,725392,True
SML0093,5,shared,UFLHIIWVXFIJGU-ARJAWSKDSA-N,724952,True
SML0094,0,shared,WTEVQBCEXWBHNA-JXMROGBWSA-N,725568,True
SML0095,1,Class I only,KSMVZQYAVGTKIV-UHFFFAOYSA-N,722820,True
SML0096,5,Class I only,QSJXEFYPDANLFS-UHFFFAOYSA-N,724324,True
SML0097,5,Class I only,UBJVUCKUDDKUJF-UHFFFAOYSA-N,724917,True
SML0098,5,,USIUVYZYUHIAEV-UHFFFAOYSA-N,725054,True
SML0099,0,shared,XRHCAGNSDHCHFJ-UHFFFAOYSA-N,725813,True
SML0100,0,shared,SCCDQYPEOIRVGX-UHFFFAOYSA-N,724652,True
SML0101,2,,LHXDLQBQYFFVNW-OIBJUYFYSA-N,722962,True
SML0102,4,Class II only,HNDHDMOSWUAEAW-VMXHOPILSA-N,722045,True
SML0103,0,shared,HIGQPQRQIQDZMP-DHZHZOJOSA-N,722007,True
SML0104,3,Class II only,LHGVFZTZFXWLCP-UHFFFAOYSA-N,722958,True
SML0105,3,,ZCZSIDMEHXZRLG-UHFFFAOYSA-N,726188,True
SML0106,5,,XAPCMTMQBXLDBB-UHFFFAOYSA-N,725645,True
SML0107,2,Class I only,KGEKLUUHTZCSIP-JFGNBEQYSA-N,722704,True
SML0108,2,,AMIMRNSIRUDHCM-UHFFFAOYSA-N,720568,True
SML0109,2,Class I only,KQNPFQTWMSNSAP-UHFFFAOYSA-N,722791,True
SML0110,0,shared,BJIOGJUNALELMI-ONEGZZNKSA-N,720780,True
SML0111,2,Class I only,LSDPWZHWYPCBBB-UHFFFAOYSA-N,723061,True
SML0112,2,,OSWPMRLSEDHDFF-UHFFFAOYSA-N,723824,True
SML0113,2,Class I only,YLYBTZIQSIBWLI-UHFFFAOYSA-N,726008,True
SML0114,0,shared,DTUQWGWMVIHBKE-UHFFFAOYSA-N,721377,True
SML0115,5,,KYQCOXFCLRTKLS-UHFFFAOYSA-N,722868,True
SML0116,5,shared,WUOACPNHFRMFPN-UHFFFAOYSA-N,725585,True
SML0117,0,Class I only,IGODOXYLBBXFDW-UHFFFAOYSA-N,722221,True
