cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
4,79,hazelnut,6,10,1.493,4.018,0.0011864462268289253,0.033559478987446746
4,79,vanilla,8,17,2.539,3.151,0.0013766318816198532,0.03634308167476412
4,79,powdery,15,48,7.168,2.093,0.0020255456192620007,0.050132254076734516
4,79,bready,5,8,1.195,4.185,0.002561498817831987,0.059052972321697504
4,79,roasted,10,29,4.331,2.309,0.005694176069325527,0.104878777835019
4,79,musty,13,44,6.571,1.978,0.007287431232995568,0.1228009688623934
4,79,caramellic,8,22,3.285,2.435,0.009516257662882468,0.1538137973265901
4,79,burnt,7,19,2.837,2.467,0.014214148018772887,0.20468373147032956
4,79,hawthorn,3,5,0.747,4.018,0.025647010651087782,0.31249896054863885
4,79,odorless,4,9,1.344,2.976,0.032153719726785025,0.35019754566937666
4,79,cinnamon,4,9,1.344,2.976,0.032153719726785025,0.35019754566937666
4,79,clove,4,9,1.344,2.976,0.032153719726785025,0.35019754566937666
4,79,anise,3,6,0.896,3.348,0.04581082748076053,0.42188576005537604
4,79,jammy,3,6,0.896,3.348,0.04581082748076053,0.42188576005537604
4,79,cherry,5,15,2.24,2.232,0.058014663905813946,0.48188853466864723
4,79,sweet,42,239,35.692,1.177,0.07752156466749884,0.5481882072915989
4,79,meaty,8,32,4.779,1.674,0.0872902109927697,0.5908875821049027
4,79,balsamic,9,38,5.675,1.586,0.09540187954482035,0.6244486661115514
4,79,vegetable,9,38,5.675,1.586,0.09540187954482035,0.6244486661115514
4,79,hay,3,8,1.195,2.511,0.10258299967066274,0.6605344369037796
4,79,brown,3,8,1.195,2.511,0.10258299967066274,0.6605344369037796
4,79,cocoa,5,18,2.688,1.86,0.11515740850886332,0.6962188361757233
4,79,almond,3,9,1.344,2.232,0.13779763964260164,0.7578870180343089
4,79,chocolate,4,14,2.091,1.913,0.14205062816165467,0.7653339966260578
4,79,chemical,2,5,0.747,2.678,0.16286571219327634,0.8062262036564924
4,79,gasoline,2,5,0.747,2.678,0.16286571219327634,0.8062262036564924
4,79,grape,3,11,1.643,1.826,0.21770347826901232,0.9632466747992054
4,79,tea,2,6,0.896,2.232,0.2213931545495343,0.9674465857554498
4,79,herbal,11,85,12.694,0.867,0.7628985344704701,1.0
4,79,orange,4,28,4.181,0.957,0.6247219829390701,1.0
4,79,peppery,2,7,1.045,1.913,0.2812858642035863,1.0
4,79,terpenic,0,10,1.493,0.0,1.0,1.0
4,79,pine,1,11,1.643,0.609,0.834315328034499,1.0
4,79,minty,5,30,4.48,1.116,0.47341335926186257,1.0
4,79,mentholic,0,9,1.344,0.0,1.0,1.0
4,79,alcoholic,1,8,1.195,0.837,0.7283703201595819,1.0
4,79,solvent,0,8,1.195,0.0,1.0,1.0
4,79,winey,3,22,3.285,0.913,0.6639141461932909,1.0
4,79,fermented,1,16,2.389,0.419,0.927816523668219,1.0
4,79,oily,2,63,9.408,0.213,0.9997445979012914,1.0
4,79,citrus,4,75,11.2,0.357,0.998580686786972,1.0
4,79,fatty,6,104,15.531,0.386,0.9996181888758802,1.0
4,79,floral,24,153,22.849,1.05,0.4254475294773408,1.0
4,79,waxy,5,96,14.336,0.349,0.9997113529899209,1.0
4,79,honey,3,15,2.24,1.339,0.3932538275340778,1.0
4,79,coconut,1,23,3.435,0.291,0.97777825820326,1.0
4,79,earthy,7,36,5.376,1.302,0.2814832433465147,1.0
4,79,soapy,1,16,2.389,0.419,0.927816523668219,1.0
4,79,buttery,0,24,3.584,0.0,1.0,1.0
4,79,cheesy,1,39,5.824,0.172,0.9985948442049641,1.0
4,79,medicinal,1,19,2.837,0.352,0.9563392752883247,1.0
4,79,grassy,1,10,1.493,0.67,0.8045673982952385,1.0
4,79,woody,8,73,10.902,0.734,0.8888426498166403,1.0
