node,parent,n_parent_bound,n_child_bound,n_gain,n_loss,n_retained
1,node_0,,177,,,
2,node_1,177.0,130,89.0,136.0,41.0
3,node_1,177.0,113,0.0,64.0,113.0
4,node_2,130.0,138,25.0,17.0,113.0
5,node_2,130.0,147,42.0,25.0,105.0
6,node_3,113.0,130,34.0,17.0,96.0
12,node_6,130.0,77,0.0,53.0,77.0
21,node_12,77.0,60,3.0,20.0,57.0
32,node_21,60.0,67,15.0,8.0,52.0
44,node_32,67.0,51,3.0,19.0,48.0
