SML,SMILES,InChIKey,Odors
SML0041,CCCCCCCCC=O,GYHFUZHODSMOHU-UHFFFAOYSA-N,"cucumber, fatty, orris, citrus, floral, rose, fresh, green, waxy, aldehydic"
SML0042,CC1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-UHFFFAOYSA-N,"natural, powdery, soapy, fatty, animal, sweet, floral, musk"
SML0043,CCCCCCCCCCCCCCCCCC(=O)O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,odorless
SML0044,CCCCCCCC=O,NUJGJRNETVAIRJ-UHFFFAOYSA-N,"herbal, fatty, citrus, fresh, green, waxy, aldehydic, fruity, orange"
SML0045,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,"odorless, fatty, waxy, creamy"
SML0046,COC1=CC=C(C=C1)C=O,ZRSNZINYAWTAHE-UHFFFAOYSA-N,"hawthorn, powdery, herbal, anisic, sweet, floral, vanilla, fruity, hay"
SML0047,CC1=CC=C(C=C1)C(C)C,HFPZCAJZSCWRBC-UHFFFAOYSA-N,"citrus, fresh, woody"
SML0048,CCCCCCCCCCCCCCC(=O)O,WQEPLUUGTLDZJY-UHFFFAOYSA-N,"fatty, waxy"
SML0049,CCC(=O)O,XBDQKXXYIPTUBI-UHFFFAOYSA-N,"acidic, cheesy, pungent, milky, dairy, sour"
SML0050,CC1C(=C(C(=O)O1)O)C,UNYNVICDCJHOPO-UHFFFAOYSA-N,"coffee, sweet, caramellic"
SML0051,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,"soapy, odorless, fatty, oily, pineapple, coconut, waxy"
SML0052,CCCCCCCCCCC=O,KMPQYAYAQWNLME-UHFFFAOYSA-N,"soapy, fatty, citrus, pineapple, sweet, floral, green, waxy, aldehydic, orange"
SML0053,COC1=C(C=CC(=C1)C=O)O,MWOOGOJBHIARFG-UHFFFAOYSA-N,"chocolate, sweet, vanilla, creamy"
SML0054,CC1=C(C(=CC=C1)C)C,FYGHSUNMUKGBRK-UHFFFAOYSA-N,
SML0055,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,"fatty, citrus, sweet, floral, coconut, rose, green, mushroom, waxy, aldehydic, orange"
SML0056,CC1CCC2=NC=CN=C12,YZEFQPIMXZVPKP-UHFFFAOYSA-N,
SML0057,CCCCCCC(=O)O,MNWFXJYAOYHMED-UHFFFAOYSA-N,"cheesy, fatty, fermented, pineapple, waxy, fruity, sour"
SML0058,CCCCCC(=O)O,FUZZWVXGSFPDMH-UHFFFAOYSA-N,"cheesy, fatty, sour"
SML0059,C=CC1=NC=CN=C1,KANZWHBYRHQMKZ-UHFFFAOYSA-N,"burnt, nutty, green"
SML0060,CCCCCCCCCC(=O)OC,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,"fatty, winey, oily, fermented, cognac, floral, fruity"
SML0061,CCCCCCCC(=O)O,WWZKQHOCKIZLMA-UHFFFAOYSA-N,"cheesy, fatty, oily, animal, waxy, vegetable"
SML0062,CC1=NC=CN=C1C,OXQOBQJCDNLAPO-UHFFFAOYSA-N,"powdery, musty, coffee, potato, nutty, meaty, roasted, caramellic, green, cocoa"
SML0063,COC1=NC=CN=C1,WKSXRWSOSLGSTN-UHFFFAOYSA-N,"winey, chocolate, nutty, sweet, earthy, roasted, green, cocoa"
SML0064,CC(=O)C1=NC=CN=C1,DBZAKQWXICEWNW-UHFFFAOYSA-N,"popcorn, musty, coffee, hazelnut, potato, chocolate, nutty, roasted"
SML0065,CC1=NC=CN=C1,CAWHJQAVHZEVTJ-UHFFFAOYSA-N,"brown, musty, potato, chocolate, fishy, nutty, earthy, roasted, green, cocoa"
SML0066,CCC(C)C1=NC=CN=C1OC,QMQDJVIJVPEQHE-UHFFFAOYSA-N,"peppery, musty, potato, nutty, green, vegetable"
SML0067,CCC1=CN=C(C(=N1)C)C,CIBKSMZEVHTQLG-UHFFFAOYSA-N,"popcorn, chocolate, burnt, nutty, roasted, almond, cocoa"
SML0068,CCC1=NC=C(N=C1CC)C,PSINWXIDJYEXLO-UHFFFAOYSA-N,"musty, hazelnut, potato, chocolate, nutty, meaty, earthy, roasted, green, vegetable"
SML0069,COC1=C(C=C(C=C1)CC=C)OC,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,"clove, peppery, herbal, spicy, phenolic, musty, cinnamon, tea, warm, sweet, fresh, waxy, vegetable"
SML0070,CCC1=NC=CN=C1CC,GZXXANJCCWGCSV-UHFFFAOYSA-N,"potato, nutty, earthy, roasted"
SML0071,CCC1=NC=CN=C1OC,DPCILIMHENXHQX-UHFFFAOYSA-N,"musty, nutty, earthy, green, vegetable"
SML0072,CC(C)(C)C1=CC=CC=C1,YTZKOQUCBOVLHL-UHFFFAOYSA-N,
SML0073,CC(CC=O)C1=CC=CC=C1,MYHGOWDLVRDUFA-UHFFFAOYSA-N,"hyacinth, herbal, green"
SML0074,CC(=CCC/C(=C\CO)/C)C,GLZPCOQZEFWAFX-YFHOEESVSA-N,"natural, citrus, sweet, rose, fresh"
SML0075,C1CCCCCCCOC(=O)CCCCCC1,FKUPPRZPSYCDRS-UHFFFAOYSA-N,"natural, brown, powdery, tobacco, pear, animal, sweet, coumarinic, fruity, musk"
SML0076,C1CCCCCCOC(=O)/C=C/CCCCC1,KHLFMZDGADSQGR-ACCUITESSA-N,"sweet, waxy, musk"
SML0077,CCCCCOC(=O)C,PGMYKACGEOXYJE-UHFFFAOYSA-N,"pear, banana, fruity, ethereal, apple"
SML0078,C1CCC(=O)CC1,JHIVVAPYMSGYDF-UHFFFAOYSA-N,"minty, ketonic, mint, solvent, sweet, camphoreous"
SML0079,CCCCCC(=O)C,CATSNJVOTSVZJV-UHFFFAOYSA-N,"herbal, spicy, cheesy, ketonic, cinnamon, sweet, coconut, banana, green, woody, fruity, creamy"
SML0080,CC(=O)C1=CC=CC=C1,KWOLFJPFCHCOCG-UHFFFAOYSA-N,"chemical, hawthorn, pungent, nutty, sweet, floral, coumarinic, vanilla, almond, cherry"
SML0081,CC1C(=NC(S1)C)C,AIVVNNYXOSPRCW-UHFFFAOYSA-N,
SML0082,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],XMWRWTSZNLOZFN-UHFFFAOYSA-N,"soapy, fatty, sweet, dry, musk"
SML0083,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,NOOLISFMXDJSKH-KXUCPTDWSA-N,"minty, cooling, mentholic, mint"
SML0084,CCC(=O)C,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,"ketonic, solvent, sweet, camphoreous, fruity, ethereal"
SML0085,CCCCCCC/C=C/C=O,MMFCJPPRCYDLLZ-CMDGGOBGSA-N,"fatty, chicken, earthy, green, mushroom, waxy, aldehydic"
SML0086,CCC1(C(C2CCC1(C2)C)(C)C)O,KIPCKEJKGCXRGA-UHFFFAOYSA-N,"musty, camphoreous, earthy"
SML0087,CC1=CC(=C(C=C1)O)OC,PETRWTHZSKVLRE-UHFFFAOYSA-N,"clove, spicy, phenolic, leathery, smoky, burnt, sweet, woody, vanilla, medicinal"
SML0088,CC(C)CCC(=O)O,FGKJLKRYENPLQH-UHFFFAOYSA-N,"cheesy, pungent, sour"
SML0089,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CCC(=O)C4)C,HFVMLYAGWXSTQI-QYXZOKGRSA-N,
SML0090,CC(C)(C)C1=CC=C(C=C1)CCC=O,FZJUFJKVIYFBSY-UHFFFAOYSA-N,"sweet, floral, fresh"
SML0091,CCCCOC(=O)C,DKPFZGUDAPQIHT-UHFFFAOYSA-N,"sharp, solvent, pear, pineapple, sweet, banana, fruity, ethereal"
SML0092,CC1(C2CCC(O1)(CC2)C)C,WEEGYLXZBRQIMU-UHFFFAOYSA-N,"herbal, camphoreous, fresh, medicinal"
SML0093,CC/C=C\CCO,UFLHIIWVXFIJGU-ARJAWSKDSA-N,"herbal, pungent, oily, fresh, green, vegetable, grassy"
