SML,SMILES,InChIKey,Odors
SML0180,CC1=CCCC(C1/C=C/C(=O)C)(C)C,UZFLPKAIBPNNCA-BQYQJAHWSA-N,"balsamic, tropical, orris, violet, sweet, floral, woody, fruity"
SML0181,CC/C=C\CC/C=C\C=O,HZYHMHHBBBSGHB-KPDBFRNYSA-N,
SML0182,CCCCC/C=C\CCC=O,CWRKZMLUDFBPAO-SREVYHEPSA-N,"citrus, aldehydic, orange"
SML0183,CC/C=C\CCCCCC=O,UZFFFFWQKMPLAC-ARJAWSKDSA-N,"cucumber, citrus, aldehydic"
SML0184,C/C=C/C(=O)C1=C(CCCC1(C)C)C,BGTBFNDXYDYBEY-FNORWQNLSA-N,"minty, honey, tobacco, berry, plum, floral, rose, woody, fruity"
SML0185,CC1([C@H]2CC=C([C@@H]1C2)C=O)C,KMRMUZKLFIEVAO-IUCAKERBSA-N,
SML0186,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,FQTLCLSUCSAZDY-SDNWHVSQSA-N,"citrus, floral, green, waxy, woody"
SML0187,CC1=C(C(CCC1)(C)C)/C=C/C(=O)C,PSQYTAPXSHCGMF-BQYQJAHWSA-N,"tropical, berry, violet, sweet, floral, woody, fruity"
SML0188,CC(=CCCC(=CCOC(=O)C)C)C,HIGQPQRQIQDZMP-UHFFFAOYSA-N,
SML0189,CCCCC/C=C/CCC=O,CWRKZMLUDFBPAO-VOTSOKGWSA-N,"fatty, citrus, fresh, green, aldehydic, fruity, orange"
SML0190,CCCCCCC/C=C/C=C/C=O,QKTZBZWNADPFOL-BNFZFUHLSA-N,"fatty, citrus, meaty, grapefruit, orange"
SML0191,CCCC/C=C/C=C/C=O,ZHHYXNZJDGDGPJ-BSWSSELBSA-N,"cucumber, fatty, chicken, melon, nutty, green, waxy"
SML0192,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,CXENHBSYCFFKJS-VDQVFBMKSA-N,"bergamot, lavender, herbal, berry, citrus, floral, green, woody, vegetable, apple"
SML0193,CCCCCCCCCC(=O)O,GHVNFZFCNZKVNT-UHFFFAOYSA-N,"cheesy, fatty, citrus, dairy, waxy, sour"
SML0194,C(CCCC(=O)O)CCCC(=O)O,BDJRBEYXGGNYIS-UHFFFAOYSA-N,odorless
SML0195,CCCCCC(=O)C=C,KLTVSWGXIAYTHO-UHFFFAOYSA-N,"herbal, musty, cabbage, metallic, chicken, fishy, earthy, savory, mushroom, vegetable"
SML0196,CCCCCCC=O,FXHGMKSSBGDXIY-UHFFFAOYSA-N,"ozone, herbal, fatty, citrus, nutty, cognac, sweet, fresh, green, aldehydic"
SML0197,CCCCOC(=O)CCC,XUPYJHCZDLZNFP-UHFFFAOYSA-N,"ripe, pear, pineapple, sweet, fresh, banana, green, fruity, cherry, apple"
SML0198,CCCC(=O)C,XNLICIUVMPYHGG-UHFFFAOYSA-N,"ketonic, winey, fermented, rum, dairy, sweet, banana, woody, fruity, ethereal"
SML0199,CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,"bready, pungent, berry, chocolate, fermented, nutty, fruity"
SML0200,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C1)(C)C,LSTSBZKIQFOPHA-UHFFFAOYSA-N,"pear, floral, woody, fruity, musk"
SML0201,C1CCCCCCCCCCCCCC1,SRONXYPFSAKOGH-UHFFFAOYSA-N,
SML0202,C1CCCCCCCC(CCCCCC1)O,FFVHXGZXDRXFLQ-UHFFFAOYSA-N,
SML0203,CCCCCC(C(C)CO)S,,
SML0204,C1CCCCC(=O)CCCC1,SXOZDDAFVJANJP-UHFFFAOYSA-N,
SML0205,C1CCCCCC(=O)CCCC1,UPOSSYJVWXLPTA-UHFFFAOYSA-N,
SML0206,CCCCCCCCCCCCCC(=O)C,CJPNOLIZCWDHJK-UHFFFAOYSA-N,"celery, jasmin, fatty, oily, burnt, dairy, floral, fresh, waxy, fruity"
SML0207,CCCCCCCC(=O)CCCCCCC,PQYGSSYFJIJDFK-UHFFFAOYSA-N,
SML0208,CCC(C(C)CO)S,HABNNYNSJFKZFE-UHFFFAOYSA-N,"onion, sulfurous"
SML0209,C[C@@H]1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-OAHLLOKOSA-N,"powdery, animal, musk"
SML0210,C[C@H]1CCCCCCCCCCCCC(=O)C1,ALHUZKCOMYUFRB-HNNXBMFYSA-N,
SML0211,CCCCOC(=O)C1=CC=CC=C1N,HUIYGGQINIVDNW-UHFFFAOYSA-N,"powdery, winey, berry, grape, plum, sweet, floral, fruity"
SML0212,C1=CC=C(C=C1)/C=C/C=O,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,"spicy, cinnamon, warm, sweet"
SML0213,CCCCCOC(=O)CCC,CFNJLPHOBMVMNS-UHFFFAOYSA-N,"tropical, pineapple, sweet, banana, fruity, cherry"
SML0214,C=CCOC(=O)CC1=CC=CC=C1,ZCDYAMJXVAUTIM-UHFFFAOYSA-N,"rummy, honey, pineapple, sweet, fruity"
SML0215,CCC(=O)OCCCC1=CC=CC=C1,GTNCESCYZPMXCJ-UHFFFAOYSA-N,"hyacinth, balsamic, floral, fruity"
SML0216,CC1(CC(=O)CC(=O)C1)C,BADXJIPKFRBFOT-UHFFFAOYSA-N,
SML0217,CC(C)CS,BDFAOUQQXJIZDG-UHFFFAOYSA-N,"cooked, onion, garlic, vegetable, sulfurous"
SML0218,C1CCN(CC1)C=O,FEWLNYSYJNLUOO-UHFFFAOYSA-N,
SML0219,C1=COC(=C1)CSSCC2=CC=CO2,CBJPZHSWLMJQRI-UHFFFAOYSA-N,"coffee, cabbage, potato, chicken, meaty, onion, roasted, sulfurous"
SML0220,C(C(=O)O)S,CWERGRDVMFNCDR-UHFFFAOYSA-N,sulfurous
SML0221,CCCCCCCCS,KZCOBXFFBQJQHH-UHFFFAOYSA-N,"meaty, roasted, vegetable, sulfurous"
SML0222,CCCCCC1=C(CCC1=O)C,YCIXWYOBMVNGTB-UHFFFAOYSA-N,"jasmin, powdery, jasmine, herbal, spicy, sweet, floral, woody, fruity"
SML0223,CCCCCCCC(=O)OCCCCCC,PBGWNXWNCSSXCO-UHFFFAOYSA-N,"estery, herbal, fatty, berry, green, waxy, fruity, apple"
SML0224,C1=CC=CC=C1,UHOVQNZJYSORNB-UHFFFAOYSA-N,
SML0225,C[C@@H]1CC[C@H](CC1=O)C(=C)C,AZOCECCLWFDTAP-RKDXNWHRSA-N,"minty, mentholic, herbal"
SML0226,CCCC(=CC(=O)O)C,NTWSIWWJPQHFTO-UHFFFAOYSA-N,
SML0227,C1=CC=C2C(=C1)C=CC=N2,SMWDFEZZVXVKRB-UHFFFAOYSA-N,"musty, leathery, tobacco, animal, sweet, earthy, medicinal"
SML0228,C1CCC(CC1)SSC2CCCCC2,ODHAQPXNQDBHSH-UHFFFAOYSA-N,"musty, coffee, alliaceous, berry, meaty, onion, green, cocoa"
SML0229,C1=CC=NC=C1,JUJWROOIHBZHMG-UHFFFAOYSA-N,"fishy, burnt, sour"
SML0230,CC(C)[C@]12CCC(=C)[C@H]1C2,NDVASEGYNIMXJL-NXEZZACHSA-N,
SML0231,CC1(C2CCC(C2)(C1=O)C)C,LHXDLQBQYFFVNW-UHFFFAOYSA-N,"sweet, camphoreous, pine"
SML0232,CCC(C)C(=O)/C=C/C,ARJWAURHQDJJAC-GQCTYLIASA-N,"hazelnut, metallic, nutty"
SML0233,CC/C=C\CC/C=C/CO,AMXYRHBJZOVHOL-ODYTWBPASA-N,"herbal, cucumber, fatty, oily, violet, leafy, nutty, green"
SML0234,CCC(C)CCC(=O)[O-],DIVCBWJKVSFZKJ-UHFFFAOYSA-M,
SML0235,CCC(=O)C(C)S,TWOGJUHCCNLYPC-UHFFFAOYSA-N,"meaty, onion, roasted, grapefruit, sulfurous"
SML0236,CC1CCOC(C1)C=C(C)C,CZCBTSFUTPZVKJ-UHFFFAOYSA-N,"geranium, herbal, spicy, floral, camphoreous, earthy, rose, fresh, green, vegetable"
SML0237,CC(C(=O)C)O,ROWKJAVDOGWPAT-UHFFFAOYSA-N,"fatty, milky, buttery, dairy, sweet, creamy"
SML0238,CCC(C(=O)C)S,SZECUQRKLXRGSJ-UHFFFAOYSA-N,"meaty, savory"
SML0239,CCCCC(C)CCC(=O)O,LEGGANXCVQPIAI-UHFFFAOYSA-N,"lactonic, musty, fatty, milky, dairy, waxy, creamy"
SML0240,CCCCCCC1CCC(=O)O1,IFYYFLINQYPWGJ-UHFFFAOYSA-N,"fatty, buttery, oily, peach, sweet, coconut, fresh, waxy, fruity, creamy"
SML0241,CCCCCCCCC1CCC(=O)O1,WGPCZPLRVAWXPW-UHFFFAOYSA-N,"metallic, fatty, peach, sweet, fruity"
SML0242,CCCCCC1CCC(=O)O1,OALYTRUKMRCXNH-UHFFFAOYSA-N,"fatty, buttery, oily, sweet, coconut, waxy, creamy"
SML0243,CCCCC1CCC(=O)O1,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,"fatty, dairy, sweet, coconut, coumarinic, waxy, creamy"
SML0244,CCCCCCCC1CCC(=O)O1,PHXATPHONSXBIL-UHFFFAOYSA-N,"lactonic, apricot, ketonic, fatty, peach, coconut, fruity, creamy"
SML0245,CCCC[C@H]1[C@H](CC(=O)O1)C,WNVCMFHPRIBNCW-YUMQZZPRSA-N,coconut
SML0246,CCC1C(=C(C(=O)O1)O)C,IUFQZPBIRYFPFD-UHFFFAOYSA-N,"nutty, sweet, caramellic, fruity"
SML0247,CCCCCCCC1CCCC(=O)O1,QRPLZGZHJABGRS-UHFFFAOYSA-N,"apricot, tropical, metallic, fatty, milky, buttery, oily, peach, dairy, sweet, coconut, fresh, fruity, creamy"
SML0248,CCCC1CCCC(=O)O1,FYTRVXSHONWYNE-UHFFFAOYSA-N,"lactonic, tropical, fatty, dairy, sweet, coconut, coumarinic, green, creamy"
SML0249,CCCC/C=C/C=O,NDFKTBCGKNOHPJ-AATRIKPKSA-N,"pungent, fatty, oily, sweet, fresh, green, fruity, vegetable, apple"
SML0250,CCCCCCCC/C=C/C=O,PANBRUWVURLWGY-MDZDMXLPSA-N,"fatty, lemon, citrus, sweet, fresh, green, waxy, aldehydic, fruity, orange"
SML0251,CC1=CC[C@@H](C=C1)C(C)C,OGLDWXZKYODSOB-SNVBAGLBSA-N,"terpenic, spicy, citrus, fresh, medicinal"
SML0252,CC1=CCC(CC1)C(=C)C,XMGQYMWWDOXHJM-UHFFFAOYSA-N,"terpenic, herbal, citrus, camphoreous, gasoline"
SML0253,CCCCCC/C=C\C=O,BSAIUMLZVGUGKX-FPLPWBNLSA-N,"cucumber, fatty, orris, melon, waxy"
SML0254,CCCCC/C=C\C=O,LVBXEMGDVWVTGY-SREVYHEPSA-N,"fatty, leafy, green, fruity"
SML0255,CC/C=C\CCOC(=O)C,NPFVOOAXDOBMCE-PLNGDYQASA-N,"melon, pear, sweet, fresh, banana, green, fruity, grassy, apple"
SML0256,CC/C=C\CC=O,GXANMBISFKBPEX-ARJAWSKDSA-N,"weedy, pungent, fatty, leafy, fresh, green, fruity, grassy, apple"
SML0257,CC/C=C\CCC=O,VVGOCOMZRGWHPI-ARJAWSKDSA-N,"fatty, milky, oily, dairy, green, creamy, vegetable"
SML0258,CC/C=C\CC(=O)C=C,VWYBQOFZVSNDAW-WAYWQWQTSA-N,"geranium, metallic, green"
SML0259,CCOC(C)OCC,DHKHKXVYLBGOIT-UHFFFAOYSA-N,"nutty, sweet, earthy, green, fruity, ethereal, alcoholic, vegetable"
SML0260,C1OC2=C(O1)C=C(C=C2)C=O,SATCULPHIDQDRE-UHFFFAOYSA-N,"spicy, tropical, sweet, floral, vanilla, creamy, cherry"
SML0261,CC(C)CCCCCCCCCCC=O,OQWNKUAZQSLNSR-UHFFFAOYSA-N,"cooked, fatty, citrus, meaty, beefy, animal, sweet, brothy, savory, waxy, fruity"
SML0262,COC1=CC=C(C=C1)CC=C,ZFMSMUAANRJZFM-UHFFFAOYSA-N,"minty, anise, herbal, spicy, phenolic, anisic, sweet, green"
SML0263,C/C=C/C1=CC=C(C=C1)OC,RUVINXPYWBROJD-ONEGZZNKSA-N,"anise, herbal, anisic, sweet, medicinal"
SML0264,CC1=CC=C(C=C1)C(=C)C,MMSLOZQEMPDGPI-UHFFFAOYSA-N,"clove, spicy, phenolic, musty, coffee, lemon, citrus, nutty, pine"
SML0265,CC1=CC(=C(C=C1)O)C,KUFFULVDNCHOFZ-UHFFFAOYSA-N,"phenolic, sharp, smoky, burnt, roasted"
SML0266,COC1=C(C(=CC=C1)OC)O,KLIDCXVFHGNTTM-UHFFFAOYSA-N,"powdery, phenolic, balsamic, smoky, sweet, woody, medicinal"
SML0267,CC1=C(C(=CC=C1)C)O,NXXYKOUNUYWIHA-UHFFFAOYSA-N,"phenolic, coffee, sharp, smoky, sweet, medicinal"
SML0268,CC1=CCC(CC1)C(C)(C)S,ZQPCOAKGRYBBMR-UHFFFAOYSA-N,"aromatic, alliaceous, tropical, citrus, onion, grapefruit, garlic, woody, sulfurous"
SML0269,CC(=O)C1=NCCS1,FZOZFDAMVVEZSJ-UHFFFAOYSA-N,"bready, herbal, popcorn, chicken, nutty, onion, roasted, green, grassy"
SML0270,C1=CC=C(C=C1)C(=O)CN,HEQOJEGTZCTHCF-UHFFFAOYSA-N,
SML0271,CC1=CC(=C(C=C1)OC)O,IFNDEOYXGHGERA-UHFFFAOYSA-N,"phenolic, smoky, sweet, vanilla, medicinal"
SML0272,CC1=C(C=CO1)SSC,SRUTWBWLFKSTIS-UHFFFAOYSA-N,"chemical, coffee, meaty, onion, brothy, roasted, vegetable, sulfurous"
SML0273,CCC(C)C=O,BYGQBDHUGHBGMD-UHFFFAOYSA-N,"phenolic, musty, coffee, fatty, chocolate, fermented, nutty, malty, green, fruity, cocoa, alcoholic"
SML0274,CC1=C(C=CO1)S,RUYNUXHHUVUINQ-UHFFFAOYSA-N,"metallic, fishy, meaty, beefy, sweet, brothy, roasted, sulfurous"
SML0275,CC1=CC=CC=C1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,"herbal, phenolic, musty, leathery, medicinal"
SML0276,CCCCCC1=CC=CC=N1,HSDXVAOHEOSTFZ-UHFFFAOYSA-N,"herbal, fatty, meaty, green, mushroom, vegetable"
SML0277,C1=CC=C(C=C1)CCS,ZMRFRBHYXOQLDK-UHFFFAOYSA-N,"tropical, roasted, sulfurous"
SML0278,C1=CC=C(C=C1)CCO,WRMNZCZEMHIOCP-UHFFFAOYSA-N,"bready, honey, sweet, floral, rose, fresh"
SML0279,CC(=O)OCCC1=CC=CC=C1,MDHYEMXUFSJLGV-UHFFFAOYSA-N,"honey, balsamic, tropical, sweet, floral, rose, fruity, cocoa"
SML0280,CCC(=O)C1=NCCC1,OVNCGQSYSSYBPO-UHFFFAOYSA-N,"fishy, roasted"
SML0281,CCC1=CC(=CC=C1)O,HMNKTRSOROOSPP-UHFFFAOYSA-N,"phenolic, musty"
SML0282,CC1=C(C(=O)C=CO1)O,XPCTZQVDEJYUGT-UHFFFAOYSA-N,"jammy, bready, strawberry, berry, burnt, sweet, caramellic, fruity"
SML0283,CC1=CNC2=CC=CC=C12,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,"animal, floral, fruity"
SML0284,CC(C)(CCOC=O)S,VTAPYUYITKYXJB-UHFFFAOYSA-N,"coffee, tropical, meaty, onion, roasted, caramellic, sulfurous"
SML0285,CC(C)CCO,PHTQWCKDNZKARW-UHFFFAOYSA-N,"pungent, fermented, cognac, banana, fruity, ethereal, alcoholic"
SML0286,CC(C)CC=O,YGHRJJRRZDOVPD-UHFFFAOYSA-N,"cheesy, pungent, fatty, chocolate, peach, green, aldehydic, fruity, ethereal, cocoa"
SML0287,CCCC(=O)C(C)CC,NHIMSNHOEAVUKE-UHFFFAOYSA-N,
SML0288,CC1=CC(=CC=C1)O,RLSSMJSEOOYNOY-UHFFFAOYSA-N,"phenolic, leathery, dry, woody, medicinal"
SML0289,C1=CC=C(C=C1)CCC(=O)O,XMIIGOLPHOKFCH-UHFFFAOYSA-N,"balsamic, cinnamon, fatty, sweet, floral, rose, musk"
SML0290,CCCC(CCO)S,TYZFMFVWHZKYSE-UHFFFAOYSA-N,"alliaceous, tropical, chicken, meaty, grapefruit, savory, fruity, sulfurous"
SML0291,CCCC(CCOC(=O)C)S,JUCARGIKESIVLB-UHFFFAOYSA-N,"raspberry, tropical, pear, floral, grapefruit, fruity, sulfurous"
SML0292,CC(C)C1=CC=C(C=C1)C=O,WTWBUQJHJGUZCY-UHFFFAOYSA-N,"herbal, spicy, pungent, green"
SML0293,COC1=C(C=CC(=C1)C=C)O,YOMSJEATGXXYPX-UHFFFAOYSA-N,"clove, peppery, powdery, spicy, phenolic, smoky, sweet, woody"
SML0294,C=CC1=CC=C(C=C1)O,FUGYGGDSWSUORM-UHFFFAOYSA-N,"chemical, spicy, phenolic, musty, meaty, sweet, medicinal"
SML0295,CCCCC(CC)CCC(=O)O,PWKJMPFEQOHBAC-UHFFFAOYSA-N,fatty
SML0296,CCC1=CC=C(C=C1)O,HXDOZKJGKXYMEW-UHFFFAOYSA-N,"phenolic, smoky, animal, savory, woody"
SML0297,CCOC1=C(C=CC(=C1)C=O)O,CBOQJANXLMLOSS-UHFFFAOYSA-N,"sweet, vanilla, creamy"
SML0298,CC(C)(CCOC)S,XVHGKKGBUDMTIQ-UHFFFAOYSA-N,"minty, tropical, peach, sweet, grapefruit, sulfurous"
SML0299,CC1=CC=C(C=C1)C(=O)C,GNKZMNRKLCTJAY-UHFFFAOYSA-N,"hawthorn, powdery, sweet, floral, coumarinic, vanilla, fruity, cherry, hay"
SML0300,CC1=CC=C(C=C1)O,IWDCLRJOBJJRNH-UHFFFAOYSA-N,"phenolic, smoky, animal, medicinal"
SML0301,CCCC1=CC(=C(C=C1)O)OC,PXIKRTCSSLJURC-UHFFFAOYSA-N,"clove, powdery, spicy, phenolic, balsamic, sharp, sweet"
SML0302,CCC1C(=O)C(=C(O1)C)O,GWCRPYGYVRXVLI-UHFFFAOYSA-N,"sweet, caramellic"
SML0303,COC1=CC2=C(C=C1)C=CC(=O)O2,LIIALPBMIOVAHH-UHFFFAOYSA-N,"balsamic, sweet"
SML0304,CSCC=C,NVLPQIPTCCLBEU-UHFFFAOYSA-N,"alliaceous, onion, garlic, sulfurous"
SML0305,CSCSC,LOCDPORVFVOGCR-UHFFFAOYSA-N,"spicy, pungent, alliaceous, metallic, meaty, onion, garlic, green, mushroom, horseradish, sulfurous"
SML0306,CC(=O)OC/C=C/C1=CC=CC=C1,WJSDHUCWMSHDCR-VMPITWQZSA-N,"spicy, balsamic, cinnamon, sweet, floral, fruity"
SML0307,C1=CC=C(C=C1)/C=C/CO,OOCCDEMITAIZTP-QPJJXVBHSA-N,"powdery, hyacinth, spicy, balsamic, sweet, green"
SML0308,C=CCSSCC=C,PFRGXCVKLLPLIP-UHFFFAOYSA-N,"pungent, alliaceous, metallic, onion, garlic"
SML0309,CSC,QMMFVYPAHWMCMS-UHFFFAOYSA-N,"pungent, radish, cabbage, berry, fishy, sweet, onion, green, fruity, creamy, tomato, vegetable, sulfurous"
SML0310,CSSSC,YWHLKYXPLRWGSE-UHFFFAOYSA-N,"cooked, alliaceous, cabbage, meaty, onion, fresh, garlic, savory, vegetable, sulfurous"
SML0311,CSSC,WQOXQRCZOLPYPM-UHFFFAOYSA-N,"cabbage, onion, vegetable, sulfurous"
SML0312,CCCSSCCC,ALVPFGSHPUPROW-UHFFFAOYSA-N,"alliaceous, tropical, metallic, burnt, earthy, onion, fresh, garlic, green, sulfurous"
SML0313,CCCSSSCCC,GAZXPZNJTZIGBO-UHFFFAOYSA-N,"pungent, alliaceous, tropical, onion, garlic, green, vegetable, sulfurous"
SML0314,CCC/C=C/C=O,MBDOYVRWFFCFHM-SNAWJCMRSA-N,"clean, herbal, spicy, cheesy, pungent, fatty, sharp, leafy, fresh, banana, green, aldehydic, fruity, vegetable, grassy, apple"
SML0315,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,"sweet, ethereal, alcoholic, medicinal"
SML0316,CCC[C@H](CC(=O)OCC)O,LYRIITRHDCNUHV-SSDOTTSWSA-N,
SML0317,CCC(C)C(=O)OCC,HCRBXQFHJMCTLF-UHFFFAOYSA-N,"estery, tropical, strawberry, berry, sharp, sweet, fresh, green, fruity, apple"
SML0318,CCOC(=O)CCSC,YSNWHRKJEKWJNY-UHFFFAOYSA-N,"metallic, ripe, pineapple, caramellic, fruity, tomato, sulfurous"
SML0319,CCOC(=O)CC(C)C,PPXUHEORWJQRHJ-UHFFFAOYSA-N,"estery, winey, buttery, sharp, pineapple, sweet, banana, green, fruity, orange, apple"
SML0320,CCOC(=O)CCC(C)C,OFQRUTMGVBMTFQ-UHFFFAOYSA-N,"pineapple, fruity, apple"
SML0321,CCOC(=O)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,"rummy, weedy, winey, sharp, grape, brandy, sweet, green, fruity, ethereal"
SML0322,CCOC(=O)C1=CC=CC=C1,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,"minty, musty, grape, sweet, floral, dry, fruity, medicinal, cherry"
SML0323,CCCC(=O)OCC,OBNCKNCVKJNDBV-UHFFFAOYSA-N,"juicy, buttery, ripe, cognac, pineapple, banana, fruity, ethereal"
SML0324,CCOC(=O)/C=C/C1=CC=CC=C1,KBEBGUQPQBELIU-CMDGGOBGSA-N,"honey, balsamic, cinnamon, plum, floral"
SML0325,CCCCCC(=O)OCC,SHZIWNPUGXLXDT-UHFFFAOYSA-N,"estery, tropical, fatty, strawberry, pear, pineapple, sweet, banana, green, waxy, fruity"
SML0326,CCCCC(=O)OCC,ICMAFTSLXCXHRK-UHFFFAOYSA-N,"acidic, tropical, berry, pineapple, sweet, green, fruity, apple"
SML0327,CCOC(=O)CC1=CC=CC=C1,DULCUDSUACXJJC-UHFFFAOYSA-N,"honey, balsamic, anisic, sweet, floral, rose, cocoa"
SML0328,CCOC(=O)C1CCCCC1,JJOYCHKVKWDMEA-UHFFFAOYSA-N,"cheesy, winey, berry, fermented, brandy, fruity, apple"
SML0329,C1=COC(=C1)CS,ZFFTZDQKIXPDAF-UHFFFAOYSA-N,"coffee, alliaceous, fatty, chicken, oily, smoky, burnt, meaty, caramellic, savory, sulfurous"
SML0330,CCCCCC(C)O,CETWDUZRCINIHU-UHFFFAOYSA-N,"herbal, lemon, citrus, sweet, floral, fresh, green, fruity"
SML0331,CCCCCCOC(=O)C,AOGQPLXWSUTHQB-UHFFFAOYSA-N,"fatty, pear, sweet, fresh, banana, green, fruity, apple"
SML0332,CC(C)C(=O)OC,BHIWKHZACMWKOJ-UHFFFAOYSA-N,"apricot, rum, pineapple, sweet, floral, fruity, ethereal, apple"
SML0333,CCCC(=O)OC,UUIQMZJEGPQKFD-UHFFFAOYSA-N,"pungent, buttery, fermented, pineapple, sweet, banana, fruity, ethereal, creamy, apple"
SML0334,CCCSSSC,ZOYASYRPGHCQHW-UHFFFAOYSA-N,"cooked, clean, metallic, sweet, onion, garlic, green, sulfurous"
SML0335,CC(=CCCC(=C)C=C)C,UAHWPYUMFXYFJY-UHFFFAOYSA-N,"terpenic, celery, peppery, herbal, spicy, balsamic, rose, woody"
SML0336,CCCCCCCC(=O)C,VKCYHJWLYTUGCC-UHFFFAOYSA-N,"weedy, soapy, herbal, cheesy, fatty, sweet, coconut, earthy, fresh, green, waxy, fruity"
SML0337,CCC(=O)C(=O)C,TZMFJUDUGYTVRY-UHFFFAOYSA-N,"cheesy, pungent, fatty, buttery, oily, nutty, sweet, caramellic, creamy"
SML0338,CCC=O,NBBJYMSMWIIQGU-UHFFFAOYSA-N,"pungent, winey, grape, brandy, nutty, cognac, meaty, earthy, green, ethereal, cocoa, alcoholic"
SML0339,C1=CSC(=C1)CS,GCZQHDFWKVMZOE-UHFFFAOYSA-N,"coffee, fishy, meaty, sulfurous"
SML0340,COC(=O)/C=C/C1=CC=CC=C1,CCRCUPLGCSFEDV-BQYQJAHWSA-N,"balsamic, strawberry, sweet, fruity, cherry"
SML0341,C1=COC(=C1)CSCC2=CC=CO2,UYLKDZXJEKFFHJ-UHFFFAOYSA-N,"coffee, burnt, nutty, meaty, earthy, roasted, savory, mushroom, cocoa, sulfurous"
SML0342,CSSCC1=CC=CC=C1,NWYGPVZOBBHKLI-UHFFFAOYSA-N,"cabbage, metallic, onion, green, vegetable, sulfurous"
SML0343,CSSCC1=CC=CO1,CLSLQQCDHOZMDT-UHFFFAOYSA-N,"coffee, alliaceous, meaty, onion, roasted, garlic, sulfurous"
SML0344,CSCC1=CC=CC=C1,OFQPKKGMNWASPN-UHFFFAOYSA-N,"chicken, burnt, meaty, beefy, roasted, savory, horseradish, sulfurous"
SML0345,CC(C1=CC=CC=C1)S,QZZBJCFNHPYNKO-UHFFFAOYSA-N,"tropical, meaty, floral, sulfurous"
SML0346,C1=CC=C(C=C1)CS,UENWRTRMUIOCKN-UHFFFAOYSA-N,"minty, coffee, alliaceous, sharp, onion, garlic, horseradish, sulfurous"
SML0347,CSCC1=CC=CO1,SKSFHXVDHVKIBN-UHFFFAOYSA-N,"pungent, alliaceous, radish, onion, garlic, horseradish, vegetable, sulfurous"
SML0348,C1=CC=C(C=C1)CCCO,VAJVDSVGBWFCLW-UHFFFAOYSA-N,"hyacinth, spicy, balsamic, sweet, floral"
SML0349,C1=COC(=C1)CO,XPFVYQJUAUNWIW-UHFFFAOYSA-N,"chemical, estery, brown, bready, musty, coffee, sweet, caramellic, alcoholic, sulfurous"
SML0350,C1=CC=C(C=C1)CO,WVDDGKGOMKODPV-UHFFFAOYSA-N,"chemical, phenolic, balsamic, sweet, floral, rose, fruity, almond"
SML0351,C1=COC(=C1)C=O,HYBBIBNJHNGZAN-UHFFFAOYSA-N,"brown, bready, spicy, phenolic, sweet, caramellic, woody, almond"
SML0352,CCC(C)COC(=O)C,XHIUFYZDQBSEMF-UHFFFAOYSA-N,"estery, tropical, ripe, sweet, banana, fruity, ethereal, apple"
SML0353,CCOC(=O)C(C)C,WDAXFOBOLVPGLV-UHFFFAOYSA-N,"rummy, pungent, rum, sweet, fruity, ethereal, alcoholic, apple"
SML0354,CCCCC1C(CC(=O)O1)C,WNVCMFHPRIBNCW-UHFFFAOYSA-N,"lactonic, celery, burnt, nutty, coconut, coumarinic, woody"
SML0355,CC/C=C/CC/C=C/CO,AMXYRHBJZOVHOL-DYWGDJMRSA-N,green
SML0356,CCCCCC(=O)C(C)C(=O)C,BGVBGAIWXAXBLP-UHFFFAOYSA-N,"burnt, caramellic, fruity, hay"
SML0357,CC1=CC[C@@H](CC1)C(=C)C,XMGQYMWWDOXHJM-JTQLQIEISA-N,"citrus, sweet, gasoline, fresh, orange"
SML0358,CC1=CCC(C=C1)C(C)C,OGLDWXZKYODSOB-UHFFFAOYSA-N,"minty, spicy, mint, citrus, fresh, woody"
SML0359,CC1(C(=O)C=CO1)C,HVNICCSXGONRCB-UHFFFAOYSA-N,
SML0360,CC1=CCOC1=O,VGHBEMPMIVEGJP-UHFFFAOYSA-N,
SML0361,CC1C(=O)C=C(O1)C,ASOSVCXGWPDUGN-UHFFFAOYSA-N,"estery, coffee, buttery, burnt, sweet, roasted, caramellic, fruity"
SML0362,C[C@@H](CCC=C(C)C)CC=O,NEHNMFOYXAPHSD-JTQLQIEISA-N,"clean, herbal, citrus"
SML0363,CC(CO)CS,FCIVYWQHILCTLI-UHFFFAOYSA-N,
SML0364,CCCCC(C(C)CO)S,OCZSUTGSYBERRF-UHFFFAOYSA-N,
SML0365,CC(CO)C(C)S,RFMHFOPFUZZBAD-UHFFFAOYSA-N,"meaty, onion, green, sulfurous"
