,1,2,3,4,5,6,12,21,32,44
1,177.0,41.0,113.0,29.0,63.0,122.0,75.0,60.0,66.0,51.0
2,41.0,130.0,27.0,113.0,105.0,34.0,27.0,27.0,24.0,21.0
3,113.0,27.0,113.0,21.0,38.0,96.0,72.0,57.0,65.0,50.0
4,29.0,113.0,21.0,138.0,102.0,21.0,19.0,20.0,18.0,15.0
5,63.0,105.0,38.0,102.0,147.0,45.0,34.0,36.0,33.0,27.0
6,122.0,34.0,96.0,21.0,45.0,130.0,77.0,59.0,67.0,51.0
12,75.0,27.0,72.0,19.0,34.0,77.0,77.0,57.0,62.0,50.0
21,60.0,27.0,57.0,20.0,36.0,59.0,57.0,60.0,52.0,43.0
32,66.0,24.0,65.0,18.0,33.0,67.0,62.0,52.0,67.0,48.0
44,51.0,21.0,50.0,15.0,27.0,51.0,50.0,43.0,48.0,51.0
