node,induced_parent,depth,is_target
node_1,,1,True
node_3,node_1,2,True
node_2,node_1,2,True
node_4,node_2,3,True
node_5,node_2,3,True
node_6,node_3,3,True
node_12,node_6,4,True
node_21,node_12,5,True
node_32,node_21,6,True
node_44,node_32,7,True
