SML,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotBonds,AromaticRings,RingCount,FracCsp3,HeavyAtoms,nO,nN,nS,fg_alcohol,fg_phenol,fg_carboxylic_acid,fg_ester,fg_ether,fg_aldehyde,fg_ketone,fg_amine,fg_aromatic,fg_benzene,fg_lactone,fg_sulfide,fg_nitrile,fg_halogen,fg_terpene_isopropyl
SML0663,C1CCCCC(=O)OCCCCCOCCCC1,256.3859999999999,3.850900000000003,35.53,0,3,0,0,1,0.9333333333333333,18,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0664,C1CCCCCC(=O)CCC/C=C\CCCC1,236.39899999999994,5.196600000000005,17.07,0,1,0,0,1,0.8125,17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0665,C1CCC/C=C\CCCCCCCC(=O)CCC1,250.4259999999999,5.586700000000006,17.07,0,1,0,0,1,0.8235294117647058,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SML0666,C1CCCCCC(=O)OCCOC(=O)CCCC1,256.3419999999999,2.987400000000002,52.6,0,4,0,0,1,0.8571428571428571,18,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0667,C1CCCCCOCCCCOC(=O)CCCC1,256.3859999999999,3.850900000000003,35.53,0,3,0,0,1,0.9333333333333333,18,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0668,CC1CCOC(=O)CCCCCCC/C=C\C1,238.37099999999992,4.246400000000004,26.3,0,2,0,0,1,0.8,17,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0669,C1CCC/C=C\CCCCCCOC(=O)CCC1,252.3979999999999,4.780600000000004,26.3,0,2,0,0,1,0.8125,18,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0670,C1CCCCOCCCCCCOC(=O)CCC1,256.3859999999999,3.850900000000003,35.53,0,3,0,0,1,0.9333333333333333,18,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0671,CC(CCCC(C)(C)O)C=C,156.269,2.7497000000000016,20.23,1,1,5,0,0,0.8,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0672,CCCCCCC1C(CCC1=O)C(=O)OC,226.31599999999995,2.725100000000001,43.370000000000005,0,3,6,0,1,0.8461538461538461,16,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
SML0673,CC(C)(CCCC(=C)C=C)O,154.253,2.6698000000000017,20.23,1,1,5,0,0,0.6,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0674,CC(C)(CCC1CCCCC1)O,170.296,3.117800000000002,20.23,1,1,3,0,1,1.0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0675,CC1CCC(C(C1)C)C2=CC=CC=N2,189.30200000000002,3.6213000000000024,12.89,0,1,1,1,2,0.6153846153846154,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SML0676,CC(CCCC1=CC=CC=C1)CO,178.27499999999998,2.637700000000001,20.23,1,1,5,1,1,0.5,13,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SML0677,CC(=O)CCC1=CC=CC=C1,148.20499999999998,2.2081999999999997,17.07,0,1,3,1,1,0.3,11,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
SML0678,CCC(C)(CCCC(C)C)O,158.285,2.9737000000000022,20.23,1,1,5,0,0,1.0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0679,CC(C)CCCC(C)CCO,158.285,2.831200000000002,20.23,1,1,6,0,0,1.0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0680,CCCCCCCCN1CCCC1=O,197.32199999999997,2.9693000000000014,20.310000000000002,0,1,7,0,1,0.9166666666666666,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0681,CC(C)(C)C(=O)OCCC1=CC=CC=C1,206.285,2.8184000000000013,26.3,0,2,3,1,1,0.46153846153846156,15,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
SML0682,CC(=O)C1=CC=CC2=CC=CC=C21,170.21099999999998,3.0424000000000015,17.07,0,1,1,2,2,0.08333333333333333,13,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
SML0683,CC(CCC1=CC=CC=C1)CCO,178.27499999999995,2.637700000000001,20.23,1,1,5,1,1,0.5,13,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SML0684,C/C=C/CCCCCCCC#N,165.28,3.8167800000000023,23.79,0,1,7,0,0,0.7272727272727273,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SML0685,CC/C=C\CC/C=C/C#N,135.20999999999998,2.8125800000000014,23.79,0,1,4,0,0,0.4444444444444444,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SML0686,CCC(C1CCCC/C=C\C1)O,168.28,2.893800000000002,20.23,1,1,2,0,1,0.8181818181818182,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0687,CCCCCCC1CCCC(=O)O1,184.27899999999997,3.052500000000002,26.3,0,2,5,0,1,0.9090909090909091,13,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
SML0688,CC(C)CCCC(C)CC#N,153.269,3.3624800000000024,23.79,0,1,5,0,0,0.9,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SML0689,CC/C=C\CCCCO,128.215,2.1152,20.23,1,1,5,0,0,0.75,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0690,CC/C=C\CCCCCO,142.24200000000002,2.5053000000000005,20.23,1,1,6,0,0,0.7777777777777778,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SML0691,CC/C(=C/CCC(C)(C=C)O)/C,168.27999999999997,3.0599000000000016,20.23,1,1,5,0,0,0.6363636363636364,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
