node,kind,SML,Odors
2,loss,SML0184,"minty, honey, tobacco, berry, plum, floral, rose, woody, fruity"
2,loss,SML0186,"citrus, floral, green, waxy, woody"
2,loss,SML0187,"tropical, berry, violet, sweet, floral, woody, fruity"
2,loss,SML0191,"cucumber, fatty, chicken, melon, nutty, green, waxy"
2,loss,SML0211,"powdery, winey, berry, grape, plum, sweet, floral, fruity"
2,loss,SML0212,"spicy, cinnamon, warm, sweet"
2,loss,SML0215,"hyacinth, balsamic, floral, fruity"
2,loss,SML0219,"coffee, cabbage, potato, chicken, meaty, onion, roasted, sulfurous"
2,loss,SML0222,"jasmin, powdery, jasmine, herbal, spicy, sweet, floral, woody, fruity"
2,loss,SML0227,"musty, leathery, tobacco, animal, sweet, earthy, medicinal"
2,loss,SML0230,
2,loss,SML0249,"pungent, fatty, oily, sweet, fresh, green, fruity, vegetable, apple"
2,loss,SML0250,"fatty, lemon, citrus, sweet, fresh, green, waxy, aldehydic, fruity, orange"
2,loss,SML0263,"anise, herbal, anisic, sweet, medicinal"
2,loss,SML0270,
2,loss,SML0272,"chemical, coffee, meaty, onion, brothy, roasted, vegetable, sulfurous"
2,loss,SML0276,"herbal, fatty, meaty, green, mushroom, vegetable"
2,loss,SML0279,"honey, balsamic, tropical, sweet, floral, rose, fruity, cocoa"
2,loss,SML0282,"jammy, bready, strawberry, berry, burnt, sweet, caramellic, fruity"
2,loss,SML0301,"clove, powdery, spicy, phenolic, balsamic, sharp, sweet"
2,loss,SML0306,"spicy, balsamic, cinnamon, sweet, floral, fruity"
2,loss,SML0307,"powdery, hyacinth, spicy, balsamic, sweet, green"
2,loss,SML0314,"clean, herbal, spicy, cheesy, pungent, fatty, sharp, leafy, fresh, banana, green, aldehydic, fruity, vegetable, grassy, apple"
2,loss,SML0322,"minty, musty, grape, sweet, floral, dry, fruity, medicinal, cherry"
2,loss,SML0324,"honey, balsamic, cinnamon, plum, floral"
2,loss,SML0327,"honey, balsamic, anisic, sweet, floral, rose, cocoa"
2,loss,SML0331,"fatty, pear, sweet, fresh, banana, green, fruity, apple"
2,loss,SML0340,"balsamic, strawberry, sweet, fruity, cherry"
2,loss,SML0341,"coffee, burnt, nutty, meaty, earthy, roasted, savory, mushroom, cocoa, sulfurous"
2,loss,SML0342,"cabbage, metallic, onion, green, vegetable, sulfurous"
2,loss,SML0343,"coffee, alliaceous, meaty, onion, roasted, garlic, sulfurous"
2,loss,SML0344,"chicken, burnt, meaty, beefy, roasted, savory, horseradish, sulfurous"
2,loss,SML0345,"tropical, meaty, floral, sulfurous"
2,loss,SML0347,"pungent, alliaceous, radish, onion, garlic, horseradish, vegetable, sulfurous"
2,loss,SML0368,"terpenic, herbal, sharp, warm, earthy, pine, fresh, woody"
2,loss,SML0369,"minty, terpenic, herbal, aromatic"
2,loss,SML0371,"terpenic, sweet, pine, fresh, green, woody, hay"
2,loss,SML0372,"terpenic, spicy, oily, citrus, camphoreous, pine, green, woody"
2,loss,SML0373,
2,loss,SML0383,"grape, sweet"
2,loss,SML0414,"herbal, earthy, green, woody, fruity"
2,loss,SML0421,"chemical, herbal, spicy, phenolic, sweet, camphoreous, medicinal"
2,loss,SML0428,"herbal, cheesy, ketonic, musty, oily, citrus, banana, green, fruity, creamy, apple"
2,loss,SML0438,"cooked, brown, coffee, burnt, nutty, meaty, beefy, vegetable, sulfurous"
2,loss,SML0439,"cheesy, musty, pungent, animal, floral"
2,loss,SML0444,"herbal, cucumber, fatty, leafy, fresh, banana, green, waxy, vegetable"
2,loss,SML0445,"fatty, melon, pear, citrus, green, fruity"
2,loss,SML0448,
2,loss,SML0449,
2,loss,SML0474,"jasmin, jasmine, sweet, floral, fresh, fruity"
2,loss,SML0477,"minty, cooling, mentholic, herbal, phenolic, camphoreous, green, woody, medicinal"
2,loss,SML0482,
2,loss,SML0487,"jasmin, balsamic, ripe, sweet, fresh, banana, green, fruity, apple"
2,loss,SML0500,
2,loss,SML0505,"jasmine, phenolic, metallic, smoky, burnt, animal, woody, medicinal"
2,loss,SML0507,"cedar, mentholic, herbal, spicy, balsamic, sweet, camphoreous, pine, woody"
2,loss,SML0513,
2,loss,SML0522,"minty, herbal, spicy, fatty, oily, fresh, green, cherry, grassy"
2,loss,SML0526,
2,loss,SML0531,"jasmine, floral, green"
2,loss,SML0534,"honey, tobacco, plum, floral, rose, fruity"
2,loss,SML0545,"strawberry, sweet, caramellic, fruity"
2,loss,SML0546,"cedar, ketonic, phenolic, dry, woody"
2,loss,SML0550,"apricot, tropical, pineapple, sweet, banana, fruity, apple"
2,loss,SML0557,"raspberry, anise, anisic, sweet, green"
2,loss,SML0560,
2,loss,SML0561,
2,loss,SML0562,
2,loss,SML0563,
