node_1,node_2,node_3,node_4,node_5,node_6,node_12,node_21,node_32,node_44
SML0279,SML0408,SML0478,SML0399,SML0343,SML0371,SML0626,,SML0736,
SML0282,SML0409,SML0487,SML0400,SML0380,SML0373,SML0628,,SML0746,
SML0301,SML0410,SML0500,SML0401,SML0382,SML0380,SML0637,,SML0747,
SML0306,SML0411,SML0513,SML0402,SML0399,SML0383,SML0657,,,
SML0307,SML0412,SML0522,SML0403,SML0400,SML0391,SML0658,,,
SML0314,SML0422,SML0526,SML0404,SML0401,SML0421,SML0660,,,
SML0322,SML0431,SML0531,SML0405,SML0402,SML0422,SML0677,,,
SML0324,SML0433,SML0534,SML0406,SML0403,SML0438,SML0682,,,
SML0327,SML0434,SML0537,SML0408,SML0404,SML0439,SML0698,,,
SML0331,SML0435,SML0545,SML0410,SML0405,SML0441,SML0728,,,
SML0340,SML0441,SML0546,SML0411,SML0406,SML0444,SML0736,,,
SML0341,SML0478,SML0557,SML0412,SML0411,SML0448,SML0746,,,
SML0342,SML0491,SML0561,SML0431,SML0412,SML0449,SML0747,,,
SML0343,SML0509,SML0575,SML0432,SML0422,SML0477,,,,
SML0344,SML0512,SML0578,SML0433,SML0428,SML0478,,,,
SML0345,SML0537,SML0580,SML0434,SML0431,SML0487,,,,
SML0347,SML0539,SML0591,SML0435,SML0432,SML0500,,,,
SML0368,SML0554,SML0592,SML0476,SML0433,SML0505,,,,
SML0369,SML0555,SML0596,SML0478,SML0434,SML0513,,,,
SML0371,SML0556,SML0598,SML0490,SML0435,SML0531,,,,
SML0372,SML0559,SML0600,SML0491,SML0441,SML0534,,,,
SML0373,SML0598,SML0603,SML0506,SML0444,SML0537,,,,
SML0380,SML0602,SML0606,SML0509,SML0445,SML0545,,,,
SML0382,SML0603,SML0609,SML0510,SML0478,SML0546,,,,
SML0383,SML0604,SML0610,SML0512,SML0482,SML0559,,,,
SML0414,SML0605,SML0613,SML0518,SML0487,SML0575,,,,
SML0421,SML0606,SML0615,SML0537,SML0490,SML0576,,,,
SML0422,SML0608,SML0619,SML0538,SML0506,SML0577,,,,
SML0428,SML0609,SML0620,SML0539,SML0509,SML0578,,,,
SML0438,SML0610,SML0621,SML0554,SML0537,SML0579,,,,
SML0439,SML0611,SML0622,SML0555,SML0554,SML0580,,,,
SML0441,SML0612,SML0623,SML0556,SML0555,SML0587,,,,
SML0444,SML0613,SML0626,SML0602,SML0556,SML0591,,,,
SML0445,SML0614,SML0628,SML0604,SML0559,SML0592,,,,
SML0448,SML0615,SML0635,SML0605,SML0560,SML0598,,,,
SML0449,SML0616,SML0637,SML0606,SML0580,SML0600,,,,
SML0474,SML0617,SML0657,SML0608,SML0592,SML0603,,,,
SML0477,SML0619,SML0658,SML0609,SML0598,SML0606,,,,
SML0478,SML0620,SML0659,SML0610,SML0600,SML0609,,,,
SML0482,SML0622,SML0660,SML0611,SML0602,SML0610,,,,
SML0487,SML0623,SML0676,SML0612,SML0603,SML0613,,,,
SML0500,SML0624,SML0677,SML0613,SML0604,SML0614,,,,
SML0505,SML0625,SML0683,SML0615,SML0605,SML0615,,,,
SML0507,SML0626,SML0698,SML0616,SML0608,SML0619,,,,
SML0513,SML0628,SML0721,SML0617,SML0609,SML0620,,,,
SML0522,SML0631,SML0728,SML0618,SML0610,SML0621,,,,
SML0526,SML0636,SML0736,SML0622,SML0612,SML0622,,,,
SML0531,SML0637,SML0746,SML0623,SML0613,SML0623,,,,
SML0534,SML0639,SML0747,SML0624,SML0616,SML0626,,,,
SML0537,SML0640,,SML0625,SML0622,SML0628,,,,
SML0545,SML0642,,SML0626,SML0623,SML0635,,,,
SML0546,SML0643,,SML0628,SML0624,SML0637,,,,
SML0550,SML0644,,SML0631,SML0625,SML0657,,,,
SML0557,SML0645,,SML0636,SML0626,SML0658,,,,
SML0559,SML0658,,SML0637,SML0628,SML0659,,,,
SML0560,SML0660,,SML0639,SML0635,SML0660,,,,
SML0561,SML0666,,SML0640,SML0636,SML0677,,,,
SML0562,SML0687,,SML0642,SML0637,SML0682,,,,
SML0563,SML0727,,SML0643,SML0639,SML0698,,,,
SML0575,SML0728,,SML0644,SML0640,SML0721,,,,
SML0576,SML0729,,SML0645,SML0642,SML0726,,,,
SML0577,SML0741,,SML0646,SML0643,SML0728,,,,
SML0578,SML0742,,SML0666,SML0644,SML0732,,,,
SML0579,SML0743,,SML0687,SML0645,SML0736,,,,
SML0580,SML0744,,SML0712,SML0646,SML0746,,,,
SML0585,SML0748,,SML0727,SML0657,SML0747,,,,
SML0591,,,SML0728,SML0658,,,,,
SML0592,,,SML0729,SML0660,,,,,
SML0596,,,SML0740,SML0663,,,,,
SML0598,,,SML0741,SML0666,,,,,
SML0600,,,SML0742,SML0687,,,,,
SML0603,,,SML0743,SML0698,,,,,
SML0606,,,SML0744,SML0701,,,,,
SML0607,,,SML0748,SML0703,,,,,
SML0609,,,,SML0712,,,,,
SML0610,,,,SML0726,,,,,
SML0613,,,,SML0727,,,,,
SML0615,,,,SML0728,,,,,
SML0619,,,,SML0729,,,,,
SML0620,,,,SML0730,,,,,
SML0621,,,,SML0741,,,,,
SML0622,,,,SML0743,,,,,
SML0623,,,,SML0748,,,,,
SML0626,,,,,,,,,
SML0628,,,,,,,,,
SML0635,,,,,,,,,
SML0637,,,,,,,,,
SML0648,,,,,,,,,
SML0654,,,,,,,,,
SML0657,,,,,,,,,
SML0658,,,,,,,,,
SML0659,,,,,,,,,
SML0660,,,,,,,,,
SML0666,,,,,,,,,
SML0675,,,,,,,,,
SML0676,,,,,,,,,
SML0677,,,,,,,,,
SML0682,,,,,,,,,
SML0683,,,,,,,,,
SML0698,,,,,,,,,
SML0701,,,,,,,,,
SML0706,,,,,,,,,
SML0710,,,,,,,,,
SML0711,,,,,,,,,
SML0721,,,,,,,,,
SML0726,,,,,,,,,
SML0727,,,,,,,,,
SML0728,,,,,,,,,
SML0729,,,,,,,,,
SML0732,,,,,,,,,
SML0736,,,,,,,,,
SML0746,,,,,,,,,
SML0747,,,,,,,,,
