molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0488,1,G002,15,CCN(CC)CC,ZMANZCXQSJIPKH-UHFFFAOYSA-N,"cheesy, fishy, ripe","frozenset({'ripe', 'fishy', 'cheesy'})",3
SML0503,1,G002,15,CCCCOC=O,NMJJFJNHVMGPGM-UHFFFAOYSA-N,"ethereal, plum, rummy, fruity, brandy","frozenset({'plum', 'fruity', 'brandy', 'ethereal', 'rummy'})",5
SML0521,1,G002,15,CC(=C)[C@H]1CCC2(C(C1)O2)C,CCEFMUBVSUDRLG-IDKOKCKLSA-N,minty,frozenset({'minty'}),1
SML0525,1,G002,15,CC(=C)C1CCC2(C(C1)O2)C,CCEFMUBVSUDRLG-UHFFFAOYSA-N,"citrus, fruity, herbal, sweet, clean, fresh, minty","frozenset({'fruity', 'citrus', 'herbal', 'fresh', 'clean', 'minty', 'sweet'})",7
SML0527,1,G002,15,CCSCC,LJSQFQKUNVCTIA-UHFFFAOYSA-N,"garlic, meaty, savory, sulfurous, tomato, ethereal","frozenset({'ethereal', 'savory', 'garlic', 'sulfurous', 'tomato', 'meaty'})",6
SML0021,7,G003,14,CCCCCCCCCCCCCCCC(=O)OCC,XIRNKXNNONJFQO-UHFFFAOYSA-N,"sweet, waxy, fruity, oily, creamy, balsamic, milky","frozenset({'oily', 'fruity', 'creamy', 'balsamic', 'milky', 'waxy', 'sweet'})",7
SML0189,7,G003,14,CCCCC/C=C/CCC=O,CWRKZMLUDFBPAO-VOTSOKGWSA-N,"citrus, fresh, fruity, orange, aldehydic, fatty, green","frozenset({'orange', 'fruity', 'citrus', 'fresh', 'green', 'aldehydic', 'fatty'})",7
SML0195,7,G003,14,CCCCCC(=O)C=C,KLTVSWGXIAYTHO-UHFFFAOYSA-N,"metallic, mushroom, vegetable, musty, chicken, herbal, savory, cabbage, fishy, earthy","frozenset({'vegetable', 'cabbage', 'savory', 'mushroom', 'fishy', 'earthy', 'chicken', 'musty', 'herbal', 'metallic'})",10
SML0204,7,G003,14,C1CCCCC(=O)CCCC1,SXOZDDAFVJANJP-UHFFFAOYSA-N,,frozenset(),0
SML0205,7,G003,14,C1CCCCCC(=O)CCCC1,UPOSSYJVWXLPTA-UHFFFAOYSA-N,,frozenset(),0
