molecule,n_receptors,group_id,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0742,1,G015,4,CCC/C(=C/C(=O)O)/C,NTWSIWWJPQHFTO-AATRIKPKSA-N,,frozenset(),0
SML0281,5,G016,4,CCC1=CC(=CC=C1)O,HMNKTRSOROOSPP-UHFFFAOYSA-N,"phenolic, musty","frozenset({'musty', 'phenolic'})",2
SML0294,5,G016,4,C=CC1=CC=C(C=C1)O,FUGYGGDSWSUORM-UHFFFAOYSA-N,"medicinal, phenolic, spicy, sweet, musty, meaty, chemical","frozenset({'phenolic', 'spicy', 'meaty', 'chemical', 'musty', 'sweet', 'medicinal'})",7
SML0460,5,G016,4,C[C@@H](C1=CC=CC=C1)O,WAPNOHKVXSQRPX-ZETCQYMHSA-N,"floral, strawberry, hyacinth","frozenset({'strawberry', 'hyacinth', 'floral'})",3
SML0475,5,G016,4,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,ZCTQGTTXIYCGGC-UHFFFAOYSA-N,"balsamic, sweet, clean, herbal, oily","frozenset({'oily', 'balsamic', 'clean', 'sweet', 'herbal'})",5
SML0024,9,G017,4,CCCCCCCCCCCCCC(=O)OCC,MMKRHZKQPFCLLS-UHFFFAOYSA-N,"fatty, sweet, waxy, orris, violet","frozenset({'orris', 'fatty', 'violet', 'waxy', 'sweet'})",5
SML0037,9,G017,4,CCCCCCCCCCCCCCCCCC(=O)OC,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,"odorless, oily, waxy","frozenset({'oily', 'waxy', 'odorless'})",3
SML0627,9,G017,4,CCCCCCCCCCCCCCCCCC(=O)NCCO,OTGQIQQTPXJQRG-UHFFFAOYSA-N,,frozenset(),0
SML0629,9,G017,4,CCCCCCCCCCCCCCCC(=O)NCCO,HXYVTAGFYLMHSO-UHFFFAOYSA-N,,frozenset(),0
SML0022,6,G018,4,CCCCCCCCCCCCCCCCCC(=O)OCC,MVLVMROFTAUDAG-UHFFFAOYSA-N,"odorless, waxy","frozenset({'waxy', 'odorless'})",2
SML0564,6,G018,4,C[C@H]1CC[C@@H](C(=O)C1)C(C)C,NFLGAXVYCFJBMK-DTWKUNHWSA-N,"minty, mentholic","frozenset({'mentholic', 'minty'})",2
SML0659,6,G018,4,C[C@H]1CC(C2=C(C1(C)C)C[C@@]3([C@H](C2)O3)C)(C)C,OHHWFLWQMHUVFQ-YNZJMPHRSA-N,,frozenset(),0
SML0720,6,G018,4,C1CCCCOC(=O)CCC1,FTXUQEKXCJSWMO-UHFFFAOYSA-N,,frozenset(),0
SML0482,1,G019,4,CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C2(C)C)C,KGEKLUUHTZCSIP-FOGDFJRCSA-N,,frozenset(),0
SML0502,1,G019,4,CCCCOC(=O)C(C)OC(=O)CCC,NORZZKKLCYMBBF-UHFFFAOYSA-N,"buttery, fruity, sour, sweet, fatty, creamy, green, dairy, cheesy, waxy","frozenset({'fruity', 'creamy', 'dairy', 'buttery', 'sour', 'green', 'fatty', 'waxy', 'cheesy', 'sweet'})",10
