bin,n_same,same_mean,same_median,n_rand,rand_mean,rand_median,same_any,rand_any,p
0.0-0.2 (very different),274,0.0684949071910666,0.05555555555555555,17173,0.059144786240415644,0.0,0.5182481751824818,0.47341757409887614,0.049435327199306434
0.2-0.4 (different),102,0.14340140667995338,0.125,2382,0.11701905610713145,0.09090909090909091,0.7450980392156863,0.7057094878253568,0.007711035379055364
0.4-1.0 (similar),45,0.2704200882632255,0.25,445,0.1938385459347647,0.16666666666666666,0.9555555555555556,0.8584269662921349,2.7994187655639014e-05
