molecule,n_receptors,group_size,SMILES,InChIKey,Odors,tags,n_tags
SML0252,11,1,CC1=CCC(CC1)C(=C)C,XMGQYMWWDOXHJM-UHFFFAOYSA-N,"citrus, gasoline, camphoreous, herbal, terpenic","frozenset({'citrus', 'camphoreous', 'gasoline', 'terpenic', 'herbal'})",5
SML0253,3,1,CCCCCC/C=C\C=O,BSAIUMLZVGUGKX-FPLPWBNLSA-N,"cucumber, fatty, melon, orris, waxy","frozenset({'cucumber', 'melon', 'orris', 'fatty', 'waxy'})",5
SML0255,8,1,CC/C=C\CCOC(=O)C,NPFVOOAXDOBMCE-PLNGDYQASA-N,"banana, fruity, grassy, green, sweet, melon, apple, pear, fresh","frozenset({'fruity', 'grassy', 'fresh', 'melon', 'green', 'pear', 'apple', 'banana', 'sweet'})",9
SML0258,5,1,CC/C=C\CC(=O)C=C,VWYBQOFZVSNDAW-WAYWQWQTSA-N,"geranium, metallic, green","frozenset({'green', 'geranium', 'metallic'})",3
SML0260,12,1,C1OC2=C(O1)C=C(C=C2)C=O,SATCULPHIDQDRE-UHFFFAOYSA-N,"cherry, floral, sweet, vanilla, spicy, creamy, tropical","frozenset({'creamy', 'spicy', 'cherry', 'tropical', 'floral', 'vanilla', 'sweet'})",7
SML0261,7,1,CC(C)CCCCCCCCCCC=O,OQWNKUAZQSLNSR-UHFFFAOYSA-N,"beefy, meaty, sweet, animal, fatty, fruity, savory, brothy, citrus, cooked, waxy","frozenset({'fruity', 'citrus', 'beefy', 'cooked', 'savory', 'animal', 'brothy', 'fatty', 'waxy', 'sweet', 'meaty'})",11
SML0262,16,1,COC1=CC=C(C=C1)CC=C,ZFMSMUAANRJZFM-UHFFFAOYSA-N,"anisic, herbal, sweet, anise, spicy, phenolic, green, minty","frozenset({'anisic', 'phenolic', 'spicy', 'green', 'anise', 'minty', 'sweet', 'herbal'})",8
SML0263,20,1,C/C=C/C1=CC=C(C=C1)OC,RUVINXPYWBROJD-ONEGZZNKSA-N,"anisic, herbal, sweet, anise, medicinal","frozenset({'anisic', 'anise', 'sweet', 'herbal', 'medicinal'})",5
SML0264,10,1,CC1=CC=C(C=C1)C(=C)C,MMSLOZQEMPDGPI-UHFFFAOYSA-N,"citrus, lemon, phenolic, pine, spicy, musty, nutty, coffee, clove","frozenset({'pine', 'citrus', 'phenolic', 'spicy', 'nutty', 'lemon', 'musty', 'clove', 'coffee'})",9
SML0268,8,1,CC1=CCC(CC1)C(C)(C)S,ZQPCOAKGRYBBMR-UHFFFAOYSA-N,"sulfurous, garlic, alliaceous, onion, citrus, woody, tropical, grapefruit, aromatic","frozenset({'onion', 'citrus', 'sulfurous', 'tropical', 'garlic', 'grapefruit', 'alliaceous', 'woody', 'aromatic'})",9
SML0269,6,1,CC(=O)C1=NCCS1,FZOZFDAMVVEZSJ-UHFFFAOYSA-N,"green, onion, popcorn, chicken, roasted, nutty, herbal, grassy, bready","frozenset({'onion', 'popcorn', 'grassy', 'roasted', 'nutty', 'green', 'bready', 'chicken', 'herbal'})",9
SML0270,44,1,C1=CC=C(C=C1)C(=O)CN,HEQOJEGTZCTHCF-UHFFFAOYSA-N,,frozenset(),0
SML0276,11,1,CCCCCC1=CC=CC=N1,HSDXVAOHEOSTFZ-UHFFFAOYSA-N,"fatty, green, meaty, vegetable, mushroom, herbal","frozenset({'vegetable', 'mushroom', 'green', 'fatty', 'herbal', 'meaty'})",6
SML0277,17,1,C1=CC=C(C=C1)CCS,ZMRFRBHYXOQLDK-UHFFFAOYSA-N,"roasted, sulfurous, tropical","frozenset({'roasted', 'tropical', 'sulfurous'})",3
SML0278,20,1,C1=CC=C(C=C1)CCO,WRMNZCZEMHIOCP-UHFFFAOYSA-N,"floral, rose, sweet, honey, bready, fresh","frozenset({'honey', 'fresh', 'rose', 'floral', 'bready', 'sweet'})",6
SML0279,21,1,CC(=O)OCCC1=CC=CC=C1,MDHYEMXUFSJLGV-UHFFFAOYSA-N,"fruity, honey, rose, sweet, floral, cocoa, balsamic, tropical","frozenset({'fruity', 'honey', 'balsamic', 'tropical', 'floral', 'rose', 'cocoa', 'sweet'})",8
SML0282,3,1,CC1=C(C(=O)C=CO1)O,XPCTZQVDEJYUGT-UHFFFAOYSA-N,"berry, caramellic, fruity, strawberry, sweet, burnt, jammy, bready","frozenset({'fruity', 'jammy', 'strawberry', 'caramellic', 'berry', 'bready', 'sweet', 'burnt'})",8
SML0283,4,1,CC1=CNC2=CC=CC=C12,ZFRKQXVRDFCRJG-UHFFFAOYSA-N,"animal, floral, fruity","frozenset({'animal', 'fruity', 'floral'})",3
