property,fold_change_I_over_II,ci_lo,ci_hi,class_I,class_II,summary,perm_p,perm_q,cliffs_delta
in_coconut,1.365129835718071,1.0740554601050714,1.771918259723138,0.6216216216216216,0.45535714285714285,mean,0.013197360527894421,0.07918416316736653,0.16626447876447875
any_aquatic,0.7391304347826086,0.490165587947022,1.074638661860237,0.4057971014492754,0.5490196078431373,mean,0.1271745650869826,0.3815236952609478,-0.1432225063938619
share_aquatic,1.167776195195762,0.5939254327742938,2.1750743340761978,0.03737593481264225,0.032006076991813216,mean,0.6808638272345531,0.8794241151769646,-0.05161290322580645
marine_db,1.8478260869565217,0.6331246496418644,8.0939784766991,0.14492753623188406,0.0784313725490196,mean,0.2545490901819636,0.5090981803639272,0.06649616368286446
n_aquatic,1.0641697223677318,0.4789588189188667,2.150776136034482,3.463768115942029,3.2549019607843137,mean,0.8794241151769646,0.8794241151769646,-0.13270815572605854
n_organisms,0.8275862068965517,0.15685683478079682,2.0789473684210527,24.0,29.0,median,0.8570285942811438,0.8794241151769646,-0.12475134981528843
