features,auc_unmatched,auc_matched,auc_drop
volatility_only,0.9725862681891819,0.49441795028941177,0.47816831789977016
descriptors_22,0.9809988148862937,0.6670983817319263,0.31390043315436744
molformer_768,0.9831185158217824,0.7949530730298077,0.18816544279197478
