rank,taxid,pct_odorant,pct_background,odds_ratio,n_odorant,n_background,p,q,taxon
genus,4022,0.0,0.022129221637171886,0.0,0,34,1.0,1.0,Acer
genus,201956,0.0,0.12301243792427902,0.0,0,189,1.0,1.0,Aplidium
genus,3463,0.0,0.08851688654868754,0.0,0,136,1.0,1.0,Corydalis
genus,123484,0.0,0.2538351893675599,0.0,0,390,0.6315336041067825,1.0,Tripterygium
genus,361004,0.0,0.028637816236340086,0.0,0,44,1.0,1.0,Paralemnalia
genus,63801,0.0,0.0774522757301016,0.0,0,119,1.0,1.0,Ocotea
genus,53922,0.24271844660194175,0.1549045514602032,1.568269643623873,1,238,0.4729849163899506,1.0,Senna
genus,53864,0.0,0.024081800016922346,0.0,0,37,1.0,1.0,Derris
genus,5097,0.0,0.04165500543467649,0.0,0,64,1.0,1.0,Monascus
genus,5073,0.0,0.7654107248621805,0.0,0,1176,0.08287560896576338,1.0,Penicillium
genus,76958,0.0,0.16011142713953777,0.0,0,246,1.0,1.0,Clausena
genus,52470,0.24271844660194175,0.28637816236340086,0.847174297721743,1,440,1.0,1.0,Ferula
genus,4119,0.0,0.27140839478531403,0.0,0,417,0.6335102366570113,1.0,Ipomoea
genus,13426,0.970873786407767,0.030590394616090547,32.03921568627451,4,47,1.1405532356330818e-05,0.0011124195891541325,Cichorium
genus,175693,0.0,0.09112032438835482,0.0,0,140,1.0,1.0,Andrographis
genus,10088,0.0,0.06703852437143247,0.0,0,103,1.0,1.0,Mus
genus,2364055,0.0,0.08591344870902026,0.0,0,132,1.0,1.0,Monteverdia
genus,13328,0.0,0.12366329738419583,0.0,0,190,1.0,1.0,Achillea
genus,20400,0.0,0.20762416771346562,0.0,0,319,1.0,1.0,Astragalus
genus,1865,0.0,0.04490930273426059,0.0,0,69,1.0,1.0,Actinoplanes
genus,55597,0.0,0.030590394616090547,0.0,0,47,1.0,1.0,Ageratum
genus,25641,0.0,0.09437462168793892,0.0,0,145,1.0,1.0,Aloe
genus,1163,0.0,0.04490930273426059,0.0,0,69,1.0,1.0,Anabaena
genus,4188,0.0,0.022129221637171886,0.0,0,34,1.0,1.0,Barleria
genus,4221,0.0,0.09567634060777257,0.0,0,147,1.0,1.0,Carthamus
genus,2706,0.7281553398058253,0.11259868656560988,6.506918043444465,3,173,0.012061233827758675,0.5692124222584175,Citrus
genus,13432,0.0,0.051417897333428796,0.0,0,79,1.0,1.0,Clerodendrum
genus,79331,0.0,0.05597391355284653,0.0,0,86,1.0,1.0,Cordia
genus,130251,0.0,0.018874924337587785,0.0,0,29,1.0,1.0,Dicoma
genus,4163,0.0,0.04946531895367833,0.0,0,76,1.0,1.0,Digitalis
genus,56524,0.0,0.04295672435451013,0.0,0,66,1.0,1.0,Dittrichia
genus,39166,0.0,0.026034378396672806,0.0,0,40,1.0,1.0,Dracocephalum
genus,167916,0.0,0.019525783797504605,0.0,0,30,1.0,1.0,Duranta
genus,53718,0.0,0.016271486497920505,0.0,0,25,1.0,1.0,Eclipta
genus,41574,0.0,0.016271486497920505,0.0,0,25,1.0,1.0,Erigeron
genus,4306,0.0,0.07224540005076704,0.0,0,111,1.0,1.0,Euonymus
genus,5506,0.0,0.2779169893844822,0.0,0,427,0.6346409545487923,1.0,Fusarium
genus,49818,0.0,0.013017189198336403,0.0,0,20,1.0,1.0,Genista
genus,16751,0.4854368932038835,0.019525783797504605,24.97772357723577,2,30,0.003355890821383088,0.1888333950647484,Houttuynia
genus,1336932,0.0,0.07549969735035114,0.0,0,116,1.0,1.0,Jaspis
genus,2063,0.0,0.06183164869209792,0.0,0,95,1.0,1.0,Kitasatospora
genus,99900,0.0,0.5389116328111271,0.0,0,828,0.18152055085477925,1.0,Laurencia
genus,4239,0.0,0.22129221637171886,0.0,0,340,1.0,1.0,Ligularia
genus,320344,0.24271844660194175,0.018224064877670965,13.348540145985401,1,28,0.07472813593786198,1.0,Lippia
genus,41229,0.0,0.052719616253262436,0.0,0,81,1.0,1.0,Marrubium
genus,61508,0.0,0.028637816236340086,0.0,0,44,1.0,1.0,Persicaria
genus,26867,0.0,0.026034378396672806,0.0,0,40,1.0,1.0,Plantago
genus,46786,0.0,0.016922345957837325,0.0,0,26,1.0,1.0,Polygonum
genus,56534,0.0,0.0839608703292698,0.0,0,129,1.0,1.0,Pulicaria
genus,107239,0.0,0.03254297299584101,0.0,0,50,1.0,1.0,Scoparia
genus,4139,0.24271844660194175,0.20697330825354882,1.1731243018255826,1,318,0.5747809352233291,1.0,Scutellaria
