group,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,p,odor_matched,bg_matched,OR_matched,ci_lo_matched,ci_hi_matched,p_matched,q,q_matched
fg_thiol,3.3713518953371353,0.1457432559043369,23.90431472710591,20.553535275209487,27.908452510619245,4.330342104447129e-187,3.3844081495201213,1.1281360498400403,3.070059254095504,2.3134004897106952,4.034047531875911,4.599827681866806e-17,8.660684208894258e-187,1.2266207151644818e-16
fg_aldehyde,8.419993290842,2.4747204852556406,3.623281902534805,3.305829133194683,3.97818766954432,1.4239671058172502e-118,8.452601448055228,7.257113992254588,1.1799430472738353,1.0318149515419213,1.3488910806068826,0.01692974844829775,2.2783473693076003e-118,0.024625088652069457
fg_sulfide,8.60449513586045,4.668781100569786,1.9223488001837425,1.7564254038101332,2.1076032544995638,4.090141629277385e-38,8.637817814446876,5.455463882808553,1.6384844575500677,1.418056927693093,1.8910154458144945,1.3212006783215099e-11,5.034020466802936e-38,3.01988726473488e-11
fg_nitrile,0.9392821200939282,0.7704960128809277,1.2211387397943998,0.9466530438822506,1.6029089978024347,0.13701834863630805,0.9429196834483919,0.6735140596059943,1.4038075811660717,0.9328656538201309,2.097619158704396,0.12381786331694006,0.13701834863630805,0.13609112306714766
fg_ester,33.66320026836632,40.58352823602079,0.742947187502943,0.7040377875630924,0.7841984987216135,7.027155249426715e-28,33.75989223775046,23.2362350564068,1.6837225451839408,1.5529384958162806,1.8250450771935605,5.125681664395298e-37,7.4956322660551625e-28,2.7336968876774923e-36
fg_lactone,32.2039584032204,39.55930015476546,0.7257479270993481,0.6873305803067661,0.7665211486870843,1.085087322789294e-31,32.29499915810742,22.545883145310658,1.6386710620623355,1.5100549042217297,1.7777854892258969,1.0243333291752054e-32,1.2400997974734787e-31,4.0973333167008215e-32
fg_ketone,13.938275746393828,22.356043834019253,0.5624859933290624,0.5228991375242631,0.6056774456553883,2.2531955585659492e-60,13.958578885334232,13.756524667452434,1.0170707111838213,0.9165324412378167,1.128616941885879,0.7701985426849702,3.004260744754599e-60,0.7701985426849702
fg_carboxylic_acid,5.434417980543442,12.297399523905364,0.4098445144754805,0.36690964345890714,0.45913168812296534,5.8964658323501415e-71,5.404950328338104,4.765111971712409,1.1419478279684054,0.9691181098872793,1.345036070819643,0.12220661242014991,8.576677574327478e-71,0.13609112306714766
fg_ether,49.2619926199262,74.1366794134181,0.3387113272038962,0.32185895390627833,0.35645085794952425,0.0,49.28439131166863,39.61946455632261,1.4810035957600396,1.3770101516526037,1.5926334002606402,3.347779423534691e-26,0.0,1.0712894155311012e-25
fg_benzene,20.429386112042938,51.26817453101902,0.24404360624995436,0.2291865036778964,0.26002244581054945,0.0,20.474827412022226,21.720828422293316,0.9278664362258254,0.8495806004179288,1.013417236080599,0.1006446840490849,0.0,0.13419291206544653
fg_terpene_isopropyl,52.23079503522308,83.05311300654456,0.2231067148047536,0.2119718869625781,0.23482094117361363,0.0,52.247853173935006,57.58545209631251,0.8058934212588359,0.7496465955223577,0.8664248233940969,5.591452354414796e-09,0.0,1.1182904708829592e-08
fg_alcohol,15.565246561556524,47.38168770690337,0.20472041498322832,0.19093435172083492,0.2196947630547218,0.0,15.45714766795757,13.773362518942584,1.1446005018530971,1.0336048144553396,1.2673420657876597,0.010113877721396455,0.0,0.016182204354234328
fg_phenol,3.572626635357263,20.324521649813658,0.14524180628598615,0.1269673159005809,0.16689762137968808,0.0,3.5864623674019196,4.142111466576865,0.8608635833127455,0.7143518385292261,1.0380777069853824,0.12758542787545094,0.0,0.13609112306714766
fg_amine,2.1637034552163703,18.514806820784376,0.09733235876850148,0.08207856864359403,0.11629682838484376,0.0,2.138407139249032,7.593871022057585,0.2658983706773813,0.21831636345420008,0.3256866649161955,1.6315993438061717e-45,0.0,1.3052794750449374e-44
fg_halogen,0.4025494800402549,6.152031036373352,0.061656292861167306,0.04231725785075616,0.0935975959184247,9.559249401910264e-126,0.40410843576359656,4.8661390806533085,0.07932445515623583,0.0534338813480246,0.12229512688471744,3.2279960962743924e-60,1.699422115895158e-125,5.164793754039028e-59
fg_amide,1.5263334451526334,23.43273948740015,0.05064649047035853,0.04141743611478515,0.0626035773093381,0.0,1.4985687826233374,2.8961104563057756,0.5101003776585172,0.3952057462071619,0.6619632207372955,2.2963767060366405e-07,0.0,4.082447477398472e-07
