pathway,n_odorant,n_background,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,p,q
Fatty acids,1291,81588,49.57757296466974,12.190450007321322,7.0824502065082,6.556571426227708,7.650526317602347,0.0,0.0
Shikimates and Phenylpropanoids,385,114693,14.78494623655914,17.13682505625465,0.838947208981783,0.7536165899751104,0.9359387421663741,0.0013425083231477055,0.0015662597103389896
Carbohydrates,22,8037,0.8448540706605223,1.2008462851012585,0.7010229701572905,0.47304154687679806,1.08608376694025,0.10382218521704503,0.10382218521704503
Terpenoids,511,208180,19.623655913978496,31.10516108403384,0.540761676848341,0.49122773217963006,0.5961695539494876,1.3156313389417065e-39,3.069806457530648e-39
Amino acids and Peptides,63,29723,2.4193548387096775,4.441054389954548,0.5334836839212086,0.4189860364504048,0.68980169150375,8.032939946632446e-08,1.1246115925285424e-07
Polyketides,88,60483,3.3794162826420893,9.037051867833695,0.3520544092761274,0.2863191362368208,0.4376342818325966,6.757379223615829e-30,1.18254136413277e-29
Alkaloids,244,166574,9.370199692780337,24.888611309500686,0.3120203714621262,0.27399449068685033,0.35662878671312914,1.7494747087113676e-90,6.123161480489786e-90
