seed,features,n_pairs,fraction_matched,worst_smd,auc,split,n_scaffolds
0,volatility_only,5939,0.9993269392562679,0.0035470693172528576,0.464735814847254,scaffold,6146
0,descriptors_22,5939,0.9993269392562679,0.0035470693172528576,0.656868543499763,scaffold,6146
0,molformer_768,5939,0.9993269392562679,0.0035470693172528576,0.774667700507157,scaffold,6146
1,volatility_only,5939,0.9993269392562679,0.003396680846769557,0.46600279300236014,scaffold,6156
1,descriptors_22,5939,0.9993269392562679,0.003396680846769557,0.6586742960458323,scaffold,6156
1,molformer_768,5939,0.9993269392562679,0.003396680846769557,0.7692476644391693,scaffold,6156
2,volatility_only,5939,0.9993269392562679,0.003446382277441564,0.4797438435170204,scaffold,6151
2,descriptors_22,5939,0.9993269392562679,0.003446382277441564,0.6568475918711196,scaffold,6151
2,molformer_768,5939,0.9993269392562679,0.003446382277441564,0.7725147009413009,scaffold,6151
3,volatility_only,5939,0.9993269392562679,0.0032661166256494224,0.4801588076748509,scaffold,6142
3,descriptors_22,5939,0.9993269392562679,0.0032661166256494224,0.6596380567877592,scaffold,6142
3,molformer_768,5939,0.9993269392562679,0.0032661166256494224,0.7757099802416786,scaffold,6142
4,volatility_only,5939,0.9993269392562679,0.003608080608115206,0.4705337457165756,scaffold,6129
4,descriptors_22,5939,0.9993269392562679,0.003608080608115206,0.6579853730414799,scaffold,6129
4,molformer_768,5939,0.9993269392562679,0.003608080608115206,0.7671272972475599,scaffold,6129
