covariate,smd_before,smd_after,mean_odorant,mean_matched
Tb_joback,-2.3233358971301894,-0.0035470693172528576,544.7353780097659,545.1792810237414
MolWt,-1.7647683924926145,0.0013793222401803436,178.00630274456975,177.9203473117144
LogP,-0.43715713227309083,0.002110284906520322,2.5827750463040933,2.579372677218388
