kingdom,label,mean_share_panel,mean_share_background,fold_change,fold_ci_lo,fold_ci_hi,n_panel,n_background,p,q
plants,plants,0.8122907560406827,0.6209812148585986,1.3080762132645938,1.2702255198945014,1.3435483600247078,445,258816,5e-05,6.666666666666667e-05
animals,animals,0.11550613092481399,0.11979827543941379,0.9641719006483487,0.8032153097990281,1.136984771418883,445,258816,0.77505,0.77505
fungi,fungi,0.03261387823165498,0.13439329960414942,0.24267488280827967,0.1999223582350663,0.29316458137090207,445,258816,5e-05,6.666666666666667e-05
bacteria,bacteria,0.029836723259313424,0.09764227246516181,0.3055717826514022,0.22703694198381166,0.4002604052531348,445,258816,5e-05,6.666666666666667e-05
