cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
5,168,alcoholic,2,7,2.283,0.876,0.725069839617628,1.0
5,168,honey,4,15,4.893,0.817,0.7774727406937718,1.0
5,168,earthy,8,36,11.744,0.681,0.945163763682394,1.0
5,168,cheesy,10,36,11.744,0.852,0.7940435340360776,1.0
5,168,buttery,9,23,7.503,1.2,0.3185163437411174,1.0
5,168,powdery,19,48,15.658,1.213,0.178470245609133,1.0
5,168,musty,13,44,14.353,0.906,0.7298620327100926,1.0
5,168,chocolate,0,14,4.567,0.0,1.0,1.0
5,168,nutty,7,45,14.68,0.477,0.9980265550740759,1.0
5,168,roasted,2,28,9.134,0.219,0.9998289961797714,1.0
5,168,woody,20,71,23.161,0.864,0.8409085842562479,1.0
5,168,cocoa,2,18,5.872,0.341,0.9928192981177433,1.0
5,168,medicinal,0,16,5.219,0.0,1.0,1.0
5,168,grassy,3,10,3.262,0.92,0.6861446475065962,1.0
5,168,leathery,1,5,1.631,0.613,0.8624379443622187,1.0
5,168,ethereal,3,21,6.85,0.438,0.9863682101679443,1.0
5,168,rummy,3,8,2.61,1.15,0.514876892268368,1.0
5,168,grape,5,11,3.588,1.393,0.2695857240294887,1.0
5,168,cooling,3,10,3.262,0.92,0.6861446475065962,1.0
5,168,camphoreous,5,20,6.524,0.766,0.8374439463839736,1.0
5,168,hazelnut,1,10,3.262,0.307,0.9815258565867441,1.0
5,168,potato,0,14,4.567,0.0,1.0,1.0
5,168,burnt,3,19,6.198,0.484,0.9743281178115081,1.0
5,168,green,52,159,51.868,1.003,0.5280352020400154,1.0
5,168,dry,8,18,5.872,1.362,0.20009202003725376,1.0
5,168,hay,3,8,2.61,1.15,0.514876892268368,1.0
5,168,acidic,0,8,2.61,0.0,1.0,1.0
5,168,pungent,4,27,8.808,0.454,0.9913886144415597,1.0
5,168,sharp,0,16,5.219,0.0,1.0,1.0
5,168,sour,0,16,5.219,0.0,1.0,1.0
5,168,brandy,3,7,2.283,1.314,0.41285341490001376,1.0
5,168,apple,10,38,12.396,0.807,0.8515891767859085,1.0
5,168,clean,8,19,6.198,1.291,0.2534809825439821,1.0
5,168,odorless,2,9,2.936,0.681,0.848990298949957,1.0
5,168,pear,6,20,6.524,0.92,0.683023398636065,1.0
5,168,pineapple,8,28,9.134,0.876,0.7467105303026812,1.0
5,168,banana,8,25,8.155,0.981,0.6041453622671484,1.0
5,168,orris,5,11,3.588,1.393,0.2695857240294887,1.0
5,168,violet,3,9,2.936,1.022,0.6066376529783672,1.0
5,168,clove,0,9,2.936,0.0,1.0,1.0
5,168,phenolic,1,33,10.765,0.093,0.99999870078388,1.0
5,168,cinnamon,1,9,2.936,0.341,0.9723434421091494,1.0
5,168,smoky,0,13,4.241,0.0,1.0,1.0
5,168,savory,2,16,5.219,0.383,0.9853790836537472,1.0
5,168,muguet,2,5,1.631,1.226,0.5255512774941824,1.0
5,168,lily,4,10,3.262,1.226,0.42112133241249944,1.0
5,168,brown,1,8,2.61,0.383,0.9586375373136835,1.0
5,168,coffee,1,21,6.85,0.146,0.9997956888781439,1.0
5,168,beefy,1,5,1.631,0.613,0.8624379443622187,1.0
5,168,tropical,11,39,12.722,0.865,0.7829446223339638,1.0
5,168,ripe,2,9,2.936,0.681,0.848990298949957,1.0
5,168,vegetable,11,37,12.07,0.911,0.7116015984619386,1.0
5,168,cucumber,4,12,3.915,1.022,0.5880338534375508,1.0
5,168,hawthorn,2,5,1.631,1.226,0.5255512774941824,1.0
