comparison,tag,n_I,n_II,pct_I,pct_II,gap,p,q,stars
full bags,sour,15,1,5.084745762711864,0.33222591362126247,4.752519849090602,,,
full bags,cheesy,25,15,8.474576271186441,4.983388704318937,3.491187566867504,,,
full bags,buttery,19,9,6.440677966101695,2.990033222591362,3.4506447435103325,,,
full bags,pineapple,18,8,6.101694915254237,2.6578073089700998,3.4438876062841373,,,
full bags,acidic,8,0,2.711864406779661,0.0,2.711864406779661,,,
full bags,fatty,62,56,21.016949152542374,18.6046511627907,2.412297989751675,,,
full bags,fruity,110,105,37.28813559322034,34.883720930232556,2.404414662987783,,,
full bags,creamy,31,25,10.508474576271187,8.305647840531561,2.2028267357396256,,,
full bags,pungent,14,8,4.745762711864407,2.6578073089700998,2.087955402894307,,,
full bags,dairy,19,14,6.440677966101695,4.651162790697675,1.78951517540402,,,
full bags,caramellic,11,6,3.7288135593220337,1.9933554817275747,1.735458077594459,,,
full bags,earthy,24,20,8.135593220338983,6.644518272425249,1.4910749479137335,,,
full bags,sulfurous,21,17,7.11864406779661,5.647840531561462,1.470803536235148,,,
full bags,sharp,11,7,3.7288135593220337,2.3255813953488373,1.4032321639731964,,,
full bags,ripe,8,4,2.711864406779661,1.3289036544850499,1.382960752294611,,,
full bags,ethereal,7,3,2.3728813559322033,0.9966777408637874,1.376203615068416,,,
full bags,balsamic,27,24,9.152542372881356,7.973421926910299,1.1791204459710576,,,
full bags,apple,21,18,7.11864406779661,5.980066445182724,1.1385776226138855,,,
full bags,banana,16,13,5.423728813559322,4.318936877076412,1.1047919364829095,,,
full bags,roasted,15,12,5.084745762711864,3.9867109634551494,1.0980347992567148,,,
full bags,onion,10,7,3.389830508474576,2.3255813953488373,1.0642491131257388,,,
full bags,milky,10,7,3.389830508474576,2.3255813953488373,1.0642491131257388,,,
full bags,garlic,8,5,2.711864406779661,1.6611295681063123,1.0507348386733486,,,
full bags,tobacco,7,4,2.3728813559322033,1.3289036544850499,1.0439777014471534,,,
full bags,grassy,6,3,2.0338983050847457,0.9966777408637874,1.0372205642209584,,,
full bags,tropical,25,23,8.474576271186441,7.641196013289036,0.8333802578974048,,,
full bags,pear,13,11,4.406779661016949,3.654485049833887,0.752294611183062,,,
full bags,winey,12,10,4.067796610169491,3.3222591362126246,0.7455374739568668,,,
full bags,fermented,9,7,3.0508474576271185,2.3255813953488373,0.7252660622782812,,,
full bags,cognac,7,5,2.3728813559322033,1.6611295681063123,0.711751787825891,,,
full bags,savory,7,5,2.3728813559322033,1.6611295681063123,0.711751787825891,,,
full bags,odorless,7,5,2.3728813559322033,1.6611295681063123,0.711751787825891,,,
full bags,cedar,3,1,1.0169491525423728,0.33222591362126247,0.6847232389211104,,,
full bags,orange,18,17,6.101694915254237,5.647840531561462,0.4538543836927751,,,
full bags,meaty,16,15,5.423728813559322,4.983388704318937,0.4403401092403847,,,
full bags,burnt,10,9,3.389830508474576,2.990033222591362,0.39979728588321395,,,
full bags,cinnamon,8,7,2.711864406779661,2.3255813953488373,0.38628301143082355,,,
full bags,apricot,7,6,2.3728813559322033,1.9933554817275747,0.3795258742046286,,,
full bags,alliaceous,7,6,2.3728813559322033,1.9933554817275747,0.3795258742046286,,,
full bags,chocolate,6,5,2.0338983050847457,1.6611295681063123,0.3727687369784334,,,
full bags,cabbage,5,4,1.694915254237288,1.3289036544850499,0.3660115997522382,,,
full bags,estery,5,4,1.694915254237288,1.3289036544850499,0.3660115997522382,,,
full bags,bready,5,4,1.694915254237288,1.3289036544850499,0.3660115997522382,,,
full bags,popcorn,4,3,1.3559322033898304,0.9966777408637874,0.3592544625260431,,,
full bags,pine,4,3,1.3559322033898304,0.9966777408637874,0.3592544625260431,,,
full bags,horseradish,4,3,1.3559322033898304,0.9966777408637874,0.3592544625260431,,,
full bags,beefy,3,2,1.0169491525423728,0.6644518272425249,0.3524973252998479,,,
full bags,solvent,3,2,1.0169491525423728,0.6644518272425249,0.3524973252998479,,,
full bags,bergamot,3,2,1.0169491525423728,0.6644518272425249,0.3524973252998479,,,
full bags,rummy,3,2,1.0169491525423728,0.6644518272425249,0.3524973252998479,,,
