sml,SMILES,cluster,MolWt,LogP,TPSA,HBD,HBA,OxygenAtoms,RotBonds,FracCSP3,AromaticRings,RingCount,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur,cluster_name
SML0081,CC1C(=NC(S1)C)C,2,129.22799999999998,1.9286,12.36,0,2,0,0,0.8333333333333334,0,1,0,0,0,0,0,0,0,0,1,Acid / Dairy / Cheese
SML0082,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],1,297.267,3.325540000000003,129.42000000000002,0,6,6,3,0.5,1,1,0,0,0,0,0,0,1,1,0,Fruity / Fatty / Aldehydic
SML0083,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,1,156.26899999999998,2.4395000000000007,20.23,1,1,1,1,1.0,0,1,0,0,0,0,1,0,0,0,0,Fruity / Fatty / Aldehydic
SML0084,CCC(=O)C,5,72.107,0.9854,17.07,0,1,1,1,0.75,0,0,0,0,0,1,0,0,0,0,0,Fermented / Solvent
SML0085,CCCCCCC/C=C/C=O,3,154.253,3.102000000000002,17.07,0,1,1,7,0.7,0,0,0,0,1,0,0,0,0,0,0,Smoky
SML0086,CCC1(C(C2CCC1(C2)C)(C)C)O,2,182.307,2.9737000000000022,20.23,1,1,1,1,1.0,0,2,0,0,0,0,1,0,0,0,0,Acid / Dairy / Cheese
SML0087,CC1=CC(=C(C=C1)O)OC,3,138.16599999999997,1.7092199999999997,29.46,1,2,2,1,0.25,1,1,0,0,0,0,1,1,1,0,0,Smoky
SML0088,CC(C)CCC(=O)O,2,116.15999999999998,1.5072,37.3,1,1,2,3,0.8333333333333334,0,0,1,0,0,0,0,0,0,0,0,Acid / Dairy / Cheese
SML0089,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CCC(=O)C4)C,2,272.43199999999996,4.764300000000004,17.07,0,1,1,0,0.8421052631578947,0,4,0,0,0,1,0,0,0,0,0,Acid / Dairy / Cheese
SML0090,CC(C)(C)C1=CC=C(C=C1)CCC=O,0,190.28599999999994,3.1156000000000015,17.07,0,1,1,3,0.46153846153846156,1,1,0,0,1,0,0,0,1,0,0,Floral / Balsamic
SML0091,CCCCOC(=O)C,5,116.15999999999998,1.3496000000000001,26.3,0,2,2,3,0.8333333333333334,0,0,0,1,0,0,0,1,0,0,0,Fermented / Solvent
SML0092,CC1(C2CCC(O1)(CC2)C)C,5,154.25300000000001,2.7441000000000013,9.23,0,1,1,0,1.0,0,3,0,0,0,0,0,1,0,0,0,Fermented / Solvent
SML0093,CC/C=C\CCO,5,100.161,1.335,20.23,1,1,1,3,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,0,Fermented / Solvent
SML0094,CC(=CCC/C(=C/C=O)/C)C,0,152.237,2.878000000000001,17.07,0,1,1,4,0.5,0,0,0,0,1,0,0,0,0,0,0,Floral / Balsamic
