property,fold_change_I_over_II,ci_lo,ci_hi,class_I,class_II,summary,perm_p,perm_q,cliffs_delta
in_coconut,1.0877090341767832,1.0195769281303377,1.1627912876182005,0.5943152454780362,0.5463917525773195,mean,0.013197360527894421,0.07918416316736653,0.04792349290071659
any_aquatic,0.9217391304347826,0.8289170438073522,1.0262376008843486,0.4434782608695652,0.4811320754716981,mean,0.13377324535092983,0.4013197360527895,-0.03765381460213289
share_aquatic,1.0655950574147974,0.8684126888631842,1.323379723836041,0.030718557645229815,0.02882760897911353,mean,0.5984803039392121,0.7760047990401919,-0.011123627147282456
marine_db,1.1731225296442687,0.8963521763526852,1.6084068214687102,0.12173913043478261,0.10377358490566038,mean,0.277744451109778,0.555488902219556,0.01796554552912223
n_aquatic,0.998463140151703,0.8471504675079119,1.2271210014999927,4.130434782608695,4.136792452830188,mean,0.9860027994401119,0.9860027994401119,-0.03529532403609516
n_organisms,0.9056603773584906,0.6153408484467274,1.3231249659664284,24.0,26.5,median,0.6466706658668266,0.7760047990401919,-0.03410582444626743
