cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
5,72,tea,0,6,0.755,0.0,1.0,1.0
5,72,warm,3,13,1.636,1.833,0.21744992176104663,1.0
5,72,hyacinth,1,7,0.881,1.135,0.6121149681244362,1.0
5,72,tobacco,0,11,1.385,0.0,1.0,1.0
5,72,coumarinic,0,10,1.259,0.0,1.0,1.0
5,72,ketonic,0,12,1.51,0.0,1.0,1.0
5,72,cherry,1,15,1.888,0.53,0.8706050374014834,1.0
5,72,chemical,1,6,0.755,1.324,0.5555811173247587,1.0
5,72,chicken,0,12,1.51,0.0,1.0,1.0
5,72,lemon,1,12,1.51,0.662,0.8043110284757943,1.0
5,72,garlic,0,19,2.392,0.0,1.0,1.0
5,72,horseradish,0,5,0.629,0.0,1.0,1.0
5,72,metallic,2,26,3.273,0.611,0.862584626537424,1.0
5,72,sulfurous,2,46,5.79,0.345,0.9871070504747624,1.0
5,72,onion,0,30,3.776,0.0,1.0,1.0
5,72,geranium,1,11,1.385,0.722,0.7754979283740708,1.0
5,72,lavender,0,7,0.881,0.0,1.0,1.0
5,72,estery,1,13,1.636,0.611,0.829471039100335,1.0
5,72,cabbage,0,9,1.133,0.0,1.0,1.0
5,72,alliaceous,0,16,2.014,0.0,1.0,1.0
5,72,jasmine,0,24,3.021,0.0,1.0,1.0
5,72,peach,0,16,2.014,0.0,1.0,1.0
5,72,bergamot,0,5,0.629,0.0,1.0,1.0
5,72,melon,1,19,2.392,0.418,0.9257381260748823,1.0
5,72,tomato,0,5,0.629,0.0,1.0,1.0
5,72,brothy,1,5,0.629,1.589,0.4909383707538145,1.0
5,72,grapefruit,0,10,1.259,0.0,1.0,1.0
5,72,ozone,1,5,0.629,1.589,0.4909383707538145,1.0
5,72,cooked,0,6,0.755,0.0,1.0,1.0
5,72,amber,0,8,1.007,0.0,1.0,1.0
5,72,leafy,0,13,1.636,0.0,1.0,1.0
5,72,berry,1,21,2.643,0.378,0.9438321230317138,1.0
5,72,jammy,0,6,0.755,0.0,1.0,1.0
5,72,raspberry,0,7,0.881,0.0,1.0,1.0
5,72,gasoline,1,5,0.629,1.589,0.4909383707538145,1.0
5,72,plum,0,11,1.385,0.0,1.0,1.0
5,72,lactonic,0,11,1.385,0.0,1.0,1.0
5,72,weedy,0,5,0.629,0.0,1.0,1.0
5,72,strawberry,0,12,1.51,0.0,1.0,1.0
