clustering,cramers_v,chi2_p,floor,floor_95th,n
receptor clusters,0.3559351565144589,6.276078731224402e-35,0.10690888452981093,0.1366576510270244,427
descriptor clusters,0.5691199407681231,2.0035727906120867e-104,0.10758411225224467,0.13813738082552257,427
