sml,pref,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0702,I,164.248,2.390100000000001,20.23,1,1,1,3,1,0.45454545454545453,1,0,0,0,0,1,0,1,0,0
SML0703,I,196.28999999999994,3.076100000000002,26.3,0,2,0,5,1,0.75,2,0,1,0,0,0,1,0,0,0
SML0704,II,168.27999999999997,3.3260000000000023,17.07,0,1,0,5,1,0.9090909090909091,1,0,0,0,1,0,0,0,0,0
SML0705,I,158.285,3.117800000000002,20.23,1,1,0,6,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0706,I,178.231,2.5299000000000005,26.3,0,2,1,4,1,0.36363636363636365,2,0,1,0,0,0,1,1,0,0
SML0707,I,192.30199999999996,3.6582000000000026,17.07,0,1,0,4,1,0.6153846153846154,1,0,0,1,0,0,0,0,0,0
SML0708,II,154.253,2.935900000000001,17.07,0,1,0,4,1,0.9,1,0,0,0,1,0,0,0,0,0
SML0709,I,170.25199999999998,2.518300000000001,26.3,0,2,0,4,1,0.9,2,0,1,0,0,0,1,0,0,0
SML0710,I,164.204,2.1398,26.3,0,2,1,3,1,0.3,2,0,1,0,0,0,1,1,0,0
SML0711,II,135.20999999999998,1.7488000000000001,26.02,1,1,1,2,1,0.3333333333333333,1,0,0,0,0,0,0,1,1,0
SML0712,I,226.35999999999996,4.222800000000004,26.3,0,2,0,8,1,0.9285714285714286,2,0,1,0,0,0,1,0,0,0
SML0713,II,196.29,3.218600000000002,26.3,0,2,0,6,1,0.75,2,0,1,0,0,0,1,0,0,0
SML0714,I,165.28,3.816780000000003,23.79,0,1,0,7,0,0.7272727272727273,1,0,0,0,0,0,0,0,0,0
SML0715,I,172.26799999999997,2.908400000000001,26.3,0,2,0,6,0,0.9,2,0,1,0,0,0,1,0,0,0
SML0716,I,158.285,3.117800000000002,20.23,1,1,0,7,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0717,II,182.30699999999996,3.7161000000000026,17.07,0,1,0,6,1,0.9166666666666666,1,0,0,0,1,0,0,0,0,0
SML0718,I,198.30599999999995,2.974500000000001,26.3,0,2,0,8,0,0.75,2,0,0,1,0,0,1,0,0,0
SML0719,II,131.17799999999997,2.4763199999999994,15.79,1,0,2,0,2,0.1111111111111111,1,0,0,0,0,0,0,1,0,0
SML0720,II,156.22499999999997,2.2739000000000003,26.3,0,2,0,0,1,0.8888888888888888,2,0,1,0,0,0,1,0,0,0
SML0721,II,129.16199999999995,2.2233800000000006,23.79,0,1,1,1,1,0.0,1,0,0,0,0,0,0,1,0,0
SML0722,II,181.32299999999998,4.430880000000004,23.79,0,1,0,9,0,0.9166666666666666,1,0,0,0,0,0,0,0,0,0
SML0723,II,208.257,2.2646000000000006,35.53,0,3,1,5,1,0.4166666666666667,3,0,1,0,0,0,1,1,0,0
SML0724,II,131.178,2.4763199999999994,15.79,1,0,2,0,2,0.1111111111111111,1,0,0,0,0,0,0,1,0,0
SML0725,II,192.214,1.6895999999999998,38.83,0,3,1,3,2,0.36363636363636365,3,0,1,0,0,0,1,1,0,0
SML0726,I,180.203,1.7583,35.53,0,3,1,3,1,0.3,3,0,1,0,0,0,1,1,0,0
SML0727,I,182.263,2.852100000000001,26.3,0,2,0,6,0,0.5454545454545454,2,0,1,0,0,0,1,0,0,0
SML0728,I,196.29,3.242200000000002,26.3,0,2,0,5,0,0.5833333333333334,2,0,1,0,0,0,1,0,0,0
SML0729,I,156.225,2.2723000000000004,26.3,0,2,0,3,1,0.8888888888888888,2,0,1,0,0,0,1,0,0,0
SML0730,I,212.33299999999994,3.8327000000000027,26.3,0,2,0,7,1,0.9230769230769231,2,0,1,0,0,0,1,0,0,0
SML0731,I,210.31699999999995,3.6323000000000025,26.3,0,2,0,6,0,0.6153846153846154,2,0,1,0,0,0,1,0,0,0
SML0732,II,150.17699999999996,1.8978,26.3,0,2,1,2,1,0.2222222222222222,2,0,0,0,1,0,1,1,0,0
SML0733,I,156.269,3.0378000000000016,17.07,0,1,0,6,0,0.9,1,0,0,1,0,0,0,0,0,0
SML0734,I,224.34399999999994,4.022400000000004,26.3,0,2,0,7,0,0.6428571428571429,2,0,1,0,0,0,1,0,0,0
SML0735,II,131.17799999999997,2.1783,4.93,0,1,2,0,2,0.1111111111111111,1,0,0,0,0,0,0,1,0,0
SML0736,II,137.138,0.8681999999999999,39.19,0,3,1,1,1,0.14285714285714285,3,0,1,0,0,0,1,0,0,0
SML0737,II,266.29699999999997,3.725760000000003,86.28,0,4,1,2,1,0.5384615384615384,6,0,0,0,0,0,0,1,1,0
SML0738,II,222.37199999999993,4.662400000000004,17.07,0,1,0,0,1,0.8,1,0,0,0,1,0,0,0,0,0
SML0739,I,198.30599999999998,3.1544000000000016,26.3,0,2,0,2,1,0.9166666666666666,2,0,1,0,0,0,1,0,0,0
SML0740,I,130.18699999999998,1.8973,37.3,1,1,0,4,0,0.8571428571428571,2,1,0,0,0,0,0,0,0,0
SML0741,I,130.187,1.8973,37.3,1,1,0,4,0,0.8571428571428571,2,1,0,0,0,0,0,0,0,0
SML0742,I,128.17099999999996,1.8174000000000001,37.3,1,1,0,3,0,0.5714285714285714,2,1,0,0,0,0,0,0,0,0
SML0743,I,146.186,1.0122,57.53,2,2,0,4,0,0.8571428571428571,3,1,0,0,0,1,0,0,0,0
SML0744,I,144.214,2.2874,37.3,1,1,0,5,0,0.875,2,1,0,0,0,0,0,0,0,0
SML0745,II,136.19799999999998,1.65584,25.78,0,2,1,1,1,0.5,2,0,0,0,0,0,0,0,0,0
SML0746,II,165.23599999999996,2.603700000000001,22.12,0,2,1,3,1,0.5,2,0,0,0,0,0,1,0,0,0
SML0747,II,165.23599999999996,2.2887000000000004,22.12,0,2,1,3,1,0.5,2,0,0,0,0,0,1,0,0,0
SML0748,I,138.16599999999997,1.2832000000000001,37.3,1,1,0,1,2,0.625,2,1,0,0,0,0,0,0,0,0
SML0749,II,134.2,0.8677999999999999,26.3,1,3,0,2,0,0.8,3,0,1,0,0,0,1,0,0,1
SML0750,II,170.21099999999998,3.0424000000000015,17.07,0,1,2,1,2,0.08333333333333333,1,0,0,0,1,0,0,1,0,0
SML0768,II,182.307,3.1178000000000017,20.23,1,1,0,0,2,1.0,1,0,0,0,0,1,0,0,0,0
SML0769,I,162.27899999999997,1.7553,17.07,0,2,0,5,0,0.3333333333333333,3,0,0,0,0,0,0,0,0,1
SML0770,II,172.271,3.6895200000000026,0.0,0,0,1,0,2,0.38461538461538464,0,0,0,0,0,0,0,1,0,0
