sml,group,rate_I,rate_II,MolWt,LogP,TPSA,HBD,HBA,AromaticRings,RotBonds,RingCount,FracCSP3,Heteroatoms,carboxylic acid,ester,aldehyde,ketone,alcohol,ether,aromatic ring,amine,sulfur
SML0611,Class I only,0.016129032258064516,0.0,189.167,-0.5594999999999994,103.7,3,3,0,5,0,0.5714285714285714,6,1,0,0,0,0,0,0,0,0
SML0612,Class I only,0.03225806451612903,0.0,342.297,-5.5545999999999935,197.36999999999998,8,11,0,8,1,0.9166666666666666,11,0,0,1,0,1,1,0,0,0
SML0613,shared,0.25806451612903225,0.0215633423180593,1060.2279999999994,-3.9884000000000217,418.77999999999986,12,13,2,27,5,0.54,26,1,0,0,0,1,0,1,1,0
SML0614,Class I only,0.04838709677419355,0.013477088948787063,98.105,0.011419999999999875,48.65,2,1,1,0,1,0.25,3,0,0,0,0,0,0,0,0,0
SML0615,Class I only,0.016129032258064516,0.008086253369272238,271.248,3.203300000000002,92.22000000000001,4,4,3,1,3,0.0,5,0,0,0,0,1,0,1,0,0
SML0616,Class I only,0.03225806451612903,0.0026954177897574125,75.06700000000001,-0.9702999999999999,63.31999999999999,2,2,0,1,0,0.5,3,1,0,0,0,0,0,0,1,0
SML0617,Class I only,0.016129032258064516,0.0,146.09799999999998,-0.49509999999999993,91.67,2,3,0,4,0,0.4,5,1,0,0,1,0,0,0,0,0
SML0618,Class I only,0.016129032258064516,0.0026954177897574125,60.05599999999999,-0.9762,69.11,2,1,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0
SML0619,shared,0.11290322580645161,0.03504043126684636,141.17399999999998,-0.7282000000000002,74.92999999999999,3,3,1,3,1,0.5,4,0,0,0,0,1,0,0,1,0
SML0620,shared,0.1774193548387097,0.05660377358490566,167.12800000000001,-1.4783000000000008,120.41999999999999,4,4,2,0,2,0.0,7,0,0,0,0,0,0,0,1,0
SML0621,Class I only,0.016129032258064516,0.005390835579514825,85.106,-0.10360000000000008,29.1,1,1,0,0,1,0.75,2,0,0,0,0,0,0,0,0,0
SML0622,Class I only,0.016129032258064516,0.0,288.43100000000004,3.8792000000000035,37.3,1,2,0,0,4,0.8421052631578947,2,0,0,0,1,1,0,0,0,0
SML0623,Class I only,0.016129032258064516,0.005390835579514825,288.387,2.5800000000000023,60.69,3,3,1,0,4,0.6666666666666666,3,0,0,0,0,1,0,1,0,0
SML0624,shared,0.1935483870967742,0.026954177897574125,372.41700000000003,3.2087000000000026,93.06000000000002,2,6,2,10,2,0.3333333333333333,6,0,0,0,1,1,1,1,0,0
SML0627,shared,0.03225806451612903,0.018867924528301886,327.553,5.356400000000005,49.33,2,2,0,18,0,0.95,3,0,0,0,0,1,0,0,0,0
SML0629,shared,0.03225806451612903,0.018867924528301886,299.499,4.576200000000004,49.33,2,2,0,16,0,0.9444444444444444,3,0,0,0,0,1,0,0,0,0
SML0634,Class I only,0.03225806451612903,0.01078167115902965,296.45099999999996,5.095700000000004,49.83,1,2,0,14,1,0.8333333333333334,3,1,0,0,0,0,1,0,0,0
SML0635,shared,0.1774193548387097,0.03773584905660377,300.44200000000006,5.602600000000005,37.3,1,1,0,5,1,0.45,2,1,0,0,0,0,0,0,0,0
SML0636,Class I only,0.016129032258064516,0.008086253369272238,253.254,0.5325999999999995,95.86,3,4,1,5,1,0.3333333333333333,6,1,0,0,0,1,1,1,0,0
SML0638,shared,0.03225806451612903,0.016172506738544475,187.28699999999995,-0.1588999999999986,67.15,3,3,0,8,0,0.8888888888888888,4,0,0,0,0,0,0,0,1,0
SML0640,Class I only,0.016129032258064516,0.005390835579514825,188.231,-1.157999999999998,127.72,4,3,0,6,0,0.7142857142857143,6,1,0,0,0,0,0,0,1,0
SML0641,shared,0.016129032258064516,0.018867924528301886,187.28699999999998,-0.1588999999999986,67.15,3,3,0,8,0,0.8888888888888888,4,0,0,0,0,0,0,0,1,0
SML0644,Class I only,0.016129032258064516,0.005390835579514825,202.25799999999998,-0.9451999999999972,104.94,3,3,0,5,0,0.75,6,1,0,0,0,0,0,0,1,0
SML0648,Class I only,0.08064516129032258,0.01078167115902965,205.34799999999993,2.1858,43.09,1,3,0,5,1,0.875,4,0,0,0,0,0,0,0,0,1
SML0649,Class I only,0.016129032258064516,0.013477088948787063,111.14800000000001,-0.08910000000000007,54.7,2,2,1,2,1,0.4,3,0,0,0,0,0,0,0,1,0
SML0652,Class II only,0.0,0.0215633423180593,278.308,3.7703200000000034,86.28,0,4,1,2,2,0.5714285714285714,6,0,0,0,0,0,0,1,1,0
SML0653,Class II only,0.0,0.018867924528301886,268.269,3.1175200000000025,95.51,0,5,1,3,1,0.5,7,0,0,0,0,0,1,1,1,0
SML0654,Class II only,0.0,0.029649595687331536,264.40899999999993,4.6585000000000045,26.3,0,2,0,6,1,0.7058823529411765,2,0,1,0,0,0,1,0,0,0
SML0655,shared,0.016129032258064516,0.016172506738544475,158.285,2.9737000000000022,20.23,1,1,0,5,0,1.0,1,0,0,0,0,1,0,0,0,0
SML0656,Class II only,0.0,0.018867924528301886,268.397,3.7256000000000027,35.53,0,3,0,7,1,0.8125,3,0,1,0,0,0,1,0,0,0
SML0657,shared,0.016129032258064516,0.05660377358490566,244.37799999999996,4.4025200000000035,17.07,0,1,1,1,2,0.5882352941176471,1,0,0,0,1,0,0,1,0,0
SML0658,shared,0.04838709677419355,0.0646900269541779,258.405,4.864520000000005,17.07,0,1,1,2,2,0.6111111111111112,1,0,0,0,1,0,0,1,0,0
SML0660,shared,0.3064516129032258,0.08355795148247978,362.37800000000016,1.1685999999999999,94.59,1,7,0,2,5,0.5789473684210527,7,0,1,0,0,1,1,0,0,0
SML0661,Class II only,0.0,0.018867924528301886,254.4139999999999,5.004600000000005,26.3,0,2,0,0,1,0.9375,2,0,1,0,0,0,1,0,0,0
SML0662,Class II only,0.0,0.0215633423180593,222.37199999999996,4.806500000000004,17.07,0,1,0,0,1,0.8,1,0,0,0,1,0,0,0,0,0
SML0663,shared,0.04838709677419355,0.026954177897574125,256.3859999999999,3.850900000000003,35.53,0,3,0,0,1,0.9333333333333333,3,0,1,0,0,0,1,0,0,0
SML0664,Class II only,0.0,0.016172506738544475,236.39899999999994,5.196600000000005,17.07,0,1,0,0,1,0.8125,1,0,0,0,1,0,0,0,0,0
SML0666,shared,0.24193548387096775,0.04043126684636118,256.3419999999999,2.987400000000002,52.6,0,4,0,0,1,0.8571428571428571,4,0,1,0,0,0,1,0,0,0
SML0667,Class II only,0.0,0.0215633423180593,256.3859999999999,3.850900000000003,35.53,0,3,0,0,1,0.9333333333333333,3,0,1,0,0,0,1,0,0,0
SML0670,Class II only,0.0,0.0215633423180593,256.3859999999999,3.850900000000003,35.53,0,3,0,0,1,0.9333333333333333,3,0,1,0,0,0,1,0,0,0
SML0671,shared,0.016129032258064516,0.018867924528301886,156.269,2.7497000000000016,20.23,1,1,0,5,0,0.8,1,0,0,0,0,1,0,0,0,0
SML0672,shared,0.04838709677419355,0.02425876010781671,226.31599999999995,2.725100000000001,43.370000000000005,0,3,0,6,1,0.8461538461538461,3,0,1,0,1,0,1,0,0,0
SML0673,Class II only,0.0,0.016172506738544475,154.253,2.6698000000000017,20.23,1,1,0,5,0,0.6,1,0,0,0,0,1,0,0,0,0
SML0674,Class II only,0.0,0.018867924528301886,170.296,3.117800000000002,20.23,1,1,0,3,1,1.0,1,0,0,0,0,1,0,0,0,0
SML0675,Class II only,0.0,0.016172506738544475,189.30200000000002,3.6213000000000024,12.89,0,1,1,1,2,0.6153846153846154,1,0,0,0,0,0,0,0,0,0
SML0676,shared,0.016129032258064516,0.04043126684636118,178.27499999999998,2.637700000000001,20.23,1,1,1,5,1,0.5,1,0,0,0,0,1,0,1,0,0
SML0677,shared,0.03225806451612903,0.03234501347708895,148.20499999999998,2.2081999999999997,17.07,0,1,1,3,1,0.3,1,0,0,0,1,0,0,1,0,0
