cluster,n,tag,obs,tag_total,exp,obs_exp,p,fdr
0,111,natural,2,9,1.794,1.115,0.5632501009492012,1.0
0,111,animal,6,28,5.58,1.075,0.4975040089222219,1.0
0,111,musk,8,34,6.776,1.181,0.3610697346010055,1.0
0,111,hawthorn,2,5,0.996,2.007,0.26087335524346594,1.0
0,111,vanilla,3,17,3.388,0.886,0.6917058529424533,1.0
0,111,caramellic,6,24,4.783,1.255,0.33895383440946436,1.0
0,111,meaty,5,35,6.975,0.717,0.8624776984749801,1.0
0,111,fishy,0,12,2.391,0.0,1.0,1.0
0,111,warm,4,13,2.591,1.544,0.248765052597297,1.0
0,111,coumarinic,3,10,1.993,1.505,0.3194613561153662,1.0
0,111,ketonic,1,12,2.391,0.418,0.9325865099775177,1.0
0,111,mint,1,11,2.192,0.456,0.9153844470062635,1.0
0,111,chemical,1,6,1.196,0.836,0.7382145642557507,1.0
0,111,chicken,2,12,2.391,0.836,0.7261617543224682,1.0
0,111,metallic,4,26,5.181,0.772,0.7970860478499114,1.0
0,111,onion,4,28,5.58,0.717,0.8443936113571195,1.0
0,111,garlic,0,19,3.786,0.0,1.0,1.0
0,111,horseradish,0,5,0.996,0.0,1.0,1.0
0,111,sulfurous,6,45,8.968,0.669,0.9170014882565873,1.0
0,111,geranium,1,11,2.192,0.456,0.9153844470062635,1.0
0,111,lavender,1,7,1.395,0.717,0.7909517391515977,1.0
0,111,estery,0,13,2.591,0.0,1.0,1.0
0,111,alliaceous,1,16,3.189,0.314,0.9729672059304009,1.0
0,111,cabbage,2,9,1.794,1.115,0.5632501009492012,1.0
0,111,aromatic,0,6,1.196,0.0,1.0,1.0
0,111,peach,2,16,3.189,0.627,0.861574532455672,1.0
0,111,bergamot,0,5,0.996,0.0,1.0,1.0
0,111,melon,4,19,3.786,1.056,0.544124057792891,1.0
0,111,strawberry,4,13,2.591,1.544,0.248765052597297,1.0
0,111,grapefruit,2,10,1.993,1.004,0.62419728715766,1.0
0,111,ozone,2,5,0.996,2.007,0.26087335524346594,1.0
0,111,anise,2,6,1.196,1.673,0.3428651306828029,1.0
0,111,leafy,3,13,2.591,1.158,0.4970113374943862,1.0
0,111,jammy,1,6,1.196,0.836,0.7382145642557507,1.0
0,111,raspberry,2,7,1.395,1.434,0.421791514880669,1.0
0,111,berry,6,21,4.185,1.434,0.22465295297471913,1.0
0,111,gasoline,1,5,0.996,1.004,0.6723229919935927,1.0
0,111,rum,0,7,1.395,0.0,1.0,1.0
0,111,jasmin,4,17,3.388,1.181,0.44883034126190263,1.0
0,111,cooked,1,5,0.996,1.004,0.6723229919935927,1.0
0,111,lactonic,2,11,2.192,0.912,0.6784220841499511,1.0
0,111,weedy,0,5,0.996,0.0,1.0,1.0
1,108,musk,20,34,6.592,3.034,1.5447342383305546e-07,1.2605031384777327e-05
1,108,ketonic,7,12,2.327,3.008,0.002903369244686714,0.05384430235600815
1,108,dry,9,19,3.684,2.443,0.004619392086764447,0.07112120646792054
1,108,animal,11,28,5.429,2.026,0.009922485759164032,0.13494580632463082
1,108,cucumber,6,12,2.327,2.579,0.01564751842882799,0.17986711068602992
1,108,citrus,22,76,14.736,1.493,0.020285405190220374,0.20435667450888673
1,108,leafy,6,13,2.521,2.38,0.024526666143493133,0.24112963341072768
1,108,grapefruit,5,10,1.939,2.579,0.02769990664666327,0.2628270212055492
1,108,metallic,9,26,5.041,1.785,0.04579354339090719,0.3663483471272575
1,108,weedy,3,5,0.969,3.094,0.05253046006285031,0.412162071262364
1,108,melon,7,19,3.684,1.9,0.05534852636789088,0.4220971730485884
1,108,herbal,23,88,17.063,1.348,0.05807179951721091,0.42750469054598517
1,108,fatty,27,107,20.747,1.301,0.061274049229100284,0.44642521581201633
1,108,soapy,6,16,3.102,1.934,0.0690955373077867,0.47620186913570933
1,108,violet,4,9,1.745,2.292,0.0761527006707909,0.5011339011884305
1,108,natural,4,9,1.745,2.292,0.0761527006707909,0.5011339011884305
1,108,jasmin,6,17,3.296,1.82,0.09038239239948456,0.5673233245998416
1,108,coumarinic,4,10,1.939,2.063,0.10845456335354262,0.6678491007568781
1,108,fresh,24,99,19.196,1.25,0.11511132262444533,0.6858405902208075
1,108,raspberry,3,7,1.357,2.21,0.13642941761815222,0.7677683088028429
1,108,geranium,4,11,2.133,1.875,0.1458265277527565,0.7889955743520491
1,108,mushroom,5,16,3.102,1.612,0.1809031936632094,0.9168758138458315
1,108,peach,5,16,3.102,1.612,0.1809031936632094,0.9168758138458315
1,108,amber,3,8,1.551,1.934,0.1885426736876032,0.9419838128007341
1,108,waxy,22,96,18.614,1.182,0.20461518260619532,0.9764092924365811
1,108,terpenic,2,13,2.521,0.793,0.7529534504965043,1.0
1,108,peppery,0,7,1.357,0.0,1.0,1.0
1,108,pine,1,13,2.521,0.397,0.9413583149739122,1.0
1,108,orange,5,28,5.429,0.921,0.6616138717671085,1.0
1,108,minty,7,28,5.429,1.289,0.2886456280468764,1.0
