seed,features,n_pairs,fraction_matched,worst_smd,auc,split
0,volatility_only,5939,0.9993269392562679,0.0035465860046215354,0.49441675953379194,random
0,descriptors_22,5939,0.9993269392562679,0.0035465860046215354,0.6673154252949551,random
0,molformer_768,5939,0.9993269392562679,0.0035465860046215354,0.7950442508886936,random
1,volatility_only,5939,0.9993269392562679,0.0033960087683320202,0.4870062336907235,random
1,descriptors_22,5939,0.9993269392562679,0.0033960087683320202,0.6673708804852476,random
1,molformer_768,5939,0.9993269392562679,0.0033960087683320202,0.7944612342561906,random
2,volatility_only,5939,0.9993269392562679,0.0034458989454557282,0.48654736750724475,random
2,descriptors_22,5939,0.9993269392562679,0.0034458989454557282,0.66667172265283,random
2,molformer_768,5939,0.9993269392562679,0.0034458989454557282,0.7937201873421487,random
3,volatility_only,5939,0.9993269392562679,0.0032656332512283363,0.49133102975043375,random
3,descriptors_22,5939,0.9993269392562679,0.0032656332512283363,0.6675095609879654,random
3,molformer_768,5939,0.9993269392562679,0.0032656332512283363,0.793892790204368,random
4,volatility_only,5939,0.9993269392562679,0.0036075971774590576,0.49434977953017945,random
4,descriptors_22,5939,0.9993269392562679,0.0036075971774590576,0.6665063352026401,random
4,molformer_768,5939,0.9993269392562679,0.0036075971774590576,0.7932369390197886,random
