rank,taxid,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,n_odorant,n_background,p,q,taxon
superkingdom,2759,96.81372549019608,90.39198754432103,3.229664166121557,1.8582725150896375,5.613132918465675,395,138175,8.112601020774915e-07,2.4337803062324748e-06,Eukaryota
superkingdom,2,3.1862745098039214,9.216809933142311,0.32416868892241096,0.1865171577414297,0.5634084292843212,13,14089,2.8665753349122404e-06,4.299863002368361e-06,Bacteria
superkingdom,2157,0.0,0.04644712224097552,2.615598599686727,0.1617531528194653,42.29503979016031,0,71,1.0,1.0,Archaea
kingdom,33090,84.06862745098039,61.6091638209627,3.2882363079014065,2.521897401860895,4.287445638598377,343,94177,4.606333228376583e-23,3.224433259863608e-22,Viridiplantae
kingdom,1783272,2.450980392156863,7.739006424094935,0.2995365670278697,0.15987992060242465,0.5611846356238483,10,11830,9.817972598573115e-06,2.2908602730003933e-05,Bacillati
kingdom,33208,10.53921568627451,16.013136031191532,0.6178891417174158,0.45034139727810313,0.8477723650542316,43,24478,0.001836962198483176,0.003214683847345558,Metazoa
kingdom,4751,1.2254901960784315,9.897816331069853,0.1129434069331304,0.046748579338639476,0.27286846680962556,5,15130,1.394109764148593e-12,4.8793841745200754e-12,Fungi
kingdom,3379134,0.7352941176470589,1.4470568224934908,0.5044873082847766,0.1619031210421209,1.5719736752585909,3,2212,0.2987946588340631,0.41831252236768834,Pseudomonadati
kingdom,3366610,0.0,0.035980165116248644,3.3699979048816258,0.2078277028928345,54.64567870801458,0,55,1.0,1.0,Methanobacteriati
kingdom,3384194,0.0,0.014392066046499457,8.314456684346526,0.5035248109414775,137.29251956148255,0,22,1.0,1.0,Thermotogati
phylum,35493,84.06862745098039,61.31085554290798,3.329910134252811,2.553860421184442,4.341780549250607,343,93721,1.709193300677454e-23,5.640337892235598e-22,Streptophyta
phylum,201174,2.450980392156863,6.127095026886996,0.38494844497954217,0.2054552585104196,0.7212534075133076,10,9366,0.0008512118432451235,0.00468166513784818,Actinomycetota
phylum,3041,0.0,0.298308278054716,0.40863978893207187,0.025477849511444956,6.554182566446038,0,456,0.6386240344400116,1.0,Chlorophyta
phylum,6040,0.7352941176470589,6.515680810142482,0.10627844712182062,0.03412778419643726,0.330965182433519,3,9960,8.533052476727763e-09,7.039768293300404e-08,Porifera
phylum,1239,0.0,0.38204393505253104,0.3188834780168636,0.019888331167982075,5.112881100644352,0,584,0.4148176850255244,0.9125989070561537,Bacillota
phylum,4890,0.49019607843137253,7.1927620991482515,0.06356091102762787,0.015840184122667113,0.25504687189089237,2,10995,6.506583376027616e-11,7.157241713630377e-10,Ascomycota
phylum,1224,0.24509803921568626,0.9714644581387134,0.25046037773310503,0.035172514708669875,1.7835062785188598,1,1485,0.19831024701863073,0.5415699301908292,Pseudomonadota
phylum,976,0.24509803921568626,0.05822244900629326,4.2175689479060265,0.5862055986465938,30.344111129967107,1,89,0.21334573007517516,0.5415699301908292,Bacteroidota
phylum,5204,0.7352941176470589,2.5879551490887205,0.27881885930419803,0.08951037184930254,0.868502215973086,3,3956,0.01172543343084724,0.04407960199788503,Basidiomycota
phylum,6656,0.7352941176470589,0.4297994269340974,1.7160493827160495,0.5497308577391206,5.356849524567941,3,657,0.25763856787332867,0.6072909099871319,Arthropoda
phylum,6073,0.0,4.500791563632557,0.025969210166527954,0.0016214207263555566,0.4159314517886651,0,6880,1.2117399931468315e-08,7.997483954769088e-08,Cnidaria
phylum,7711,8.333333333333334,1.772840863000615,5.036967460583697,3.5384101504014813,7.170180991059017,34,2710,2.401830533304557e-13,3.963020379952519e-12,Chordata
phylum,1117,0.0,1.2095877327262499,0.09994000826582194,0.006238174710319016,1.6011102150843393,0,1849,0.011533342579395537,0.04407960199788503,Cyanobacteriota
phylum,2763,0.24509803921568626,1.3286493700200182,0.18246781762291364,0.025628759561630018,1.2991071373550047,1,2031,0.04963138684052528,0.16378357657373344,Rhodophyta
phylum,6447,0.49019607843137253,1.0316494616058929,0.47257216576963806,0.11768266915677068,1.8976834351259075,2,1577,0.4544515454080819,0.937306312404169,Mollusca
phylum,2818505,0.24509803921568626,0.3676518690060316,0.66583892206668,0.09340362969030588,4.74651222451296,1,562,1.0,1.0,Myxococcota
phylum,7586,0.0,1.270426921013725,0.09509663536591322,0.005935961661718096,1.5234886229538007,0,1942,0.012021709635786826,0.04407960199788503,Echinodermata
phylum,1913637,0.0,0.08504402663840588,1.4325140571289223,0.08897688445927684,23.06325442099711,0,130,1.0,1.0,Mucoromycota
phylum,6231,0.24509803921568626,0.1661629443550392,1.4762135077095706,0.2066464229945757,10.545579685167825,1,254,0.49352067743479766,0.9580107267851955,Nematoda
phylum,2605435,0.0,0.07915636325574701,1.5387168754501817,0.09553590898359683,24.78282404997775,0,121,1.0,1.0,Evosea
phylum,6157,0.0,0.018317174968272038,6.563787068650819,0.4000627239996083,107.69136462368809,0,28,1.0,1.0,Platyhelminthes
phylum,544448,0.0,0.018317174968272038,6.563787068650819,0.4000627239996083,107.69136462368809,0,28,1.0,1.0,Mycoplasmatota
phylum,10205,0.0,0.21784354515837814,0.559803941358574,0.03488311316246885,8.983729499744411,0,333,1.0,1.0,Bryozoa
phylum,5878,0.0,0.03467179547565778,3.4960248916139514,0.21549969568320929,56.715579128943666,0,53,1.0,1.0,Ciliophora
phylum,4761,0.0,0.017662990147976607,6.802514743518415,0.41425020102343746,111.70593694694989,0,27,1.0,1.0,Chytridiomycota
phylum,2836,0.24509803921568626,0.04317619813949837,5.688184051820415,0.7876038680950653,41.08085183182306,1,66,0.16358321852034283,0.4907496555610285,Bacillariophyta
phylum,28890,0.0,0.03532598029595321,3.431855187360336,0.21159420800033213,55.66140084039331,0,54,1.0,1.0,Methanobacteriota
phylum,6340,0.0,0.041213643678612084,2.9452770362089074,0.18191973740988576,47.68397834960888,0,63,1.0,1.0,Annelida
phylum,33682,0.0,0.017008805327681176,7.059259601394887,0.4294804974759218,116.03122007345566,0,26,1.0,1.0,Euglenozoa
phylum,1297,0.0,0.013737881226204026,8.701232529674646,0.5262025995419242,143.88269385475752,0,21,1.0,1.0,Deinococcota
phylum,2830,0.0,0.018317174968272038,6.563787068650819,0.4000627239996083,107.69136462368809,0,28,1.0,1.0,Haptophyta
phylum,10219,0.0,0.04186782849890751,2.89959484975283,0.1791282719939651,46.936478530850756,0,64,1.0,1.0,Hemichordata
phylum,74201,0.0,0.015046250866794886,7.960597932237818,0.48272014659282364,131.27920988183405,0,23,1.0,1.0,Verrucomicrobiota
class,3398,82.3529411764706,57.914982140754404,3.39112165367672,2.6285341724004128,4.374950187363721,336,88530,9.796702561075403e-26,6.661757741531275e-24,Magnoliopsida
class,1760,2.450980392156863,6.123169917965224,0.38521131297513206,0.20559551394746767,0.7217460770177125,10,9360,0.0008505608290339042,0.009639689395717582,Actinomycetes
class,33103,0.0,0.21195588177571928,0.575364038073828,0.035850647637465594,9.233969206254041,0,324,1.0,1.0,Ulvophyceae
class,80999,0.49019607843137253,0.36699768418573614,1.3373462237559601,0.33250605759376906,5.3788341034657945,2,561,0.6646261334686503,1.0,Homoscleromorpha
class,91061,0.0,0.35325980295953213,0.34494218033304763,0.021511503213842487,5.531231666615968,0,540,0.4116702480699528,1.0,Bacilli
class,147541,0.0,1.1408983265952297,0.10602898495814612,0.006618094611000354,1.6986982374909678,0,1744,0.017152143853369724,0.11440479148098905,Dothideomycetes
class,28216,0.0,0.149154139027358,0.8176067107874515,0.05089905352164394,13.133460983521339,0,228,1.0,1.0,Betaproteobacteria
class,768503,0.0,0.01635462050738575,7.336141310869513,0.4458729452486765,120.70472072045065,0,25,1.0,1.0,Cytophagia
class,27929,0.0,0.045792937420680094,2.652716650607221,0.16402613990736323,42.90112315258417,0,70,1.0,1.0,Calcarea
class,50557,0.49019607843137253,0.34279284583480524,1.432124995299515,0.3560091818278175,5.761036812678572,2,524,0.40865511352297423,1.0,Insecta
class,147547,0.0,0.2760659941646714,0.44162290962027334,0.02753091990964085,7.084063843183815,0,422,0.6338305093472825,1.0,Lecanoromycetes
class,2870,0.49019607843137253,1.029032722324711,0.4737864016860882,0.11798478242080407,1.902563617247221,2,1573,0.45411767575343276,1.0,Phaeophyceae
class,147545,0.49019607843137253,2.561787756276903,0.1873657144869853,0.04668332050334491,0.7520011555883888,2,3916,0.003977606822561274,0.03863960913345238,Eurotiomycetes
class,6042,0.24509803921568626,6.0780311653648385,0.03796731242646645,0.005334755762034509,0.27021233533269823,1,9291,4.760415362237497e-10,1.079027482107166e-08,Demospongiae
class,147550,0.0,2.810377987989167,0.0423237382167974,0.0026423767928051857,0.6779119546922482,0,4296,1.5308683733408483e-05,0.00020819809877435538,Sordariomycetes
class,58019,1.2254901960784315,1.5576140571234185,0.784128486164768,0.3243103642565534,1.895892177928218,5,2381,0.8396054341340675,1.0,Pinopsida
class,1236,0.0,0.6751187345448836,0.1799893901090922,0.011231465222003556,2.884412666690688,0,1032,0.1229946936161729,0.554653262232423,Gammaproteobacteria
class,6101,0.0,4.436681451243605,0.026362123345549174,0.0016459503729559816,0.42222509177956513,0,6782,1.8525986443267223e-08,3.1494176953554277e-07,Anthozoa
class,40674,8.088235294117647,0.7503499888788581,11.639860505666958,8.116053504476346,16.693624865417526,33,1147,3.2024528424729796e-23,1.088833966440813e-21,Mammalia
class,186770,0.0,0.10532375606756421,1.1573073731199623,0.07195627006862566,18.61353228287767,0,161,1.0,1.0,Marchantiopsida
class,155619,0.7352941176470589,2.5330036241839045,0.28502831343740437,0.09150297091835811,0.8878524778551423,3,3872,0.016358018238625656,0.11440479148098905,Agaricomycetes
class,3028117,0.0,1.2030458845232954,0.10048996204931693,0.006272489617553108,1.6099241431048346,0,1839,0.01850665744545411,0.11440479148098905,Cyanophyceae
class,1521260,0.0,0.24531930761078619,0.49705248163607235,0.03098006540276306,7.9748433803675285,0,375,0.6311777854559583,1.0,Lycopodiopsida
class,28211,0.24509803921568626,0.1465373997461763,1.6742497367497367,0.23424767620900427,11.96644605560793,1,224,0.45128764072379296,1.0,Alphaproteobacteria
class,6658,0.0,0.021588099069749185,5.583934671806207,0.3415673826641469,91.28601851792796,0,33,1.0,1.0,Branchiopoda
class,2806,0.0,1.3194907825358821,0.09151594296539307,0.005712529411131482,1.466104979787967,0,2017,0.007835492982957163,0.06660169035513588,Florideophyceae
class,241806,0.49019607843137253,0.5495152490481611,0.8915200562983814,0.22184097602834396,3.5827826987234266,2,840,1.0,1.0,Polypodiopsida
class,7713,0.0,0.811189177166333,0.1496045589071805,0.009336479935690761,2.3972122470111783,0,1240,0.08625961328915606,0.4326889144434679,Ascidiacea
class,186771,0.0,0.634559275686567,0.19156613362239933,0.01195335015111855,3.070066808642842,0,970,0.1938990686085216,0.7755962744340864,Jungermanniopsida
class,6448,0.49019607843137253,0.8641781476102629,0.5651077889194259,0.14070254088377832,2.269659176668217,2,1321,0.5934137248842278,1.0,Gastropoda
class,5257,0.0,0.013737881226204026,8.701232529674646,0.5262025995419242,143.88269385475752,0,21,1.0,1.0,Ustilaginomycetes
class,186623,0.0,0.07719380879486072,1.5777027201503906,0.0979423588458154,25.414395798741694,0,118,1.0,1.0,Actinopteri
class,147549,0.0,0.03859690439743036,3.143361138825175,0.19401299614893774,50.92813082218049,0,59,1.0,1.0,Pezizomycetes
