cluster,n,within,between,ratio
0,127,3.5311934796376643,3.44875,1.023905316450372
1,214,3.5808013503730174,3.695086,0.9690711794247393
2,70,2.855977905252663,3.2015963,0.8920481138960055
3,108,3.409486043053456,3.5032668,0.9732304807578455
4,100,2.212534584167755,3.5221448,0.6281782019993271
5,68,3.4796208917671736,3.4138432,1.019267943451179
