group,pct_odorant_matched,pct_partner_matched,pairs_only_odorant,pairs_only_partner,OR_matched,ci_lo_matched,ci_hi_matched,p_matched,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,p,q_matched,q
fg_thiol,3.3844081495201213,1.1281360498400403,172,38,3.070059254095504,2.412486576121949,4.047513816463561,1.472751580535757e-21,3.3713518953371353,0.1457432559043369,23.90431472710591,20.510764085580114,27.85933572188375,4.330342104447129e-187,3.9273375480953525e-21,8.660684208894258e-187
fg_ester,33.75989223775046,23.2362350564068,826,201,1.6837225451839408,1.5989950471460623,1.771309611548199,1.884596340702108e-90,33.66320026836632,40.58352823602079,0.742947187502943,0.7039478874036201,0.7841070813556569,7.027155249426715e-28,3.0153541451233728e-89,7.4956322660551625e-28
fg_lactone,32.29499915810742,22.545883145310658,771,192,1.6386710620623355,1.5578423031933701,1.7254232353598637,9.114380147752596e-83,32.2039584032204,39.55930015476546,0.7257479270993481,0.687233028946613,0.7664213323628216,1.085087322789294e-31,7.291504118202076e-82,1.2400997974734787e-31
fg_sulfide,8.637817814446876,5.455463882808553,394,205,1.6384844575500677,1.4582798790108902,1.857957431827355,9.499971846168527e-15,8.60449513586045,4.668781100569786,1.9223488001837425,1.7548301532237263,2.1058590216148048,4.090141629277385e-38,2.171422136267092e-14,5.034020466802936e-38
fg_ether,49.28439131166863,39.60262670483246,828,253,1.4820464457363292,1.4192812010702944,1.549363977022883,8.899530367955735e-72,49.2619926199262,74.1366794134181,0.3387113272038962,0.32185543405225864,0.35644998045177406,0.0,4.746416196243058e-71,0.0
fg_nitrile,0.9429196834483919,0.6735140596059943,48,32,1.4038075811660717,0.9770937648660729,2.0506916812896074,0.09291188222054622,0.9392821200939282,0.7704960128809277,1.2211387397943998,0.937359920292126,1.5908295090768678,0.13701834863630805,0.09910600770191597,0.13701834863630805
fg_aldehyde,8.452601448055228,7.240276140764438,314,242,1.1829018225680201,1.062805673048301,1.3190862505471492,0.00257206133517991,8.419993290842,2.4747204852556406,3.623281902534805,3.302795392706744,3.974866797448597,1.4239671058172502e-118,0.003741180123898051,2.2783473693076003e-118
fg_alcohol,15.45714766795757,13.773362518942584,287,187,1.1446005018530971,1.0842718820388373,1.21056020856373,5.037860458326953e-06,15.565246561556524,47.38168770690337,0.20472041498322832,0.19084738026345338,0.2196019052137386,0.0,8.060576733323124e-06,0.0
fg_carboxylic_acid,5.404950328338104,4.765111971712409,116,78,1.1419478279684054,1.0367274931633457,1.261235207926853,0.007734510260501239,5.434417980543442,12.297399523905364,0.4098445144754805,0.3663486258982041,0.45850458872013417,5.8964658323501415e-71,0.010312680347334985,8.576677574327478e-71
fg_ketone,13.958578885334232,13.773362518942584,383,372,1.0156290221484314,0.9433058605518869,1.0947971019648761,0.7159309399543607,13.938275746393828,22.356043834019253,0.5624859933290624,0.5226266418864108,0.6053853120640321,2.2531955585659492e-60,0.7159309399543607,3.004260744754599e-60
fg_benzene,20.474827412022226,21.703990570803164,484,557,0.9287860094708446,0.8730976186841873,0.9910126177196473,0.02559747663731849,20.429386112042938,51.26817453101902,0.24404360624995436,0.22911408480672066,0.2599459644819521,0.0,0.029254259014078274,0.0
fg_phenol,3.5864623674019196,4.125273615086715,80,112,0.8645291438265841,0.7675241055029003,0.979307356396184,0.025016096927259472,3.572626635357263,20.324521649813658,0.14524180628598615,0.12666172620455474,0.16654740879772845,0.0,0.029254259014078274,0.0
fg_terpene_isopropyl,52.247853173935006,57.60228994780266,785,1103,0.8053380163752546,0.7614051615413325,0.8534598268960527,2.6213067828721126e-13,52.23079503522308,83.05311300654456,0.2231067148047536,0.21197347378163034,0.23482469434948383,0.0,5.242613565744225e-13,0.0
fg_amide,1.4985687826233374,2.9129483077959253,54,138,0.507063880243071,0.40484097730975405,0.6306815337768475,1.1470962400513951e-09,1.5263334451526334,23.43273948740015,0.05064649047035853,0.04117173372747262,0.06230165127227879,0.0,2.0392822045358133e-09,0.0
fg_amine,2.138407139249032,7.593871022057585,47,371,0.2658983706773813,0.22273372926936444,0.31173893079449494,1.394066676660377e-63,2.1637034552163703,18.514806820784376,0.09733235876850148,0.08174194575673288,0.11589628771052311,0.0,4.461013365313206e-63,0.0
fg_halogen,0.40410843576359656,4.8661390806533085,16,281,0.07932445515623583,0.05024644859791042,0.1138077840872083,9.666352480195943e-64,0.4025494800402549,6.152031036373352,0.061656292861167306,0.04128818838960027,0.09207229955237171,9.559249401910264e-126,3.8665409920783773e-63,1.699422115895158e-125
