column,category,n_odorant,n_background,pct_odorant,pct_background,odds_ratio,ci_lo,ci_hi,p,q
murcko_framework,C=1C=C2N(CC1)CC3CNCC2C3,0,334,0.0,0.046093824393569495,0.3640908242037349,0.022721032982154638,5.834335453562821,0.6508799765045891,1.0
murcko_framework,N(OCCNCCC1(c2ccccc2)CCNCC1)=C3C=C4CCC5C(CCC6CCCC65)C4CC3,0,30,0.0,0.004140163867685883,3.9947376690823586,0.24421917283070577,65.3426545500901,1.0,1.0
murcko_framework,N12CCCCC1CCCC2,0,243,0.0,0.033535327328255655,0.5002204621314423,0.031192047932204713,8.021932746411618,1.0,1.0
murcko_framework,o1cc(-c2ccccc2)c3ccc4OCC=Cc4c13,0,52,0.0,0.007176284037322197,2.3206818964343765,0.14322373735831748,37.60245727260023,1.0,1.0
murcko_framework,c1ccc(cc1)C2NCCc3c4ccccc4[nH]c32,0,182,0.0,0.02511699413062769,0.667473642748387,0.04158186710262715,10.714311184349228,1.0,1.0
murcko_framework,O1C=C(c2ccc3OCOc3c2)Cc4ccc(OC5OCCCC5)cc14,0,39,0.0,0.005382213027991648,3.084505963010815,0.1895435270182853,50.195209435621834,1.0,1.0
murcko_framework,c1ccc(cc1)CC2=CCC=CC2,0,95,0.0,0.013110518914338629,1.2756918222659672,0.07919841770447848,20.548259328471907,1.0,1.0
murcko_framework,O1C=C(C=CC1)C2CCC3C2CCC4C5C(=CC(OC6OCCCC6)CC5)CCC43,0,63,0.0,0.008694344122140355,1.9186448801685227,0.11868138567924466,31.017485641311175,1.0,1.0
murcko_framework,o1cccc1C(c2occc2)c3ccccc3,0,36,0.0,0.004968196641223059,3.338040821779601,0.20482969417506067,54.398931623380356,1.0,1.0
murcko_framework,O1CCOC12CCC3C4CCC5CCCCC5C4CCC32,0,45,0.0,0.006210245801528825,2.6777357500411143,0.16492624657996455,43.47560740474222,1.0,1.0
murcko_framework,C1=C2C3CCCC3CCC2C4CCCCC4C1,0,1756,0.0,0.24233759172188035,0.06919969743168747,0.004325641289519981,1.1070261734921818,0.0019389593864739035,0.12675946989073145
murcko_framework,C1CCC23CC43CCC5CCCC5C4CCC2C1,0,1146,0.0,0.15815425974560074,0.10610714458308165,0.006631317171708476,1.6978114362571384,0.017734746789951614,0.8860228160211722
murcko_framework,o1c2ccc(OCc3ccccc3)cc2cc1-c4ccccc4,0,90,0.0,0.01242049160305765,1.3461813236071487,0.08354119299592762,21.692342316885934,1.0,1.0
murcko_framework,N1=CNCc2ncn(c12)C3OCCC3,1,72,0.03363605785401951,0.009936393282446119,3.385940070285629,0.4703749602738473,24.373300298322196,0.2583767667614258,1.0
murcko_framework,N1=CN(c2ccccc2)Cc3ccccc13,0,38,0.0,0.005244207565735451,3.164627368595756,0.1943789821515663,51.52237279571842,1.0,1.0
murcko_framework,O1C2C=CC13C(N(CC3C2CNc4ccccc4)C5CCCCC5)CNC6CCCCC6,0,340,0.0,0.04692185716710667,0.3576721638299349,0.022321291580472833,5.731271253617926,0.653233987303338,1.0
murcko_framework,O1C(=CCC=C1CN2CC3C4=CC=CCN4CC(C2)C3)Cc5ccccc5,0,51,0.0,0.007038278575066001,2.365746945918722,0.1459677487671136,38.34243289627761,1.0,1.0
murcko_framework,c1ccc2c(c1)N3Cc4ccccc4C3NC2,0,95,0.0,0.013110518914338629,1.2756918222659672,0.07919841770447848,20.548259328471907,1.0,1.0
murcko_framework,c1ccc2c(c1)CNCC2,0,356,0.0,0.04912994456320581,0.3416120094023623,0.021320969251639846,5.473426821763466,0.4122532192964776,1.0
murcko_framework,N(OCCN1CCCC1)=C2C=C3CCC4C(CCC5CCCC54)C3CC2,0,105,0.0,0.014490573536900591,1.1547572275479214,0.07173966642320233,18.587544674488303,1.0,1.0
murcko_framework,O1CCCCC1OC2OCCCC2,0,136,0.0,0.01876874286684267,0.8924664820074271,0.05552735692547626,14.344216357636066,1.0,1.0
murcko_framework,c1ccc(cc1)N2CN3Cc4[nH]c5ccccc5c4CC3C2,0,46,0.0,0.006348251263785021,2.620146418814221,0.1614317970913098,42.52673500340135,1.0,1.0
murcko_framework,c1ccc(cc1)Cc2ccccc2,2,830,0.06727211570803902,0.11454453367264276,0.5870231515087614,0.1464997799238475,2.352195891259385,0.7808954971633107,1.0
murcko_framework,N1=Cc2ccccc2CC1,0,54,0.0,0.007452294961834589,2.235513087317173,0.13803396711316637,36.204992641189335,1.0,1.0
murcko_framework,O1C=CC(c2ccccc2)C3=C1c4ccccc4OC3,0,46,0.0,0.006348251263785021,2.620146418814221,0.1614317970913098,42.52673500340135,1.0,1.0
murcko_framework,O1CCCC1CN2CC3C(CNc4ccccc4)C5OC3(C=C5)C2CNC6CCCCC6,0,84,0.0,0.011592458829520473,1.4417801029408692,0.0894253629735279,23.24541714023054,1.0,1.0
murcko_framework,O1CCCCC1OC2CCCOC2OC3CCOC(OC4CCC5C(CCC6C7C(=CCC65)C8CCCCC8CC7)C4)C3OC9OCCCC9,0,254,0.0,0.03505338741307381,0.47859266348488266,0.029847078921386994,7.674149223943893,0.6315917383016239,1.0
murcko_framework,o1ccc2cc3C=C(COc3cc12)CCCNc4ccccc4,0,79,0.0,0.010902431518239492,1.532468672434598,0.09500139786223145,24.72027027853985,1.0,1.0
murcko_framework,N1=C(c2ccccc2)CC(NC13CCNCC3)c4ccccc4,0,300,0.0,0.04140163867685883,0.40530481818459063,0.025287063476700348,6.496285968317566,0.6395748506817404,1.0
murcko_framework,c1ccc(cc1)CCN2CCN3C(c4ccccc4)c5[nH]c6ccccc6c5CC3C2,0,73,0.0,0.010074398744702315,1.6575818825932929,0.10268461890982612,26.757441637041534,1.0,1.0
murcko_framework,O1c2cc3C=C(NCCc3cc2OC1)Cc4ccccc4,0,34,0.0,0.004692185716710667,3.5315601825789646,0.21646778956224189,57.615580352157025,1.0,1.0
murcko_framework,O1C2C=CC13CN(c4ccccc4)CC3C2,0,234,0.0,0.032293278167949885,0.5194251424182984,0.03238605310733109,8.330823076282657,1.0,1.0
murcko_framework,o1cccc1CCCCCCCCCOCCOCCCCCCCCCCCc2occc2,0,72,0.0,0.009936393282446119,1.680447400311951,0.10408761295968512,27.130062693520873,1.0,1.0
murcko_framework,c1ccc(cc1)CNCCN2CN3CCc4c5ccccc5[nH]c4C3C2,0,31,0.0,0.004278169329942079,3.867915262063572,0.2366350976839967,63.222947994312236,1.0,1.0
murcko_framework,O1CCCCC1OC2CCC3C(CCC4C5CCC6CC7N(CCCC7)CC6C5CC34)C2,0,42,0.0,0.0057962294147602365,2.866764260774093,0.1763801992734908,46.594444051559776,1.0,1.0
murcko_framework,O1C2C=CC13C(N(CCN4CCCCCC4)CC3C2CNc5ccccc5)CNC6CCCCC6,0,52,0.0,0.007176284037322197,2.3206818964343765,0.14322373735831748,37.60245727260023,1.0,1.0
murcko_framework,O1C2C=CC1C3CN(c4ccccc4)CC23,0,36,0.0,0.004968196641223059,3.338040821779601,0.20482969417506067,54.398931623380356,1.0,1.0
murcko_framework,O1CCC2CCCC3C(=CCC3)C12,0,135,0.0,0.018630737404586473,0.8990541914835661,0.05593513847084703,14.450638030429623,1.0,1.0
murcko_framework,O1CCCCC1OC2CCOC(OC3CCC4C(CCC5C4CCC6C7CCCOC87OCC56C8)C3)C2OC9OCCC9,0,33,0.0,0.004554180254454471,3.6369849089845876,0.22279718329341747,59.370854840481435,1.0,1.0
murcko_framework,O1c2ccccc2CC(c3ccccc3)C1,0,469,0.0,0.06472456179815597,0.25935182145873925,0.01619444799258016,4.153483176751932,0.27413955454850014,1.0
murcko_framework,N1=C[N]C2=C1NCNC2,1,287,0.03363605785401951,0.03960756766752828,0.8491823804990597,0.11917200938428302,6.051007439379078,1.0,1.0
murcko_framework,c1ccc(cc1)CNCCc2ccccc2,0,327,0.0,0.04512778615777612,0.371876512244932,0.023205870986586826,5.959360044679598,0.648257324008325,1.0
murcko_framework,N=1c2ccccc2OC3=CCC=CC13,0,59,0.0,0.00814232227311557,2.0476407142645185,0.12656816179765026,33.12707109878833,1.0,1.0
murcko_framework,c1ccc2c(c1)NC3C4N5CCC(C4)C6CC23CC56,0,262,0.0,0.03615743111112338,0.4640018576793421,0.028939532860178845,7.439571501381518,0.6322345676812371,1.0
murcko_framework,O1C2C=CC13C(N(CCCN4CCC(Cc5ccccc5)CC4)CC3C2CNc6ccccc6)CNC7CCCCC7,0,56,0.0,0.0077283058863469815,2.1563739284029575,0.13320710839678127,34.90766052247975,1.0,1.0
murcko_framework,O(c1ccc2C=CCOc2c1)CCc3c[nH]c4ccccc43,0,55,0.0,0.007590300424090785,2.195230542464442,0.13557759518745932,35.54449485481419,1.0,1.0
murcko_framework,O1CCCCC1OCC23CCCCC3C4=CCC5C(CCC6CC(OC7OCCC(OC8OCCCC8)C7)CCC65)C4CC2,0,205,0.0,0.0282911197625202,0.5927497435784138,0.03694243751562624,9.510803350852449,1.0,1.0
murcko_framework,O(CCc1ccccc1)C2OCCCC2,0,131,0.0,0.01807871555556169,0.9264069623882956,0.05762795797067804,14.892595368348628,1.0,1.0
murcko_framework,C12=C(CCC3(C1)CC3)C4CCCCC4CC2,0,75,0.0,0.010350409669214708,1.6136679743918967,0.09998910393021328,26.042080879086964,1.0,1.0
murcko_framework,C12=C3CCC4CCCCC4C3CCC1CCC2,0,155,0.0,0.021390846649710395,0.7833985846034397,0.04877157413825427,12.58342288930352,1.0,1.0
murcko_framework,O1CCC2CC=CCCC3OC3CC12,0,59,0.0,0.00814232227311557,2.0476407142645185,0.12656816179765026,33.12707109878833,1.0,1.0
murcko_framework,O(Cc1ccccc1)C2CCCCC2,1,70,0.03363605785401951,0.009660382357933726,3.482690828686791,0.48362881189733603,25.079430980621233,0.2522780639508329,1.0
murcko_framework,n1c2ccccc2nc3ccccc13,0,211,0.0,0.029119152536057378,0.575929377746135,0.03589755721280962,9.240033971801532,1.0,1.0
murcko_framework,O1CCC2C1CC3C4CC=C5CCCCC5C4CCC23,0,37,0.0,0.005106202103479255,3.249021915811894,0.19946756836778803,52.921602723717264,1.0,1.0
murcko_framework,N1=Cc2[nH]c3ccccc3c2CC1,0,30,0.0,0.004140163867685883,3.9947376690823586,0.24421917283070577,65.3426545500901,1.0,1.0
murcko_framework,n1cccc(c1)Cc2ccccc2,0,40,0.0,0.005520218490247844,3.0083411700473524,0.18494277520581456,48.93468579851472,1.0,1.0
murcko_framework,c1ccc2c(c1)NC=CC2,0,296,0.0,0.04084961682783404,0.41077494257169356,0.0256275492910403,6.584166575138355,0.6385077838824005,1.0
murcko_framework,O1C2C=CC13C(N(CC3C2CNc4ccccc4)C5CC5)CNC6CCCCC6,0,76,0.0,0.010488415131470903,1.5925720773147554,0.09869372105014385,25.698553002718498,1.0,1.0
murcko_framework,O1C=C(Oc2ccccc2)Cc3ccccc13,0,467,0.0,0.06444855087364358,0.26046206733453886,0.016263671343856655,4.171289931151219,0.2739364705754934,1.0
murcko_framework,C1=C2CCCCC2C3CCC4C5CCCCC5CCC4C3C1,0,73,0.0,0.010074398744702315,1.6575818825932929,0.10268461890982612,26.757441637041534,1.0,1.0
murcko_framework,O1CCCCC1OC2CCC3CCC45CCC(CCC4C3C2)C5,0,53,0.0,0.007314289499578393,2.2773015216971095,0.1405809775837492,36.8904976324725,1.0,1.0
murcko_framework,O1c2ccccc2CC3=C1CN(CCc4ccccc4)C3c5ccccc5,0,84,0.0,0.011592458829520473,1.4417801029408692,0.0894253629735279,23.24541714023054,1.0,1.0
murcko_framework,O1c2cc3OCC(c4ccccc4)Cc3cc2C=CC1,0,42,0.0,0.0057962294147602365,2.866764260774093,0.1763801992734908,46.594444051559776,1.0,1.0
murcko_framework,O1c2ccccc2CC(OC3OC(COCc4ccccc4)CCC3)=C1c5ccccc5,0,44,0.0,0.006072240339272629,2.7379133658175303,0.16857530670648754,44.46777968361716,1.0,1.0
murcko_framework,O1c2c(cccc2CN3CCCCC3)C=C(c4ccccc4)C1,0,41,0.0,0.0056582239525040405,2.935846969515864,0.18056004511200668,47.735906485118264,1.0,1.0
murcko_framework,C1=CCC=CC1,1,760,0.03363605785401951,0.10488415131470903,0.3204686725224906,0.04506927131587024,2.2787182279595353,0.3856900660716057,1.0
murcko_framework,c1ccc2c(c1)NC3CCC4CCCN5CCC23C54,0,120,0.0,0.01656065547074353,1.0109905827897465,0.06285937352374135,16.260135938254525,1.0,1.0
murcko_framework,O1C=CCc2cc3c(OCCC3)cc12,0,39,0.0,0.005382213027991648,3.084505963010815,0.1895435270182853,50.195209435621834,1.0,1.0
