kingdom,mean_share_panel,mean_share_background,fold_change,fold_ci_lo,fold_ci_hi,n_panel,n_background,p,q
plants,0.8090608261747914,0.6124166887916892,1.3210953277107538,1.2859875997344699,1.357918051102885,448,263882,4.999750012499375e-05,6.666333349999167e-05
animals,0.11761174662370706,0.1239325242461037,0.9489982338304922,0.7883060917253579,1.102089422251082,448,263882,0.6728663566821659,0.6728663566821659
fungi,0.03242278916150176,0.13272945582559176,0.2442772703303005,0.20535090658298308,0.2876133795779186,448,263882,4.999750012499375e-05,6.666333349999167e-05
bacteria,0.03189069533100881,0.10421953990628237,0.3059953571056442,0.22795586851813449,0.3898829130343911,448,263882,4.999750012499375e-05,6.666333349999167e-05
