set,replicate,n,purity,base_rate,enrichment
odorants,0,5962,0.38485072123448505,0.008207520026651725,46.89001305933891
matched_np,0,5939,,0.008175857336176552,18.58497930792773
matched_np,1,5939,,0.008175857336176552,18.4605879214116
matched_np,2,5939,,0.008175857336176552,18.510426854419716
matched_np,3,5939,,0.008175857336176552,18.504248474294744
matched_np,4,5939,,0.008175857336176552,18.637701484994167
random_np,0,5962,,0.008207520026651725,1.051637003605863
random_np,1,5962,,0.008207520026651725,0.9935987391239227
random_np,2,5962,,0.008207520026651725,1.0168957889511805
random_np,3,5962,,0.008207520026651725,1.0128085872271002
random_np,4,5962,,0.008207520026651725,0.9588575244692401
