features,auc_unmatched,auc_matched,auc_drop
volatility_only,0.9725862398378574,0.49441675953379194,0.4781694803040655
descriptors_22,0.9809988007106316,0.6673154252949551,0.3136833754156765
molformer_768,0.9831191962535653,0.7950442508886936,0.18807494536487168
