rank,taxid,mean_share_odorant,mean_share_background,share_ratio,ratio_ci_lo,ratio_ci_hi,p,n_molecules,n_odorant_molecules,n_background_molecules,q,taxon
superkingdom,2759,0.9644563862761896,0.8929053612661453,1.0801328204688843,1.073072067098261,1.0866960597906883,4.999750012499375e-05,239280,1957,263882,7.499625018749062e-05,Eukaryota
superkingdom,2,0.03543307603178685,0.10421953990628244,0.3399849592854604,0.28555951284524195,0.3994944939314237,4.999750012499375e-05,39106,1957,263882,7.499625018749062e-05,Bacteria
superkingdom,2157,8.553504583913009e-05,0.0004523790798238471,0.1890782524082165,0.07027527704877973,0.3413738445715925,0.48192590370481475,537,1957,263882,0.48192590370481475,Archaea
kingdom,33090,0.8395626912869191,0.6124166887916874,1.3709010656508986,1.3506471097578583,1.3889949251148979,4.999750012499375e-05,171734,1957,263882,9.99950002499875e-05,Viridiplantae
kingdom,1783272,0.024832201060083475,0.08774224190297922,0.2830130678395661,0.22981357394501722,0.34411303448113084,4.999750012499375e-05,32672,1957,263882,9.99950002499875e-05,Bacillati
kingdom,33208,0.0831490085658642,0.12393252424610354,0.6709216089292913,0.6073459055596208,0.742751137391728,4.999750012499375e-05,50494,1957,263882,9.99950002499875e-05,Metazoa
kingdom,4751,0.03159201959030531,0.1327294558255914,0.23801815048362532,0.20562863804950512,0.274015586718173,4.999750012499375e-05,52465,1957,263882,9.99950002499875e-05,Fungi
kingdom,3379134,0.010542676692542304,0.016228412283670744,0.6496431387283951,0.4709837793241546,0.847217403048129,0.03714814259287036,9479,1957,263882,0.05943702814859257,Pseudomonadati
kingdom,3366610,8.329387828047873e-05,0.00035805011527819086,0.23263189907301848,0.08168670076852018,0.4254391011832025,0.5650717464126793,430,1957,263882,0.6811659417029149,Methanobacteriati
kingdom,3384194,5.61242975062642e-05,0.0001233452676388713,0.4550178420349632,0.16362526087896928,0.9807841307755809,0.951952402379881,125,1957,263882,0.951952402379881,Thermotogati
