seed,group,odds_ratio,ci_lo,ci_hi,p
0,fg_alcohol,1.1446005018530971,1.0842718820388373,1.21056020856373,5.037860458326953e-06
0,fg_phenol,0.8645291438265841,0.7675241055029003,0.979307356396184,0.025016096927259472
0,fg_carboxylic_acid,1.1419478279684054,1.0367274931633457,1.261235207926853,0.007734510260501239
0,fg_ester,1.6837225451839408,1.5989950471460623,1.771309611548199,1.884596340702108e-90
0,fg_lactone,1.6386710620623355,1.5578423031933701,1.7254232353598637,9.114380147752596e-83
0,fg_ether,1.4820464457363292,1.4192812010702944,1.549363977022883,8.899530367955735e-72
0,fg_aldehyde,1.1829018225680201,1.062805673048301,1.3190862505471492,0.00257206133517991
0,fg_ketone,1.0156290221484314,0.9433058605518869,1.0947971019648761,0.7159309399543607
0,fg_amine,0.2658983706773813,0.22273372926936444,0.31173893079449494,1.394066676660377e-63
0,fg_amide,0.507063880243071,0.40484097730975405,0.6306815337768475,1.1470962400513951e-09
0,fg_thiol,3.070059254095504,2.412486576121949,4.047513816463561,1.472751580535757e-21
0,fg_sulfide,1.6384844575500677,1.4582798790108902,1.857957431827355,9.499971846168527e-15
0,fg_nitrile,1.4038075811660717,0.9770937648660729,2.0506916812896074,0.09291188222054622
0,fg_halogen,0.07932445515623583,0.05024644859791042,0.1138077840872083,9.666352480195943e-64
0,fg_benzene,0.9287860094708446,0.8730976186841873,0.9910126177196473,0.02559747663731849
0,fg_terpene_isopropyl,0.8053380163752546,0.7614051615413325,0.8534598268960527,2.6213067828721126e-13
1,fg_alcohol,1.1397499563950773,1.079057042339727,1.2079740051456924,1.0801303895717104e-05
1,fg_phenol,0.8645291438265841,0.764034276488525,0.9778662283889193,0.02350872905422441
1,fg_carboxylic_acid,1.159139019357901,1.0583790183351747,1.28325331429321,0.0029872785599105414
1,fg_ester,1.680548331110207,1.5954302990040736,1.7696019688965856,4.736823120106328e-89
1,fg_lactone,1.6370922062158741,1.5556618460884448,1.7208645016102226,1.325407959315424e-81
1,fg_ether,1.4841348082845922,1.4212996128075117,1.550001676008682,1.9373157425380382e-72
1,fg_aldehyde,1.174066495881228,1.0575362010558658,1.3069938610430738,0.0036671733642916096
1,fg_ketone,1.0257955074670444,0.9525380803205964,1.104445774666781,0.5331482331248262
1,fg_amine,0.2658983706773813,0.22376917594717538,0.3126618955624154,2.188012868348103e-64
1,fg_amide,0.4895573700042974,0.3903960237247389,0.6079135611184449,1.5280548809315418e-10
1,fg_thiol,3.070059254095504,2.4202779910565946,4.085933376402698,4.04230705880869e-21
1,fg_sulfide,1.6384844575500677,1.4552767591462574,1.8533700174513292,3.57036566257918e-15
1,fg_nitrile,1.518401624469957,1.0403148492688814,2.2837550113091063,0.04482852238579864
1,fg_halogen,0.08109227005666256,0.05142345823255197,0.11585622151915521,9.206457052472609e-63
1,fg_benzene,0.9205608589510663,0.8647640448680152,0.9832924149931368,0.011733229867402575
1,fg_terpene_isopropyl,0.8142636419933351,0.7703353308432931,0.8625891334592096,2.889851596283206e-12
2,fg_alcohol,1.1349347304428197,1.0751550892953166,1.2006811046402535,2.0666544962982477e-05
2,fg_phenol,0.8608635833127455,0.7611390748803778,0.9736796083743892,0.020347077476115444
2,fg_carboxylic_acid,1.1547951736764481,1.051043096561256,1.277915647015696,0.0036870956346418513
2,fg_ester,1.6885011550422198,1.602922794134207,1.778180943065385,2.8364889712530884e-90
2,fg_lactone,1.6402522779324837,1.5579423181544705,1.7236041731066962,5.203568550036945e-82
2,fg_ether,1.489371299450386,1.4262835510528984,1.5566377099248685,4.059868640443987e-74
2,fg_aldehyde,1.1888608513147196,1.0677550829548905,1.3231039638627566,0.001935875930109157
2,fg_ketone,1.0243324207339999,0.9491078809752963,1.1069451022940586,0.5634770935427948
2,fg_amine,0.2615004493038045,0.21956312377912524,0.307632472688325,9.764591618579066e-66
2,fg_amide,0.5040622850967679,0.40128286521236445,0.6219823886209394,6.380140059120245e-10
2,fg_thiol,3.117106055324947,2.447572430118903,4.168372937461179,4.0482986069419845e-21
2,fg_sulfide,1.6492486143321894,1.4656166606417655,1.867547398913024,2.259572005418832e-15
2,fg_nitrile,1.440046723065591,1.0,2.118342605639145,0.07478815428283364
2,fg_halogen,0.07903693123852275,0.050072420626105195,0.1133911791519028,5.106322859297877e-64
2,fg_benzene,0.9260315601997733,0.8674606768661385,0.9881944998670672,0.02083575133667502
2,fg_terpene_isopropyl,0.8165081704584523,0.7723147685244143,0.8651315448380335,5.030095640051721e-12
3,fg_alcohol,1.1333374373087577,1.07378231842855,1.1954881942171856,2.1182902513481526e-05
3,fg_phenol,0.8645291438265841,0.7647429303548848,0.9778857971543184,0.024258297958749103
3,fg_carboxylic_acid,1.1635141157277098,1.062218664752433,1.285959577304326,0.0025428237256968048
3,fg_ester,1.6885011550422198,1.602558369401323,1.78037489810406,1.719418268990364e-89
3,fg_lactone,1.6466008477979364,1.5655310869683972,1.731153253331739,1.2401907962899649e-82
3,fg_ether,1.49042127848107,1.4284069775210635,1.55792369351127,7.417629355996804e-74
3,fg_aldehyde,1.1596099111197335,1.0415609226112479,1.2966508287688245,0.00815092194586063
3,fg_ketone,1.0170707111838213,0.9426352902616015,1.0950990415821322,0.686770459408491
3,fg_amine,0.2684733121783058,0.22521043725036474,0.31503157734139614,3.390337487481531e-62
3,fg_amide,0.4895573700042974,0.39054031595637534,0.6052926108160647,1.2165751785468435e-10
3,fg_thiol,3.070059254095504,2.4247405132043265,4.088540283815689,6.57782129158909e-21
3,fg_sulfide,1.6546809925212975,1.4721671372172618,1.8885183283674072,3.315594629242425e-15
3,fg_nitrile,1.5608438627306551,1.073673300714228,2.3736462585034013,0.028626655508737896
3,fg_halogen,0.07875138343020976,0.04991169852388194,0.11297746730642581,2.6969455064120186e-64
3,fg_benzene,0.916941736568409,0.859536321305721,0.9802814337934307,0.00855338077583132
3,fg_terpene_isopropyl,0.8148242795748468,0.7696553253896141,0.8634582310329063,3.7433147780200466e-12
4,fg_alcohol,1.1429797050191395,1.082553149210011,1.2074939387082797,6.423497458536846e-06
4,fg_phenol,0.8536211452007256,0.755106207548586,0.9634122507519848,0.013677049688766813
4,fg_carboxylic_acid,1.159139019357901,1.0549440343065437,1.2779944189464947,0.0033017284290602893
4,fg_ester,1.682134288902297,1.594563851627246,1.771583096836838,1.755496873589388e-88
4,fg_lactone,1.6339415534909683,1.5519117320318165,1.7203670921219167,2.8726769383745334e-80
4,fg_ether,1.4956846406592528,1.4335503776762055,1.562472325328848,1.6995701424000678e-74
4,fg_aldehyde,1.162474762928304,1.0443452955687775,1.3001485921424023,0.007140558794342126
4,fg_ketone,1.0070523720859537,0.933731089186441,1.0800676545101169,0.883345429003706
4,fg_amine,0.2764822681570433,0.2321422033307571,0.32579767676741,5.423887110204787e-60
4,fg_amide,0.49816142191142193,0.39718437629495656,0.6182560040611721,3.7674169294074445e-10
4,fg_thiol,3.070059254095504,2.415671048870552,4.120618915083429,1.684162641888371e-20
4,fg_sulfide,1.643849873159732,1.4618352546385256,1.853992162331233,2.6847241556603042e-15
4,fg_nitrile,1.4038075811660717,0.9760104492319737,2.0744820431006405,0.09703091129729907
4,fg_halogen,0.07961397576782192,0.04999601282510463,0.11466685822124906,8.504095974327576e-63
4,fg_benzene,0.916941736568409,0.8584356343371182,0.9781315831464077,0.00887316232188795
4,fg_terpene_isopropyl,0.8159465435166736,0.7706901749110858,0.8639818477949391,4.805312146540766e-12
